forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,locked
relative_return,0,1,60,2024-10-02T00:00:00,0.0031104637309908867,True
relative_return,0,2,61,2024-10-03T00:00:00,0.007649675942957401,True
relative_return,0,3,62,2024-10-04T00:00:00,0.00686299055814743,True
relative_return,0,4,63,2024-10-07T00:00:00,0.0076295193284749985,True
relative_return,0,5,64,2024-10-08T00:00:00,0.005337964743375778,True
relative_return,1,1,65,2024-10-09T00:00:00,0.0019175410270690918,True
relative_return,1,2,66,2024-10-10T00:00:00,0.0063758594915270805,True
relative_return,1,3,67,2024-10-11T00:00:00,0.005318492650985718,True
relative_return,1,4,68,2024-10-14T00:00:00,0.007660871371626854,True
relative_return,1,5,69,2024-10-15T00:00:00,0.007004402577877045,True
relative_return,2,1,70,2024-10-16T00:00:00,-0.0003810795024037361,True
relative_return,2,2,71,2024-10-17T00:00:00,0.004177306778728962,True
relative_return,2,3,72,2024-10-18T00:00:00,0.007207684218883514,True
relative_return,2,4,73,2024-10-21T00:00:00,0.009428741410374641,True
relative_return,2,5,74,2024-10-22T00:00:00,0.008279897272586823,True
relative_return,3,1,75,2024-10-23T00:00:00,-0.00021955743432044983,True
relative_return,3,2,76,2024-10-24T00:00:00,0.004584544338285923,True
relative_return,3,3,77,2024-10-25T00:00:00,0.006643056869506836,True
relative_return,3,4,78,2024-10-28T00:00:00,0.008558785542845726,True
relative_return,3,5,79,2024-10-29T00:00:00,0.008118662983179092,True
relative_return,4,1,80,2024-10-30T00:00:00,0.0005664178170263767,True
relative_return,4,2,81,2024-10-31T00:00:00,0.004769452847540379,True
relative_return,4,3,82,2024-11-01T00:00:00,0.0071054622530937195,True
relative_return,4,4,83,2024-11-04T00:00:00,0.009768491610884666,True
relative_return,4,5,84,2024-11-05T00:00:00,0.010745972394943237,True
relative_return,5,1,85,2024-11-06T00:00:00,0.0035591283813118935,True
relative_return,5,2,86,2024-11-07T00:00:00,0.010128620080649853,True
relative_return,5,3,87,2024-11-08T00:00:00,0.007218845188617706,True
relative_return,5,4,88,2024-11-11T00:00:00,0.006686016917228699,True
relative_return,5,5,89,2024-11-12T00:00:00,0.004061199724674225,True
relative_return,6,1,90,2024-11-13T00:00:00,0.0022861752659082413,True
relative_return,6,2,91,2024-11-14T00:00:00,0.006761523894965649,True
relative_return,6,3,92,2024-11-15T00:00:00,0.005206577479839325,True
relative_return,6,4,93,2024-11-18T00:00:00,0.005646849051117897,True
relative_return,6,5,94,2024-11-19T00:00:00,0.003928661346435547,True
relative_return,7,1,95,2024-11-20T00:00:00,0.0010492987930774689,True
relative_return,7,2,96,2024-11-21T00:00:00,0.006063592620193958,True
relative_return,7,3,97,2024-11-22T00:00:00,0.0060718730092048645,True
relative_return,7,4,98,2024-11-25T00:00:00,0.0070763397961854935,True
relative_return,7,5,99,2024-11-26T00:00:00,0.006149850785732269,True
relative_return,8,1,100,2024-11-27T00:00:00,0.00025782082229852676,True
relative_return,8,2,101,2024-11-29T00:00:00,0.006057080812752247,True
relative_return,8,3,102,2024-12-02T00:00:00,0.008738823235034943,True
relative_return,8,4,103,2024-12-03T00:00:00,0.009167922660708427,True
relative_return,8,5,104,2024-12-04T00:00:00,0.007558893412351608,True
relative_return,9,1,105,2024-12-05T00:00:00,-0.0007966570556163788,True
relative_return,9,2,106,2024-12-06T00:00:00,0.004240802489221096,True
relative_return,9,3,107,2024-12-09T00:00:00,0.0063480958342552185,True
relative_return,9,4,108,2024-12-10T00:00:00,0.008551405742764473,True
relative_return,9,5,109,2024-12-11T00:00:00,0.009029321372509003,True
relative_return,10,1,110,2024-12-12T00:00:00,3.133108839392662e-05,True
relative_return,10,2,111,2024-12-13T00:00:00,0.005771941505372524,True
relative_return,10,3,112,2024-12-16T00:00:00,0.00760854035615921,True
relative_return,10,4,113,2024-12-17T00:00:00,0.009626789018511772,True
relative_return,10,5,114,2024-12-18T00:00:00,0.009551174938678741,True
relative_return,11,1,115,2024-12-19T00:00:00,0.0013513006269931793,True
relative_return,11,2,116,2024-12-20T00:00:00,0.00825945008546114,True
relative_return,11,3,117,2024-12-23T00:00:00,0.009285993874073029,True
relative_return,11,4,118,2024-12-24T00:00:00,0.008644139394164085,True
relative_return,11,5,119,2024-12-26T00:00:00,0.005681172013282776,True
