forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,locked
relative_return,0,1,60,2024-10-02T00:00:00,0.01855352334678173,True
relative_return,0,2,61,2024-10-03T00:00:00,-0.005839346908032894,True
relative_return,0,3,62,2024-10-04T00:00:00,-0.0013422630727291107,True
relative_return,0,4,63,2024-10-07T00:00:00,-0.017972836270928383,True
relative_return,0,5,64,2024-10-08T00:00:00,-0.015189219266176224,True
relative_return,1,1,65,2024-10-09T00:00:00,0.0063299760222435,True
relative_return,1,2,66,2024-10-10T00:00:00,0.021939512342214584,True
relative_return,1,3,67,2024-10-11T00:00:00,0.029607754200696945,True
relative_return,1,4,68,2024-10-14T00:00:00,0.02025335654616356,True
relative_return,1,5,69,2024-10-15T00:00:00,0.022847097367048264,True
relative_return,2,1,70,2024-10-16T00:00:00,0.002425235230475664,True
relative_return,2,2,71,2024-10-17T00:00:00,0.022001858800649643,True
relative_return,2,3,72,2024-10-18T00:00:00,0.02242562547326088,True
relative_return,2,4,73,2024-10-21T00:00:00,0.020145054906606674,True
relative_return,2,5,74,2024-10-22T00:00:00,0.03198740631341934,True
relative_return,3,1,75,2024-10-23T00:00:00,0.006090941373258829,True
relative_return,3,2,76,2024-10-24T00:00:00,0.016680579632520676,True
relative_return,3,3,77,2024-10-25T00:00:00,0.03090965375304222,True
relative_return,3,4,78,2024-10-28T00:00:00,0.028370987623929977,True
relative_return,3,5,79,2024-10-29T00:00:00,0.03789004683494568,True
relative_return,4,1,80,2024-10-30T00:00:00,0.007992366328835487,True
relative_return,4,2,81,2024-10-31T00:00:00,0.00942547433078289,True
relative_return,4,3,82,2024-11-01T00:00:00,0.0060318149626255035,True
relative_return,4,4,83,2024-11-04T00:00:00,-0.001862729899585247,True
relative_return,4,5,84,2024-11-05T00:00:00,0.0047041550278663635,True
relative_return,5,1,85,2024-11-06T00:00:00,-0.009530164301395416,True
relative_return,5,2,86,2024-11-07T00:00:00,0.008341317065060139,True
relative_return,5,3,87,2024-11-08T00:00:00,0.011889595538377762,True
relative_return,5,4,88,2024-11-11T00:00:00,0.006653164513409138,True
relative_return,5,5,89,2024-11-12T00:00:00,0.009084172546863556,True
relative_return,6,1,90,2024-11-13T00:00:00,-0.0010481616482138634,True
relative_return,6,2,91,2024-11-14T00:00:00,0.006680364720523357,True
relative_return,6,3,92,2024-11-15T00:00:00,0.006751347333192825,True
relative_return,6,4,93,2024-11-18T00:00:00,0.004550431855022907,True
relative_return,6,5,94,2024-11-19T00:00:00,0.007373075932264328,True
relative_return,7,1,95,2024-11-20T00:00:00,-8.203508332371712e-05,True
relative_return,7,2,96,2024-11-21T00:00:00,0.0009648656705394387,True
relative_return,7,3,97,2024-11-22T00:00:00,0.003462269902229309,True
relative_return,7,4,98,2024-11-25T00:00:00,-0.002463161014020443,True
relative_return,7,5,99,2024-11-26T00:00:00,-0.002865927293896675,True
relative_return,8,1,100,2024-11-27T00:00:00,0.006887477356940508,True
relative_return,8,2,101,2024-11-29T00:00:00,0.014145459048449993,True
relative_return,8,3,102,2024-12-02T00:00:00,0.018297512084245682,True
relative_return,8,4,103,2024-12-03T00:00:00,0.00964603666216135,True
relative_return,8,5,104,2024-12-04T00:00:00,0.009118497371673584,True
relative_return,9,1,105,2024-12-05T00:00:00,0.0012717642821371555,True
relative_return,9,2,106,2024-12-06T00:00:00,0.00030509743373841047,True
relative_return,9,3,107,2024-12-09T00:00:00,0.007310193032026291,True
relative_return,9,4,108,2024-12-10T00:00:00,-0.0015636058524250984,True
relative_return,9,5,109,2024-12-11T00:00:00,0.0049231089651584625,True
relative_return,10,1,110,2024-12-12T00:00:00,0.008435083553195,True
relative_return,10,2,111,2024-12-13T00:00:00,0.02243615686893463,True
relative_return,10,3,112,2024-12-16T00:00:00,0.02618558332324028,True
relative_return,10,4,113,2024-12-17T00:00:00,0.020261600613594055,True
relative_return,10,5,114,2024-12-18T00:00:00,0.02783583477139473,True
relative_return,11,1,115,2024-12-19T00:00:00,0.01221846230328083,True
relative_return,11,2,116,2024-12-20T00:00:00,-0.008980686776340008,True
relative_return,11,3,117,2024-12-23T00:00:00,-0.00026370957493782043,True
relative_return,11,4,118,2024-12-24T00:00:00,0.019615229219198227,True
relative_return,11,5,119,2024-12-26T00:00:00,0.05137421935796738,True
