forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,true_value,error,absolute_error,squared_error
relative_return,0,1,60,2024-10-02T00:00:00,0.0024032071232795715,0.015811920166015625,-0.013408713042736053,0.013408713042736053,0.00017979358546243995
relative_return,0,2,61,2024-10-03T00:00:00,0.010045611299574375,0.04999995231628418,-0.03995434194803238,0.03995434194803238,0.0015963494405002998
relative_return,0,3,62,2024-10-04T00:00:00,0.016352295875549316,0.06769227981567383,-0.05133998394012451,0.05133998394012451,0.0026357939509722428
relative_return,0,4,63,2024-10-07T00:00:00,0.04191852733492851,0.09162390232086182,-0.049705374985933304,0.049705374985933304,0.002470624302492244
relative_return,0,5,64,2024-10-08T00:00:00,0.04914742708206177,0.1358119249343872,-0.08666449785232544,0.08666449785232544,0.007510735187995721
relative_return,1,1,65,2024-10-09T00:00:00,-0.0039769625291228294,-0.001806020736694336,-0.0021709417924284935,0.0021709417924284935,4.71298826611264e-06
relative_return,1,2,66,2024-10-10T00:00:00,0.013741064816713333,0.014448046684265137,-0.0007069818675518036,0.0007069818675518036,4.99823361047036e-07
relative_return,1,3,67,2024-10-11T00:00:00,0.015943922102451324,0.014372825622558594,0.0015710964798927307,0.0015710964798927307,2.4683441491313296e-06
relative_return,1,4,68,2024-10-14T00:00:00,0.026036731898784637,0.03897964954376221,-0.01294291764497757,0.01294291764497757,0.00016751911716467172
relative_return,1,5,69,2024-10-15T00:00:00,0.041094306856393814,-0.009707212448120117,0.05080151930451393,0.05080151930451393,0.0025807943636469016
relative_return,2,1,70,2024-10-16T00:00:00,-0.0023046452552080154,0.03130698204040527,-0.03361162543296814,0.03361162543296814,0.0011297413642461507
relative_return,2,2,71,2024-10-17T00:00:00,0.0032295919954776764,0.04050147533416748,-0.037271883338689804,0.037271883338689804,0.0013891932876129026
relative_return,2,3,72,2024-10-18T00:00:00,0.0014881333336234093,0.048632144927978516,-0.04714401066303253,0.04714401066303253,0.002222557741396125
relative_return,2,4,73,2024-10-21T00:00:00,0.006783846765756607,0.09202122688293457,-0.08523738384246826,0.08523738384246826,0.0072654116043082695
relative_return,2,5,74,2024-10-22T00:00:00,0.012989336624741554,0.09110939502716064,-0.07812006026506424,0.07812006026506424,0.006102743815817269
relative_return,3,1,75,2024-10-23T00:00:00,-0.020221319049596786,-0.028066039085388184,0.007844720035791397,0.007844720035791397,6.153963243994698e-05
relative_return,3,2,76,2024-10-24T00:00:00,-0.025600653141736984,-0.02214634418487549,-0.003454308956861496,0.003454308956861496,1.1932250369453556e-05
relative_return,3,3,77,2024-10-25T00:00:00,-0.02729027345776558,-0.01427680253982544,-0.01301347091794014,0.01301347091794014,0.00016935042533207378
relative_return,3,4,78,2024-10-28T00:00:00,-0.04697887599468231,-0.021380245685577393,-0.02559863030910492,0.02559863030910492,0.000655289873702225
relative_return,3,5,79,2024-10-29T00:00:00,-0.044952619820833206,-0.01629638671875,-0.028656233102083206,0.028656233102083206,0.0008211796956009293
relative_return,4,1,80,2024-10-30T00:00:00,-0.020200306549668312,-0.013522148132324219,-0.006678158417344093,0.006678158417344093,4.4597799847143765e-05
