model,forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,true_value,error,absolute_error,squared_error
naive_last,relative_return,0,1,60,2024-10-02T00:00:00,0.0,0.015811920166015625,-0.015811920166015625,0.015811920166015625,0.0002500168193364516
naive_last,relative_return,0,2,61,2024-10-03T00:00:00,0.0,0.04999995231628418,-0.04999995231628418,0.04999995231628418,0.0024999952316306917
naive_last,relative_return,0,3,62,2024-10-04T00:00:00,0.0,0.06769227981567383,-0.06769227981567383,0.06769227981567383,0.004582244746643482
naive_last,relative_return,0,4,63,2024-10-07T00:00:00,0.0,0.09162390232086182,-0.09162390232086182,0.09162390232086182,0.008394939476502827
naive_last,relative_return,0,5,64,2024-10-08T00:00:00,0.0,0.1358119249343872,-0.1358119249343872,0.1358119249343872,0.018444878954383626
naive_last,relative_return,1,1,65,2024-10-09T00:00:00,0.0,-0.001806020736694336,0.001806020736694336,0.001806020736694336,3.261710901369952e-06
naive_last,relative_return,1,2,66,2024-10-10T00:00:00,0.0,0.014448046684265137,-0.014448046684265137,0.014448046684265137,0.0002087460529907048
naive_last,relative_return,1,3,67,2024-10-11T00:00:00,0.0,0.014372825622558594,-0.014372825622558594,0.014372825622558594,0.00020657811637647683
naive_last,relative_return,1,4,68,2024-10-14T00:00:00,0.0,0.03897964954376221,-0.03897964954376221,0.03897964954376221,0.0015194130785545212
naive_last,relative_return,1,5,69,2024-10-15T00:00:00,0.0,-0.009707212448120117,0.009707212448120117,0.009707212448120117,9.422997351293816e-05
naive_last,relative_return,2,1,70,2024-10-16T00:00:00,0.0,0.03130698204040527,-0.03130698204040527,0.03130698204040527,0.0009801271244782583
naive_last,relative_return,2,2,71,2024-10-17T00:00:00,0.0,0.04050147533416748,-0.04050147533416748,0.04050147533416748,0.0016403695042441768
naive_last,relative_return,2,3,72,2024-10-18T00:00:00,0.0,0.048632144927978516,-0.048632144927978516,0.048632144927978516,0.0023650855202959065
naive_last,relative_return,2,4,73,2024-10-21T00:00:00,0.0,0.09202122688293457,-0.09202122688293457,0.09202122688293457,0.00846790619704052
naive_last,relative_return,2,5,74,2024-10-22T00:00:00,0.0,0.09110939502716064,-0.09110939502716064,0.09110939502716064,0.008300921862215205
naive_last,relative_return,3,1,75,2024-10-23T00:00:00,0.0,-0.028066039085388184,0.028066039085388184,0.028066039085388184,0.0007877025499425372
naive_last,relative_return,3,2,76,2024-10-24T00:00:00,0.0,-0.02214634418487549,0.02214634418487549,0.02214634418487549,0.0004904605607549684
naive_last,relative_return,3,3,77,2024-10-25T00:00:00,0.0,-0.01427680253982544,0.01427680253982544,0.01427680253982544,0.00020382709076116612
naive_last,relative_return,3,4,78,2024-10-28T00:00:00,0.0,-0.021380245685577393,0.021380245685577393,0.021380245685577393,0.0004571149055756507
naive_last,relative_return,3,5,79,2024-10-29T00:00:00,0.0,-0.01629638671875,0.01629638671875,0.01629638671875,0.0002655722200870514
naive_last,relative_return,4,1,80,2024-10-30T00:00:00,0.0,-0.013522148132324219,0.013522148132324219,0.013522148132324219,0.00018284849011251936
naive_last,relative_return,4,2,81,2024-10-31T00:00:00,0.0,-0.06010621786117554,0.06010621786117554,0.06010621786117554,0.003612757425575097
naive_last,relative_return,4,3,82,2024-11-01T00:00:00,0.0,-0.0414159893989563,0.0414159893989563,0.0414159893989563,0.0017152841778944605
naive_last,relative_return,4,4,83,2024-11-04T00:00:00,0.0,-0.03681415319442749,0.03681415319442749,0.03681415319442749,0.0013552818754227758
naive_last,relative_return,4,5,84,2024-11-05T00:00:00,0.0,-0.009486675262451172,0.009486675262451172,0.009486675262451172,8.999700753520301e-05
