rolling_step,horizon_step,target_index,predicted_value,locked
0,1,0,-0.10721832513809204,True
0,2,1,-0.10340132564306259,True
0,3,2,-0.08802953362464905,True
0,4,3,-0.07470865547657013,True
0,5,4,-0.060490503907203674,True
1,1,1,-0.19877736270427704,True
1,2,2,-0.2061438262462616,True
1,3,3,-0.16076350212097168,True
1,4,4,-0.1403631716966629,True
1,5,5,-0.13359667360782623,True
2,1,2,-0.12054160237312317,True
2,2,3,-0.11109734326601028,True
2,3,4,-0.10627971589565277,True
2,4,5,-0.09720715880393982,True
2,5,6,-0.09417445957660675,True
3,1,3,-0.14053192734718323,True
3,2,4,-0.12653663754463196,True
3,3,5,-0.11523737013339996,True
3,4,6,-0.09089268743991852,True
3,5,7,-0.08990539610385895,True
4,1,4,-0.0753835141658783,True
4,2,5,-0.06555012613534927,True
4,3,6,-0.07224326580762863,True
4,4,7,-0.05205122008919716,True
4,5,8,-0.03028680384159088,True
5,1,5,-0.11826138198375702,True
5,2,6,-0.1259615570306778,True
5,3,7,-0.12633374333381653,True
5,4,8,-0.1081431433558464,True
5,5,9,-0.1517559289932251,True
6,1,6,-0.13319812715053558,True
6,2,7,-0.13532666862010956,True
6,3,8,-0.13680753111839294,True
6,4,9,-0.1276054084300995,True
6,5,10,-0.12446407228708267,True
7,1,7,-0.16583923995494843,True
7,2,8,-0.1734561324119568,True
7,3,9,-0.15440453588962555,True
7,4,10,-0.15569253265857697,True
7,5,11,-0.14809462428092957,True
8,1,8,-0.15249916911125183,True
8,2,9,-0.15913501381874084,True
8,3,10,-0.13131453096866608,True
8,4,11,-0.11935559660196304,True
8,5,12,-0.11010108143091202,True
9,1,9,-0.081293985247612,True
9,2,10,-0.07074505090713501,True
9,3,11,-0.04817920923233032,True
9,4,12,-0.0556306429207325,True
9,5,13,-0.022894060239195824,True
10,1,10,-0.07311590015888214,True
10,2,11,-0.06039115786552429,True
10,3,12,-0.026155732572078705,True
10,4,13,-0.04149162396788597,True
10,5,14,-0.014992937445640564,True
11,1,11,-0.1276698112487793,True
11,2,12,-0.144248828291893,True
11,3,13,-0.11545324325561523,True
11,4,14,-0.11128627508878708,True
11,5,15,-0.08805400878190994,True
12,1,12,-0.10569694638252258,True
12,2,13,-0.10964497923851013,True
12,3,14,-0.1032092496752739,True
12,4,15,-0.08107103407382965,True
12,5,16,-0.06525875627994537,True
13,1,13,0.2038533091545105,True
13,2,14,0.23864050209522247,True
13,3,15,0.2599524259567261,True
13,4,16,0.23481090366840363,True
13,5,17,0.28040698170661926,True
14,1,14,0.033724479377269745,True
14,2,15,0.044983625411987305,True
14,3,16,0.06689012795686722,True
14,4,17,0.06409049779176712,True
14,5,18,0.06542669981718063,True
15,1,15,0.014386933296918869,True
15,2,16,0.02844206802546978,True
15,3,17,0.0472090020775795,True
15,4,18,0.04081861302256584,True
15,5,19,0.04214096814393997,True
16,1,16,-0.023590005934238434,True
16,2,17,-0.007442050613462925,True
16,3,18,0.01844092085957527,True
16,4,19,0.03953258693218231,True
16,5,20,0.05126713961362839,True
17,1,17,0.025731977075338364,True
17,2,18,0.02899324521422386,True
17,3,19,0.04936465620994568,True
17,4,20,0.029941130429506302,True
17,5,21,0.04330545663833618,True
18,1,18,0.07062054425477982,True
18,2,19,0.07109416276216507,True
18,3,20,0.07675891369581223,True
18,4,21,0.0739913210272789,True
18,5,22,0.06617077440023422,True
19,1,19,0.14512768387794495,True
19,2,20,0.15245141088962555,True
19,3,21,0.16326652467250824,True
19,4,22,0.1548887938261032,True
19,5,23,0.16427890956401825,True
20,1,20,0.13115394115447998,True
20,2,21,0.11343620717525482,True
20,3,22,0.10537251830101013,True
20,4,23,0.09082780033349991,True
20,5,24,0.10656017810106277,True
21,1,21,0.1497439444065094,True
21,2,22,0.15634813904762268,True
21,3,23,0.17019324004650116,True
21,4,24,0.162705197930336,True
21,5,25,0.17235390841960907,True
22,1,22,0.18164104223251343,True
22,2,23,0.19329150021076202,True
22,3,24,0.19637431204319,True
22,4,25,0.20082469284534454,True
22,5,26,0.21789918839931488,True
23,1,23,0.16153360903263092,True
23,2,24,0.17465010285377502,True
23,3,25,0.18815894424915314,True
23,4,26,0.18722756206989288,True
23,5,27,0.19827699661254883,True
24,1,24,0.24168899655342102,True
24,2,25,0.26221027970314026,True
24,3,26,0.2814805805683136,True
24,4,27,0.2822587192058563,True
24,5,28,0.27331188321113586,True
25,1,25,0.19252970814704895,True
25,2,26,0.20256108045578003,True
25,3,27,0.21040001511573792,True
25,4,28,0.2254118174314499,True
25,5,29,0.22594161331653595,True
26,1,26,0.21688184142112732,True
26,2,27,0.22117845714092255,True
26,3,28,0.23162387311458588,True
26,4,29,0.24035170674324036,True
26,5,30,0.24277496337890625,True
27,1,27,0.15359361469745636,True
27,2,28,0.15030591189861298,True
27,3,29,0.16545814275741577,True
27,4,30,0.174271360039711,True
27,5,31,0.16900935769081116,True
28,1,28,0.2096364051103592,True
28,2,29,0.2094760686159134,True
28,3,30,0.20745277404785156,True
28,4,31,0.22398889064788818,True
28,5,32,0.23611435294151306,True
29,1,29,0.29570916295051575,True
29,2,30,0.3181076943874359,True
29,3,31,0.3164617717266083,True
29,4,32,0.3204697370529175,True
29,5,33,0.3356514573097229,True
30,1,30,0.17749644815921783,True
30,2,31,0.1865953952074051,True
30,3,32,0.17259618639945984,True
30,4,33,0.17105858027935028,True
30,5,34,0.15863308310508728,True
31,1,31,0.15539619326591492,True
31,2,32,0.1648133397102356,True
31,3,33,0.17097072303295135,True
31,4,34,0.19041912257671356,True
31,5,35,0.20146968960762024,True
32,1,32,0.1668129563331604,True
32,2,33,0.18356993794441223,True
32,3,34,0.1878880113363266,True
32,4,35,0.20394906401634216,True
32,5,36,0.2109472155570984,True
33,1,33,0.1813383251428604,True
33,2,34,0.20026719570159912,True
33,3,35,0.2030322402715683,True
33,4,36,0.21070148050785065,True
33,5,37,0.20529429614543915,True
34,1,34,0.20690041780471802,True
34,2,35,0.21424263715744019,True
34,3,36,0.2277240753173828,True
34,4,37,0.23721560835838318,True
34,5,38,0.23380286991596222,True
35,1,35,0.15970870852470398,True
35,2,36,0.15153734385967255,True
35,3,37,0.1635032743215561,True
35,4,38,0.17147448658943176,True
35,5,39,0.16322475671768188,True
36,1,36,0.054505638778209686,True
36,2,37,0.07400882244110107,True
36,3,38,0.08659692853689194,True
36,4,39,0.1071147620677948,True
36,5,40,0.09903818368911743,True
37,1,37,0.09571993350982666,True
37,2,38,0.06661775708198547,True
37,3,39,0.08871804177761078,True
37,4,40,0.08772198855876923,True
37,5,41,0.07400834560394287,True
38,1,38,0.0592510811984539,True
38,2,39,0.039520859718322754,True
38,3,40,0.0451856330037117,True
38,4,41,0.04562830179929733,True
38,5,42,0.04930851235985756,True
39,1,39,0.04269060865044594,True
39,2,40,0.05844596400856972,True
39,3,41,0.06228073313832283,True
39,4,42,0.07851983606815338,True
39,5,43,0.050087958574295044,True
40,1,40,-0.016701873391866684,True
40,2,41,-0.005629093386232853,True
40,3,42,0.0039052339270710945,True
40,4,43,0.008538435213267803,True
40,5,44,0.006543144583702087,True
41,1,41,-0.08874017000198364,True
41,2,42,-0.0874861478805542,True
41,3,43,-0.07706066220998764,True
41,4,44,-0.06935916841030121,True
41,5,45,-0.09449172019958496,True
42,1,42,-0.04651346802711487,True
42,2,43,-0.03220493346452713,True
42,3,44,-0.03845599293708801,True
42,4,45,-0.025617623701691628,True
42,5,46,-0.0643777847290039,True
43,1,43,0.015275463461875916,True
43,2,44,0.015091190114617348,True
43,3,45,0.017836296930909157,True
43,4,46,0.035769324749708176,True
43,5,47,0.027677172794938087,True
44,1,44,-0.05058733746409416,True
44,2,45,-0.06347143650054932,True
44,3,46,-0.03571362420916557,True
44,4,47,-0.03137494996190071,True
44,5,48,-0.042327456176280975,True
45,1,45,-0.045141320675611496,True
45,2,46,-0.05432719737291336,True
45,3,47,-0.03399627283215523,True
45,4,48,-0.030348867177963257,True
45,5,49,-0.040307607501745224,True
46,1,46,-0.08475460112094879,True
46,2,47,-0.09072604775428772,True
46,3,48,-0.07179488241672516,True
