rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
0,1,0,-0.10104570537805557,-0.08472424745559692,-0.01632145792245865,0.01632145792245865,0.0002663899887145882
0,2,1,-0.07996746152639389,-0.08185362815856934,0.0018861666321754456,0.0018861666321754456,3.5576245643320625e-06
0,3,2,-0.09690538048744202,-0.16674184799194336,0.06983646750450134,0.06983646750450134,0.004877132193507272
0,4,3,-0.10184799134731293,-0.22747588157653809,0.12562789022922516,0.12562789022922516,0.015782366803446246
0,5,4,-0.08366405218839645,-0.2558540105819702,0.17218995094299316,0.17218995094299316,0.029649379205750392
1,1,1,-0.21635133028030396,-0.27202874422073364,0.05567741394042969,0.05567741394042969,0.003099974423093954
1,2,2,-0.20293138921260834,-0.16043907403945923,-0.04249231517314911,0.04249231517314911,0.001805596848774238
1,3,3,-0.221933975815773,-0.19603127241134644,-0.025902703404426575,0.025902703404426575,0.0006709500436576921
1,4,4,-0.24246937036514282,-0.16339462995529175,-0.07907474040985107,0.07907474040985107,0.006252814570885334
1,5,5,-0.21657514572143555,-0.14494407176971436,-0.07163107395172119,0.07163107395172119,0.00513101075547695
2,1,2,-0.12453305721282959,-0.12105399370193481,-0.0034790635108947754,0.0034790635108947754,1.2103882912839481e-05
2,2,3,-0.09602994471788406,-0.15527433156967163,0.05924438685178757,0.05924438685178757,0.0035098973734442596
2,3,4,-0.11252936720848083,-0.143490731716156,0.03096136450767517,0.03096136450767517,0.0009586060921771278
2,4,5,-0.13621346652507782,-0.1601008176803589,0.023887351155281067,0.023887351155281067,0.0005706055452157077
2,5,6,-0.11997018754482269,-0.13148963451385498,0.011519446969032288,0.011519446969032288,0.00013269765847234716
3,1,3,-0.14288166165351868,-0.10989296436309814,-0.03298869729042053,0.03298869729042053,0.001088254148918999
3,2,4,-0.13488757610321045,-0.09349173307418823,-0.04139584302902222,0.04139584302902222,0.0017136158200834473
3,3,5,-0.14277765154838562,-0.08953279256820679,-0.05324485898017883,0.05324485898017883,0.0028350150078191305
3,4,6,-0.15197427570819855,-0.08579134941101074,-0.0661829262971878,0.0661829262971878,0.004380179733258993
3,5,7,-0.11221501231193542,-0.08113634586334229,-0.03107866644859314,0.03107866644859314,0.0009658835082229089
4,1,4,-0.07242927700281143,-0.06802332401275635,-0.004405952990055084,0.004405952990055084,1.9412421750575337e-05
4,2,5,-0.05834006145596504,-0.0644269585609436,0.006086897104978561,0.006086897104978561,3.705031636659639e-05
4,3,6,-0.07190054655075073,-0.09938156604766846,0.027481019496917725,0.027481019496917725,0.0007552064325899721
4,4,7,-0.08131305128335953,-0.12771368026733398,0.04640062898397446,0.04640062898397446,0.0021530183701084504
4,5,8,-0.053249113261699677,-0.12938028573989868,0.076131172478199,0.076131172478199,0.005795955422905286
5,1,5,-0.13597077131271362,-0.1379309892654419,0.0019602179527282715,0.0019602179527282715,3.842454422198216e-06
5,2,6,-0.10870136320590973,-0.13248401880264282,0.023782655596733093,0.023782655596733093,0.0005656147072328199
5,3,7,-0.12784601747989655,-0.127915620803833,6.96033239364624e-05,6.96033239364624e-05,4.84462270300412e-09
5,4,8,-0.13580705225467682,-0.07406103610992432,-0.0617460161447525,0.0617460161447525,0.0038125705097480367
5,5,9,-0.12794357538223267,-0.06466066837310791,-0.06328290700912476,0.06328290700912476,0.004004726319525531
6,1,6,-0.13108745217323303,-0.1314680576324463,0.00038060545921325684,0.00038060545921325684,1.448605155829341e-07
6,2,7,-0.10799562186002731,-0.13506770133972168,0.027072079479694366,0.027072079479694366,0.0007328974873548888
6,3,8,-0.11003299802541733,-0.135844886302948,0.02581188827753067,0.02581188827753067,0.0006662535764517252
6,4,9,-0.12747715413570404,-0.1459892988204956,0.018512144684791565,0.018512144684791565,0.0003426995008306566
6,5,10,-0.12714433670043945,-0.1538429856300354,0.026698648929595947,0.026698648929595947,0.0007128178546658148
7,1,7,-0.16248133778572083,-0.18195432424545288,0.019472986459732056,0.019472986459732056,0.000379197201660908
7,2,8,-0.1363241821527481,-0.18490928411483765,0.04858510196208954,0.04858510196208954,0.0023605121326666367
7,3,9,-0.14535608887672424,-0.20956116914749146,0.06420508027076721,0.06420508027076721,0.004122292332575661
7,4,10,-0.15777292847633362,-0.18956440687179565,0.031791478395462036,0.031791478395462036,0.0010106980985691294
7,5,11,-0.15048108994960785,-0.1887143850326538,0.03823329508304596,0.03823329508304596,0.0014617848529072663
8,1,8,-0.1446315348148346,-0.15250283479690552,0.007871299982070923,0.007871299982070923,6.195736340774971e-05
8,2,9,-0.12769918143749237,-0.14868813753128052,0.020988956093788147,0.020988956093788147,0.0004405362779069666
8,3,10,-0.1302269548177719,-0.1450853943824768,0.014858439564704895,0.014858439564704895,0.0002207732262979878
8,4,11,-0.15651877224445343,-0.13843083381652832,-0.01808793842792511,0.01808793842792511,0.0003271735165724099
8,5,12,-0.14680790901184082,-0.14033818244934082,-0.0064697265625,0.0064697265625,4.1857361793518066e-05
9,1,9,-0.09018635749816895,-0.09151417016983032,0.001327812671661377,0.001327812671661377,1.7630864910245236e-06
9,2,10,-0.0636110007762909,-0.07661652565002441,0.01300552487373352,0.01300552487373352,0.0001691436772413013
9,3,11,-0.064190573990345,-0.08780109882354736,0.023610524833202362,0.023610524833202362,0.0005574568828992654
9,4,12,-0.07369691133499146,-0.08227676153182983,0.008579850196838379,0.008579850196838379,7.361382940018757e-05
9,5,13,-0.061932146549224854,-0.0998913049697876,0.037959158420562744,0.037959158420562744,0.0014408977079973795
10,1,10,-0.0635913535952568,-0.06342566013336182,-0.00016569346189498901,0.00016569346189498901,2.7454323314746176e-08
10,2,11,-0.04616360366344452,-0.07635527849197388,0.030191674828529358,0.030191674828529358,0.0009115372289516532
10,3,12,-0.04506799578666687,-0.06709295511245728,0.022024959325790405,0.022024959325790405,0.00048509883330272174
10,4,13,-0.05898647755384445,-0.08016365766525269,0.021177180111408234,0.021177180111408234,0.00044847295747102445
