rolling_step,horizon_step,target_index,predicted_value,locked
0,1,0,-0.24825727939605713,True
0,2,1,-0.24412089586257935,True
0,3,2,-0.23400276899337769,True
0,4,3,-0.22764980792999268,True
0,5,4,-0.2290254533290863,True
1,1,1,-0.2809861898422241,True
1,2,2,-0.2783976197242737,True
1,3,3,-0.2621367573738098,True
1,4,4,-0.261006236076355,True
1,5,5,-0.26132139563560486,True
2,1,2,-0.21869565546512604,True
2,2,3,-0.2166992574930191,True
2,3,4,-0.20733964443206787,True
2,4,5,-0.20610323548316956,True
2,5,6,-0.2081190049648285,True
3,1,3,-0.1650221049785614,True
3,2,4,-0.15602001547813416,True
3,3,5,-0.14654827117919922,True
3,4,6,-0.13622093200683594,True
3,5,7,-0.13687366247177124,True
4,1,4,-0.09874589741230011,True
4,2,5,-0.09454227983951569,True
4,3,6,-0.09238797426223755,True
4,4,7,-0.08779670298099518,True
4,5,8,-0.0905119851231575,True
5,1,5,-0.1297551393508911,True
5,2,6,-0.12667715549468994,True
5,3,7,-0.12272271513938904,True
5,4,8,-0.11405869573354721,True
5,5,9,-0.11914657801389694,True
6,1,6,0.040885720402002335,True
6,2,7,0.05096173286437988,True
6,3,8,0.04761583358049393,True
6,4,9,0.0464121475815773,True
6,5,10,0.04391779750585556,True
7,1,7,0.13509736955165863,True
7,2,8,0.13626523315906525,True
7,3,9,0.13580358028411865,True
7,4,10,0.13916853070259094,True
7,5,11,0.1336514800786972,True
8,1,8,0.27676376700401306,True
8,2,9,0.28060418367385864,True
8,3,10,0.28147053718566895,True
8,4,11,0.27891600131988525,True
8,5,12,0.2815677225589752,True
9,1,9,0.37930935621261597,True
9,2,10,0.37918275594711304,True
9,3,11,0.38852664828300476,True
9,4,12,0.3824385702610016,True
9,5,13,0.38330015540122986,True
10,1,10,0.33622419834136963,True
10,2,11,0.33238598704338074,True
10,3,12,0.33889827132225037,True
10,4,13,0.3346216678619385,True
10,5,14,0.33037427067756653,True
11,1,11,0.34093427658081055,True
11,2,12,0.3427988588809967,True
11,3,13,0.35146811604499817,True
11,4,14,0.3509751856327057,True
11,5,15,0.35556676983833313,True
12,1,12,0.5701281428337097,True
12,2,13,0.5526844263076782,True
12,3,14,0.5612944960594177,True
12,4,15,0.5460537075996399,True
12,5,16,0.539638340473175,True
13,1,13,0.6657262444496155,True
13,2,14,0.6528457403182983,True
13,3,15,0.671159565448761,True
13,4,16,0.6821181774139404,True
13,5,17,0.6875731945037842,True
14,1,14,0.5044963955879211,True
14,2,15,0.48662349581718445,True
14,3,16,0.49905475974082947,True
14,4,17,0.49812987446784973,True
14,5,18,0.500190794467926,True
15,1,15,0.5680781602859497,True
15,2,16,0.5507758855819702,True
15,3,17,0.5608282685279846,True
15,4,18,0.5555314421653748,True
15,5,19,0.5603054165840149,True
16,1,16,0.4661504626274109,True
16,2,17,0.4495681822299957,True
16,3,18,0.45316728949546814,True
16,4,19,0.44637933373451233,True
16,5,20,0.44877928495407104,True
17,1,17,0.39670103788375854,True
17,2,18,0.3880288600921631,True
17,3,19,0.3943553864955902,True
17,4,20,0.3956940472126007,True
17,5,21,0.40167543292045593,True
18,1,18,0.316365510225296,True
18,2,19,0.3130590617656708,True
18,3,20,0.316255122423172,True
18,4,21,0.3118964731693268,True
18,5,22,0.3191719353199005,True
19,1,19,0.33073002099990845,True
19,2,20,0.32845327258110046,True
19,3,21,0.33257824182510376,True
19,4,22,0.3334416449069977,True
19,5,23,0.3425523638725281,True
20,1,20,0.2243063896894455,True
20,2,21,0.228482186794281,True
20,3,22,0.22979557514190674,True
20,4,23,0.22807210683822632,True
20,5,24,0.23361745476722717,True
21,1,21,0.1600014567375183,True
21,2,22,0.16225577890872955,True
21,3,23,0.16359880566596985,True
21,4,24,0.16076847910881042,True
21,5,25,0.16593480110168457,True
22,1,22,0.34107330441474915,True
22,2,23,0.3473424017429352,True
22,3,24,0.3462534248828888,True
22,4,25,0.33121833205223083,True
22,5,26,0.34373748302459717,True
23,1,23,0.4366210699081421,True
23,2,24,0.4361172914505005,True
23,3,25,0.4470047056674957,True
23,4,26,0.442714124917984,True
23,5,27,0.4548299014568329,True
24,1,24,0.2787194848060608,True
24,2,25,0.2746403217315674,True
24,3,26,0.28290340304374695,True
24,4,27,0.2791295051574707,True
24,5,28,0.28185105323791504,True
25,1,25,0.20586518943309784,True
25,2,26,0.20562836527824402,True
25,3,27,0.2077319324016571,True
25,4,28,0.20627626776695251,True
25,5,29,0.20827552676200867,True
26,1,26,0.2224549800157547,True
26,2,27,0.22731900215148926,True
26,3,28,0.22715988755226135,True
26,4,29,0.22546905279159546,True
26,5,30,0.23219573497772217,True
27,1,27,0.2389403134584427,True
27,2,28,0.24809236824512482,True
27,3,29,0.24848055839538574,True
27,4,30,0.24206674098968506,True
27,5,31,0.24361896514892578,True
28,1,28,0.20993183553218842,True
28,2,29,0.215188667178154,True
28,3,30,0.218156099319458,True
28,4,31,0.21563240885734558,True
28,5,32,0.2172265350818634,True
29,1,29,0.22485573589801788,True
29,2,30,0.2320065200328827,True
29,3,31,0.23309558629989624,True
29,4,32,0.22637975215911865,True
29,5,33,0.22996088862419128,True
30,1,30,0.20500819385051727,True
30,2,31,0.2059609591960907,True
30,3,32,0.20897066593170166,True
30,4,33,0.20858478546142578,True
30,5,34,0.20869818329811096,True
31,1,31,0.17815656960010529,True
31,2,32,0.18357399106025696,True
31,3,33,0.18136468529701233,True
31,4,34,0.18262293934822083,True
31,5,35,0.18592599034309387,True
32,1,32,0.1745571792125702,True
32,2,33,0.1818867027759552,True
32,3,34,0.1808805763721466,True
32,4,35,0.18199318647384644,True
32,5,36,0.1843060851097107,True
33,1,33,0.2732369303703308,True
33,2,34,0.2849937677383423,True
33,3,35,0.28404465317726135,True
33,4,36,0.2744969427585602,True
33,5,37,0.27758902311325073,True
34,1,34,0.14931732416152954,True
34,2,35,0.15081427991390228,True
34,3,36,0.15505608916282654,True
34,4,37,0.1566218137741089,True
34,5,38,0.15517908334732056,True
35,1,35,0.14532487094402313,True
35,2,36,0.1509966254234314,True
35,3,37,0.15129026770591736,True
35,4,38,0.1459352672100067,True
35,5,39,0.14721980690956116,True
36,1,36,0.021368268877267838,True
36,2,37,0.029630104079842567,True
36,3,38,0.029757194221019745,True
36,4,39,0.03712097555398941,True
36,5,40,0.03365322947502136,True
37,1,37,0.07447697222232819,True
37,2,38,0.08476608246564865,True
37,3,39,0.08219502121210098,True
37,4,40,0.07901758700609207,True
37,5,41,0.08090049028396606,True
38,1,38,0.04267178848385811,True
38,2,39,0.050616249442100525,True
38,3,40,0.050336070358753204,True
38,4,41,0.05305960029363632,True
38,5,42,0.05250724405050278,True
39,1,39,0.009446952491998672,True
39,2,40,0.015718286857008934,True
39,3,41,0.013453491032123566,True
39,4,42,0.01526835560798645,True
39,5,43,0.015403453260660172,True
40,1,40,0.025372732430696487,True
40,2,41,0.03340521454811096,True
40,3,42,0.03622876852750778,True
40,4,43,0.039417609572410583,True
40,5,44,0.037911657243967056,True
41,1,41,-0.1086217612028122,True
41,2,42,-0.10674744844436646,True
41,3,43,-0.10602497309446335,True
41,4,44,-0.10409069061279297,True
41,5,45,-0.10544656962156296,True
42,1,42,-0.03989626094698906,True
42,2,43,-0.030154140666127205,True
42,3,44,-0.030293390154838562,True
42,4,45,-0.024854451417922974,True
42,5,46,-0.027265608310699463,True
43,1,43,-0.03868352249264717,True
43,2,44,-0.0279043260961771,True
43,3,45,-0.026517972350120544,True
43,4,46,-0.02977782115340233,True
43,5,47,-0.030652008950710297,True
44,1,44,-0.02723027393221855,True
44,2,45,-0.0223060492426157,True
44,3,46,-0.019456245005130768,True
44,4,47,-0.009906843304634094,True
44,5,48,-0.012808389961719513,True
45,1,45,-0.11601218581199646,True
45,2,46,-0.11639043688774109,True
45,3,47,-0.1128733903169632,True
45,4,48,-0.10988844931125641,True
45,5,49,-0.11298786848783493,True
46,1,46,-0.13085319101810455,True
46,2,47,-0.12948329746723175,True
46,3,48,-0.12118376046419144,True
46,4,49,-0.12006594240665436,True
46,5,50,-0.12253905087709427,True
47,1,47,-0.1401851922273636,True
47,2,48,-0.1377565860748291,True
47,3,49,-0.13064955174922943,True
47,4,50,-0.132802814245224,True
47,5,51,-0.1332484781742096,True
48,1,48,0.0043413154780864716,True
48,2,49,0.014969268813729286,True
48,3,50,0.012611038982868195,True
48,4,51,0.02212342619895935,True
48,5,52,0.017925746738910675,True
49,1,49,-0.06683168560266495,True
49,2,50,-0.06300987303256989,True
