rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
0,1,0,-0.1816335767507553,-0.27355802059173584,0.09192444384098053,0.09192444384098053,0.008450103375473583
0,2,1,-0.2275628298521042,-0.2581688165664673,0.030605986714363098,0.030605986714363098,0.0009367264227597705
0,3,2,-0.23921017348766327,-0.3361065983772278,0.09689642488956451,0.09689642488956451,0.009388917156379017
0,4,3,-0.29663053154945374,-0.369385302066803,0.07275477051734924,0.07275477051734924,0.005293256633032151
0,5,4,-0.24128907918930054,-0.3355461359024048,0.09425705671310425,0.09425705671310425,0.00888439274021735
1,1,1,-0.2178097665309906,-0.30440014600753784,0.08659037947654724,0.08659037947654724,0.007497893817892454
1,2,2,-0.31883326172828674,-0.17457985877990723,-0.14425340294837952,0.14425340294837952,0.020809044262187548
1,3,3,-0.3022155165672302,-0.23186659812927246,-0.07034891843795776,0.07034891843795776,0.004948970325390434
1,4,4,-0.3625490665435791,-0.18889033794403076,-0.17365872859954834,0.17365872859954834,0.03015735401881159
1,5,5,-0.30952826142311096,-0.204850435256958,-0.10467782616615295,0.10467782616615295,0.010957447290871336
2,1,2,-0.18524040281772614,-0.2463359236717224,0.06109552085399628,0.06109552085399628,0.003732662668421094
2,2,3,-0.2699842154979706,-0.2646142244338989,-0.005369991064071655,0.005369991064071655,2.883680402820943e-05
2,3,4,-0.28739678859710693,-0.27986013889312744,-0.007536649703979492,0.007536649703979492,5.680108876049417e-05
2,4,5,-0.37389475107192993,-0.29999154806137085,-0.07390320301055908,0.07390320301055908,0.005461683415219909
2,5,6,-0.36907023191452026,-0.28579849004745483,-0.08327174186706543,0.08327174186706543,0.0069341829935751775
3,1,3,-0.14245489239692688,-0.12477117776870728,-0.017683714628219604,0.017683714628219604,0.000312713763052308
3,2,4,-0.15656812489032745,-0.06916344165802002,-0.08740468323230743,0.08740468323230743,0.007639578650940004
3,3,5,-0.15817834436893463,-0.048582613468170166,-0.10959573090076447,0.10959573090076447,0.012011224231672779
3,4,6,-0.14017289876937866,-0.04779106378555298,-0.09238183498382568,0.09238183498382568,0.008534403434978799
3,5,7,-0.14933544397354126,-0.05422258377075195,-0.0951128602027893,0.0951128602027893,0.009046456175955342
4,1,4,-0.09529565274715424,-0.11601519584655762,0.02071954309940338,0.02071954309940338,0.0004292994662480343
4,2,5,-0.11200984567403793,-0.09369397163391113,-0.0183158740401268,0.0183158740401268,0.00033547124185379085
4,3,6,-0.12819695472717285,-0.06471318006515503,-0.06348377466201782,0.06348377466201782,0.004030189645337856
4,4,7,-0.07978858798742294,-0.0781242847442627,-0.0016643032431602478,0.0016643032431602478,2.769905285193719e-06
4,5,8,-0.10758496820926666,-0.08101779222488403,-0.02656717598438263,0.02656717598438263,0.0007058148397851571
5,1,5,-0.12391410022974014,-0.12861639261245728,0.004702292382717133,0.004702292382717133,2.2111553652559568e-05
5,2,6,-0.1350921094417572,-0.11602276563644409,-0.01906934380531311,0.01906934380531311,0.0003636398731652335
5,3,7,-0.15236613154411316,-0.11419332027435303,-0.03817281126976013,0.03817281126976013,0.0014571635202367261
5,4,8,-0.11932919174432755,-0.057266831398010254,-0.06206236034631729,0.06206236034631729,0.003851736571756137
5,5,9,-0.13621148467063904,-0.011147022247314453,-0.12506446242332458,0.12506446242332458,0.015641119761235167
6,1,6,0.03173403814435005,0.0157090425491333,0.01602499559521675,0.01602499559521675,0.0002568004838267163
6,2,7,0.053236473351716995,0.017984509468078613,0.03525196388363838,0.03525196388363838,0.0012427009576533449
6,3,8,0.024982158094644547,0.00035011768341064453,0.024632040411233902,0.024632040411233902,0.00060673741482066
6,4,9,0.04640306532382965,0.009189248085021973,0.03721381723880768,0.03721381723880768,0.0013848681934833795
6,5,10,0.019906871020793915,0.013783693313598633,0.006123177707195282,0.006123177707195282,3.749330523389327e-05
7,1,7,0.12588447332382202,0.1342451572418213,-0.008360683917999268,0.008360683917999268,6.990103557669158e-05
7,2,8,0.1461670696735382,0.13819491863250732,0.007972151041030884,0.007972151041030884,6.35551922210098e-05
7,3,9,0.14121438562870026,0.12925851345062256,0.011955872178077698,0.011955872178077698,0.00014294287953853235
7,4,10,0.19429343938827515,0.16347384452819824,0.030819594860076904,0.030819594860076904,0.0009498474273392787
7,5,11,0.15636305510997772,0.1821368932723999,-0.02577383816242218,0.02577383816242218,0.0006642907336227299
8,1,8,0.24842916429042816,0.29064440727233887,-0.042215242981910706,0.042215242981910706,0.001782126740021761
8,2,9,0.285195916891098,0.29117774963378906,-0.00598183274269104,0.00598183274269104,3.578232296153061e-05
8,3,10,0.2876453995704651,0.3265949487686157,-0.038949549198150635,0.038949549198150635,0.0015170673827391568
8,4,11,0.29352349042892456,0.37001287937164307,-0.0764893889427185,0.0764893889427185,0.005850626620830468
8,5,12,0.28380367159843445,0.39257514476776123,-0.10877147316932678,0.10877147316932678,0.011831233375425576
9,1,9,0.3372191786766052,0.3674049377441406,-0.0301857590675354,0.0301857590675354,0.0009111800504832956
9,2,10,0.3666869103908539,0.29901623725891113,0.06767067313194275,0.06767067313194275,0.004579320002130238
9,3,11,0.36939549446105957,0.2850755453109741,0.08431994915008545,0.08431994915008545,0.007109853824672996
9,4,12,0.33011454343795776,0.28691673278808594,0.043197810649871826,0.043197810649871826,0.0018660508449421798
9,5,13,0.31918108463287354,0.3304750919342041,-0.011294007301330566,0.011294007301330566,0.00012755460092250814
10,1,10,0.29216375946998596,0.3572375774383545,-0.06507381796836853,0.06507381796836853,0.004234601784980363
10,2,11,0.3334273397922516,0.3181746006011963,0.015252739191055298,0.015252739191055298,0.00023264605283035422
10,3,12,0.3209804594516754,0.3361954689025879,-0.015215009450912476,0.015215009450912476,0.00023149651259135595
10,4,13,0.31249091029167175,0.3217257261276245,-0.009234815835952759,0.009234815835952759,8.528182352396385e-05
10,5,14,0.30830562114715576,0.3317432403564453,-0.02343761920928955,0.02343761920928955,0.0005493219941996585
11,1,11,0.2922939658164978,0.32789766788482666,-0.03560370206832886,0.03560370206832886,0.0012676236009703246
11,2,12,0.3373986780643463,0.3479762077331543,-0.010577529668807983,0.010577529668807983,0.00011188413389451313
11,3,13,0.3406917452812195,0.4010941982269287,-0.06040245294570923,0.06040245294570923,0.0036484563218586175
11,4,14,0.3168449401855469,0.40576863288879395,-0.08892369270324707,0.08892369270324707,0.007907423123981516
11,5,15,0.35472792387008667,0.4350898265838623,-0.08036190271377563,0.08036190271377563,0.00645803540777834
12,1,12,0.5098181366920471,0.598326563835144,-0.08850842714309692,0.08850842714309692,0.007833741675344896
12,2,13,0.5773193836212158,0.6357108354568481,-0.058391451835632324,0.058391451835632324,0.0034095616474729695
12,3,14,0.5385175347328186,0.5709706544876099,-0.03245311975479126,0.03245311975479126,0.0010532049818188227
12,4,15,0.5777761936187744,0.6015902757644653,-0.023814082145690918,0.023814082145690918,0.000567110508441715
12,5,16,0.6003551483154297,0.6329218149185181,-0.03256666660308838,0.03256666660308838,0.001060587773636712
