rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
0,1,0,-0.16207486391067505,-0.16655302047729492,0.004478156566619873,0.004478156566619873,2.005388623516069e-05
0,2,1,-0.1666393131017685,-0.1666579246520996,1.8611550331115723e-05,1.8611550331115723e-05,3.4638980572765377e-10
0,3,2,-0.16219192743301392,-0.19933903217315674,0.03714710474014282,0.03714710474014282,0.0013799073905751413
0,4,3,-0.15502718091011047,-0.22499078512191772,0.06996360421180725,0.06996360421180725,0.004894905914306413
0,5,4,-0.15859267115592957,-0.2171221375465393,0.05852946639060974,0.05852946639060974,0.0034256984359695153
1,1,1,-0.23148220777511597,-0.2411864995956421,0.009704291820526123,0.009704291820526123,9.417327973793022e-05
1,2,2,-0.2307620793581009,-0.16622662544250488,-0.06453545391559601,0.06453545391559601,0.004164824812092016
1,3,3,-0.23339128494262695,-0.1956825852394104,-0.03770869970321655,0.03770869970321655,0.0014219460333073641
1,4,4,-0.22548717260360718,-0.17482012510299683,-0.05066704750061035,0.05066704750061035,0.0025671497024291057
1,5,5,-0.23129385709762573,-0.164104163646698,-0.06718969345092773,0.06718969345092773,0.004514454906029641
2,1,2,-0.1846281886100769,-0.196760356426239,0.01213216781616211,0.01213216781616211,0.00014718949591951969
2,2,3,-0.1817597895860672,-0.21285754442214966,0.03109775483608246,0.03109775483608246,0.0009670703558450899
2,3,4,-0.18406619131565094,-0.2236902117729187,0.03962402045726776,0.03962402045726776,0.001570062997197974
2,4,5,-0.17879043519496918,-0.24140727519989014,0.06261684000492096,0.06261684000492096,0.00392086865220187
2,5,6,-0.17826548218727112,-0.2209567427635193,0.04269126057624817,0.04269126057624817,0.0018225437295891211
3,1,3,-0.2067471146583557,-0.1860453486442566,-0.02070176601409912,0.02070176601409912,0.0004285631161025094
3,2,4,-0.20245884358882904,-0.16669249534606934,-0.035766348242759705,0.035766348242759705,0.0012792316666223602
3,3,5,-0.20398452877998352,-0.15440982580184937,-0.049574702978134155,0.049574702978134155,0.0024576511753702235
3,4,6,-0.1983817219734192,-0.16178977489471436,-0.036591947078704834,0.036591947078704834,0.0013389705910107352
3,5,7,-0.19939804077148438,-0.16364765167236328,-0.035750389099121094,0.035750389099121094,0.0012780903207385563
4,1,4,-0.1932443082332611,-0.20603042840957642,0.012786120176315308,0.012786120176315308,0.0001634848691631774
4,2,5,-0.19131061434745789,-0.19665420055389404,0.005343586206436157,0.005343586206436157,2.8553913545614762e-05
4,3,6,-0.18953809142112732,-0.18175089359283447,-0.007787197828292847,0.007787197828292847,6.064045001696883e-05
4,4,7,-0.18693682551383972,-0.18056648969650269,-0.006370335817337036,0.006370335817337036,4.0581178425647124e-05
4,5,8,-0.18672364950180054,-0.1847611665725708,-0.0019624829292297363,0.0019624829292297363,3.851339247518126e-06
5,1,5,-0.11068715155124664,-0.18809771537780762,0.07741056382656097,0.07741056382656097,0.00599239539194607
5,2,6,-0.10753722488880157,-0.17242294549942017,0.06488572061061859,0.06488572061061859,0.004210156739159254
5,3,7,-0.10296030342578888,-0.17970240116119385,0.07674209773540497,0.07674209773540497,0.005889349564830448
5,4,8,-0.10250616818666458,-0.1520722508430481,0.049566082656383514,0.049566082656383514,0.0024567965498994426
5,5,9,-0.10143422335386276,-0.1451115608215332,0.04367733746767044,0.04367733746767044,0.001907709808264768
6,1,6,-0.1283177137374878,-0.10220670700073242,-0.02611100673675537,0.02611100673675537,0.0006817846728068844
6,2,7,-0.1277933120727539,-0.10979551076889038,-0.017997801303863525,0.017997801303863525,0.0003239208517733516
6,3,8,-0.12614187598228455,-0.09886980056762695,-0.027272075414657593,0.027272075414657593,0.0007437660974227711
6,4,9,-0.1223808005452156,-0.09650164842605591,-0.0258791521191597,0.0258791521191597,0.0006697305144066079
6,5,10,-0.12247214466333389,-0.11022603511810303,-0.012246109545230865,0.012246109545230865,0.00014996719899379451
7,1,7,-0.06570224463939667,-0.041213274002075195,-0.024488970637321472,0.024488970637321472,0.0005997096828755932
7,2,8,-0.06483867764472961,-0.030388474464416504,-0.03445020318031311,0.03445020318031311,0.0011868164991648555
7,3,9,-0.06516703963279724,-0.043863117694854736,-0.021303921937942505,0.021303921937942505,0.00045385708993794793
7,4,10,-0.0629369467496872,-0.019112586975097656,-0.04382435977458954,0.04382435977458954,0.0019205745096526616
7,5,11,-0.060758523643016815,-0.022495269775390625,-0.03826325386762619,0.03826325386762619,0.0014640765965384106
8,1,8,0.0018695741891860962,0.002027750015258789,-0.00015817582607269287,0.00015817582607269287,2.5019591953778786e-08
8,2,9,0.003078050911426544,0.0013904571533203125,0.0016875937581062317,0.0016875937581062317,2.8479726923991144e-06
8,3,10,0.003267623484134674,-0.012977242469787598,0.01624486595392227,0.01624486595392227,0.00026389566986090296
8,4,11,0.004363104701042175,-0.02838766574859619,0.03275077044963837,0.03275077044963837,0.0010726129650449057
8,5,12,0.007071778178215027,-0.01865476369857788,0.025726541876792908,0.025726541876792908,0.0006618549569383791
9,1,9,0.014841154217720032,0.023075103759765625,-0.008233949542045593,0.008233949542045593,6.779792506095283e-05
9,2,10,0.014628615230321884,0.05386197566986084,-0.039233360439538956,0.039233360439538956,0.0015392565713787804
9,3,11,0.012654997408390045,0.07018923759460449,-0.05753424018621445,0.05753424018621445,0.0033101887938050134
9,4,12,0.014261148869991302,0.08452820777893066,-0.07026705890893936,0.07026705890893936,0.0049374595677123545
9,5,13,0.016037024557590485,0.0771780014038086,-0.06114097684621811,0.06114097684621811,0.003738219049709779
10,1,10,0.09975142031908035,0.08790802955627441,0.011843390762805939,0.011843390762805939,0.00014026590476051704
10,2,11,0.09930364787578583,0.08120739459991455,0.018096253275871277,0.018096253275871277,0.0003274743826244819
10,3,12,0.09963951259851456,0.09387099742889404,0.005768515169620514,0.005768515169620514,3.3275767262141986e-05
