rolling_step,horizon_step,target_index,predicted_value,locked
0,1,0,-0.183433398604393,True
0,2,1,-0.18025444447994232,True
0,3,2,-0.16237503290176392,True
0,4,3,-0.1574329137802124,True
0,5,4,-0.15918610990047455,True
1,1,1,-0.22809016704559326,True
1,2,2,-0.2146909534931183,True
1,3,3,-0.19978171586990356,True
1,4,4,-0.21778206527233124,True
1,5,5,-0.22633449733257294,True
2,1,2,-0.18876320123672485,True
2,2,3,-0.18195724487304688,True
2,3,4,-0.17023950815200806,True
2,4,5,-0.16858802735805511,True
2,5,6,-0.16693295538425446,True
3,1,3,-0.2162144035100937,True
3,2,4,-0.1941715031862259,True
3,3,5,-0.1885506957769394,True
3,4,6,-0.18902744352817535,True
3,5,7,-0.17389905452728271,True
4,1,4,-0.2106204628944397,True
4,2,5,-0.1997418999671936,True
4,3,6,-0.1880372017621994,True
4,4,7,-0.19313135743141174,True
4,5,8,-0.1883814036846161,True
5,1,5,-0.12795397639274597,True
5,2,6,-0.11256003379821777,True
5,3,7,-0.09580691903829575,True
5,4,8,-0.11210327595472336,True
5,5,9,-0.09476928412914276,True
6,1,6,-0.12099765241146088,True
6,2,7,-0.1312408447265625,True
6,3,8,-0.1316339373588562,True
6,4,9,-0.1434914618730545,True
6,5,10,-0.12501946091651917,True
7,1,7,-0.060831665992736816,True
7,2,8,-0.06971220672130585,True
7,3,9,-0.05725706368684769,True
7,4,10,-0.0859815776348114,True
7,5,11,-0.06452085077762604,True
8,1,8,0.007382034789770842,True
8,2,9,-0.01136831659823656,True
8,3,10,-0.0004660561680793762,True
8,4,11,-0.01824185624718666,True
8,5,12,0.005589280277490616,True
9,1,9,0.013311952352523804,True
9,2,10,0.009070441126823425,True
9,3,11,0.01818031072616577,True
9,4,12,0.011284967884421349,True
9,5,13,0.016991417855024338,True
10,1,10,0.09208358824253082,True
10,2,11,0.08075785636901855,True
10,3,12,0.11213251203298569,True
10,4,13,0.10109611600637436,True
10,5,14,0.10179795324802399,True
11,1,11,0.0015787775628268719,True
11,2,12,-0.01870207116007805,True
11,3,13,-0.005419652443379164,True
11,4,14,0.0021673906594514847,True
11,5,15,0.000539582222700119,True
12,1,12,0.10216528922319412,True
12,2,13,0.09417406469583511,True
12,3,14,0.10819884389638901,True
12,4,15,0.09479280561208725,True
12,5,16,0.10144995152950287,True
13,1,13,0.23906512558460236,True
13,2,14,0.2360534369945526,True
13,3,15,0.2461591362953186,True
13,4,16,0.2413405478000641,True
13,5,17,0.2654492259025574,True
14,1,14,0.13778837025165558,True
14,2,15,0.12122552841901779,True
14,3,16,0.1354023963212967,True
14,4,17,0.1377570778131485,True
14,5,18,0.146253764629364,True
15,1,15,0.17239919304847717,True
15,2,16,0.17778746783733368,True
15,3,17,0.1889398694038391,True
15,4,18,0.19357353448867798,True
15,5,19,0.19862504303455353,True
16,1,16,0.20841194689273834,True
16,2,17,0.18934719264507294,True
16,3,18,0.20732589066028595,True
16,4,19,0.2075461894273758,True
16,5,20,0.21793527901172638,True
17,1,17,0.25549906492233276,True
17,2,18,0.2502204179763794,True
17,3,19,0.26602181792259216,True
17,4,20,0.27500057220458984,True
17,5,21,0.2905277609825134,True
18,1,18,0.19617092609405518,True
18,2,19,0.19668123126029968,True
18,3,20,0.20025014877319336,True
18,4,21,0.2136731594800949,True
18,5,22,0.20447394251823425,True
19,1,19,0.19002889096736908,True
19,2,20,0.1931309998035431,True
19,3,21,0.2034664750099182,True
19,4,22,0.2186460942029953,True
19,5,23,0.21157512068748474,True
20,1,20,0.167525053024292,True
20,2,21,0.1737794578075409,True
20,3,22,0.1746530532836914,True
20,4,23,0.19801899790763855,True
20,5,24,0.18782886862754822,True
21,1,21,0.2439403086900711,True
21,2,22,0.24809184670448303,True
21,3,23,0.25700846314430237,True
21,4,24,0.27246007323265076,True
21,5,25,0.27161547541618347,True
22,1,22,0.30083179473876953,True
22,2,23,0.27750229835510254,True
22,3,24,0.3101681172847748,True
22,4,25,0.32406583428382874,True
22,5,26,0.32437464594841003,True
23,1,23,0.4606546461582184,True
23,2,24,0.4533749222755432,True
23,3,25,0.46115580201148987,True
23,4,26,0.4970753788948059,True
23,5,27,0.49271366000175476,True
24,1,24,0.39435744285583496,True
24,2,25,0.36940377950668335,True
24,3,26,0.4126344323158264,True
24,4,27,0.4302308261394501,True
24,5,28,0.41238436102867126,True
25,1,25,0.3625181019306183,True
25,2,26,0.3356216549873352,True
25,3,27,0.37244468927383423,True
25,4,28,0.38529202342033386,True
25,5,29,0.37680140137672424,True
26,1,26,0.34136176109313965,True
26,2,27,0.32796913385391235,True
26,3,28,0.3657883405685425,True
26,4,29,0.36500000953674316,True
26,5,30,0.3484352231025696,True
27,1,27,0.2483757585287094,True
27,2,28,0.22619876265525818,True
27,3,29,0.2792080044746399,True
27,4,30,0.2955619692802429,True
27,5,31,0.2633283734321594,True
28,1,28,0.29347482323646545,True
28,2,29,0.27985337376594543,True
28,3,30,0.33517926931381226,True
28,4,31,0.3401906490325928,True
28,5,32,0.31419017910957336,True
29,1,29,0.32861679792404175,True
29,2,30,0.29746517539024353,True
29,3,31,0.34717702865600586,True
29,4,32,0.37958255410194397,True
29,5,33,0.3555474877357483,True
30,1,30,0.3506605625152588,True
30,2,31,0.32148483395576477,True
30,3,32,0.3871411979198456,True
30,4,33,0.40243369340896606,True
30,5,34,0.3844160735607147,True
31,1,31,0.35313987731933594,True
31,2,32,0.3292286992073059,True
31,3,33,0.37709513306617737,True
31,4,34,0.4087425172328949,True
31,5,35,0.3864617645740509,True
32,1,32,0.3081522583961487,True
32,2,33,0.28717219829559326,True
32,3,34,0.3152788281440735,True
32,4,35,0.38232719898223877,True
32,5,36,0.34606969356536865,True
33,1,33,0.4225683808326721,True
33,2,34,0.38807839155197144,True
33,3,35,0.41717472672462463,True
33,4,36,0.4689231216907501,True
33,5,37,0.42159128189086914,True
34,1,34,0.25311797857284546,True
34,2,35,0.2394763082265854,True
34,3,36,0.280838280916214,True
34,4,37,0.3281647264957428,True
34,5,38,0.29745787382125854,True
35,1,35,0.19640089571475983,True
35,2,36,0.2090289145708084,True
35,3,37,0.24433059990406036,True
35,4,38,0.290671706199646,True
35,5,39,0.245555117726326,True
36,1,36,0.19038546085357666,True
36,2,37,0.18278680741786957,True
36,3,38,0.21026915311813354,True
36,4,39,0.24526499211788177,True
36,5,40,0.21281395852565765,True
37,1,37,0.27275827527046204,True
37,2,38,0.26812848448753357,True
37,3,39,0.30126670002937317,True
37,4,40,0.32177433371543884,True
37,5,41,0.2871911823749542,True
38,1,38,0.2386433482170105,True
38,2,39,0.23461900651454926,True
38,3,40,0.28649598360061646,True
38,4,41,0.31421545147895813,True
38,5,42,0.28512072563171387,True
39,1,39,0.29107266664505005,True
39,2,40,0.2706588804721832,True
39,3,41,0.3185543417930603,True
39,4,42,0.3407061696052551,True
39,5,43,0.3148587644100189,True
40,1,40,0.2918667793273926,True
40,2,41,0.27267441153526306,True
40,3,42,0.32047420740127563,True
40,4,43,0.36724045872688293,True
40,5,44,0.33831438422203064,True
41,1,41,0.19586081802845,True
41,2,42,0.1971345841884613,True
41,3,43,0.22224022448062897,True
41,4,44,0.2565532326698303,True
41,5,45,0.23845577239990234,True
42,1,42,0.18984848260879517,True
42,2,43,0.19099847972393036,True
42,3,44,0.21781158447265625,True
42,4,45,0.25122058391571045,True
42,5,46,0.2234962433576584,True
43,1,43,0.0934569388628006,True
43,2,44,0.08560489118099213,True
43,3,45,0.11817309260368347,True
43,4,46,0.13608787953853607,True
43,5,47,0.1308409571647644,True
44,1,44,0.06622610986232758,True
44,2,45,0.0802634209394455,True
44,3,46,0.09069333970546722,True
44,4,47,0.12207949161529541,True
44,5,48,0.10063627362251282,True
45,1,45,-0.06239040940999985,True
45,2,46,-0.05006976053118706,True
45,3,47,-0.022433942183852196,True
45,4,48,-0.0037028109654784203,True
45,5,49,-0.020987141877412796,True
46,1,46,-0.060133107006549835,True
46,2,47,-0.06025667116045952,True
46,3,48,-0.025537852197885513,True
46,4,49,-0.011211693286895752,True
46,5,50,-0.018112152814865112,True
47,1,47,-0.06327230483293533,True
47,2,48,-0.05559881776571274,True
47,3,49,-0.03802746906876564,True
47,4,50,-0.02543623186647892,True
47,5,51,-0.03372054174542427,True
48,1,48,0.02554098702967167,True
48,2,49,0.033842142671346664,True
48,3,50,0.05042372643947601,True
48,4,51,0.06353816390037537,True
48,5,52,0.048479750752449036,True
49,1,49,-0.061362601816654205,True
49,2,50,-0.07000745832920074,True
49,3,51,-0.04517357051372528,True
49,4,52,-0.03900439292192459,True
49,5,53,-0.04917978495359421,True
50,1,50,-0.12137897312641144,True
50,2,51,-0.12448295950889587,True
50,3,52,-0.10527464002370834,True
50,4,53,-0.11108149588108063,True
50,5,54,-0.1187739297747612,True
51,1,51,-0.07934219390153885,True
51,2,52,-0.08515042811632156,True
51,3,53,-0.08337794989347458,True
51,4,54,-0.06026135012507439,True
51,5,55,-0.0631658062338829,True
52,1,52,-0.009619338437914848,True
52,2,53,-0.012767482548952103,True
52,3,54,-0.010299013927578926,True
52,4,55,0.003765682689845562,True
52,5,56,0.005005942657589912,True
53,1,53,-0.011841032654047012,True
53,2,54,-0.009285472333431244,True
53,3,55,0.0032510701566934586,True
53,4,56,0.012556533329188824,True
53,5,57,0.006535205990076065,True
54,1,54,0.009052537381649017,True
54,2,55,0.0013385210186243057,True
54,3,56,0.01679609715938568,True
54,4,57,0.012289074249565601,True
54,5,58,0.0035071689635515213,True
55,1,55,0.17065784335136414,True
55,2,56,0.1492590308189392,True
55,3,57,0.1787033975124359,True
55,4,58,0.17473334074020386,True
55,5,59,0.172524556517601,True
56,1,56,0.2569156885147095,True
56,2,57,0.22451606392860413,True
56,3,58,0.2646717131137848,True
56,4,59,0.25183770060539246,True
56,5,60,0.2570079267024994,True
57,1,57,0.23687465488910675,True
57,2,58,0.18613629043102264,True
57,3,59,0.22886565327644348,True
57,4,60,0.21709619462490082,True
57,5,61,0.20921623706817627,True
58,1,58,0.26347967982292175,True
58,2,59,0.2408706247806549,True
58,3,60,0.2660253942012787,True
58,4,61,0.25292181968688965,True
58,5,62,0.2501377463340759,True
59,1,59,0.15955419838428497,True
59,2,60,0.1268010437488556,True
59,3,61,0.13869132101535797,True
59,4,62,0.14462125301361084,True
59,5,63,0.15359222888946533,True
60,1,60,0.1581415832042694,True
60,2,61,0.12822198867797852,True
60,3,62,0.1646556854248047,True
60,4,63,0.1582636833190918,True
60,5,64,0.16112512350082397,True
