rolling_step,horizon_step,target_index,predicted_value,locked
0,1,0,-0.2246028184890747,True
0,2,1,-0.1668367236852646,True
0,3,2,-0.20305442810058594,True
0,4,3,-0.17648203670978546,True
0,5,4,-0.17943178117275238,True
1,1,1,-0.22972308099269867,True
1,2,2,-0.21984894573688507,True
1,3,3,-0.23340515792369843,True
1,4,4,-0.20442716777324677,True
1,5,5,-0.2161765843629837,True
2,1,2,-0.21577224135398865,True
2,2,3,-0.17280049622058868,True
2,3,4,-0.1830214560031891,True
2,4,5,-0.16869249939918518,True
2,5,6,-0.16513477265834808,True
3,1,3,-0.23105619847774506,True
3,2,4,-0.17665746808052063,True
3,3,5,-0.19245949387550354,True
3,4,6,-0.18591560423374176,True
3,5,7,-0.19606620073318481,True
4,1,4,-0.22834113240242004,True
4,2,5,-0.19797329604625702,True
4,3,6,-0.18313992023468018,True
4,4,7,-0.17561636865139008,True
4,5,8,-0.19766922295093536,True
5,1,5,-0.15446777641773224,True
5,2,6,-0.12268681079149246,True
5,3,7,-0.10903508961200714,True
5,4,8,-0.09797175973653793,True
5,5,9,-0.11367151886224747,True
6,1,6,-0.16055148839950562,True
6,2,7,-0.14555492997169495,True
6,3,8,-0.132582426071167,True
6,4,9,-0.11306370049715042,True
6,5,10,-0.12917619943618774,True
7,1,7,-0.09961869567632675,True
7,2,8,-0.0757681280374527,True
7,3,9,-0.07371114939451218,True
7,4,10,-0.0560995489358902,True
7,5,11,-0.06748420000076294,True
8,1,8,-0.016646794974803925,True
8,2,9,-0.006573433987796307,True
8,3,10,-0.008943308144807816,True
8,4,11,0.024759994819760323,True
8,5,12,0.013913603499531746,True
9,1,9,0.005223964340984821,True
9,2,10,0.009285654872655869,True
9,3,11,0.013778568245470524,True
9,4,12,0.05685804784297943,True
9,5,13,0.032172493636608124,True
10,1,10,0.09095987677574158,True
10,2,11,0.09133582562208176,True
10,3,12,0.09680922329425812,True
10,4,13,0.12656395137310028,True
10,5,14,0.10171300172805786,True
11,1,11,0.014048275537788868,True
11,2,12,0.009237769991159439,True
11,3,13,9.445101022720337e-05,True
11,4,14,0.035471972078084946,True
11,5,15,0.019850118085741997,True
12,1,12,0.11402285099029541,True
12,2,13,0.09758439660072327,True
12,3,14,0.09375453740358353,True
12,4,15,0.12233588844537735,True
12,5,16,0.11333350837230682,True
13,1,13,0.25242099165916443,True
13,2,14,0.23274751007556915,True
13,3,15,0.2336367517709732,True
13,4,16,0.2685568034648895,True
13,5,17,0.26577889919281006,True
14,1,14,0.17368778586387634,True
14,2,15,0.1455947309732437,True
14,3,16,0.1238689050078392,True
14,4,17,0.1679513305425644,True
14,5,18,0.16336196660995483,True
15,1,15,0.21337084472179413,True
15,2,16,0.1936357170343399,True
15,3,17,0.18771858513355255,True
15,4,18,0.22444717586040497,True
15,5,19,0.20774514973163605,True
16,1,16,0.2343904823064804,True
16,2,17,0.2106235921382904,True
16,3,18,0.2007448822259903,True
16,4,19,0.23486696183681488,True
16,5,20,0.2250872105360031,True
17,1,17,0.2697046399116516,True
17,2,18,0.2652413249015808,True
17,3,19,0.2497623860836029,True
17,4,20,0.2896086275577545,True
17,5,21,0.2807500958442688,True
18,1,18,0.22755131125450134,True
18,2,19,0.21879836916923523,True
18,3,20,0.18582095205783844,True
18,4,21,0.24998164176940918,True
18,5,22,0.22133825719356537,True
19,1,19,0.22978857159614563,True
19,2,20,0.2313823401927948,True
19,3,21,0.19699884951114655,True
19,4,22,0.25955623388290405,True
19,5,23,0.22697129845619202,True
20,1,20,0.2178717404603958,True
20,2,21,0.20120103657245636,True
20,3,22,0.17531703412532806,True
20,4,23,0.2218824177980423,True
20,5,24,0.2240796685218811,True
21,1,21,0.2809476852416992,True
21,2,22,0.27407947182655334,True
21,3,23,0.2551897466182709,True
21,4,24,0.3037719130516052,True
21,5,25,0.28633424639701843,True
22,1,22,0.33365151286125183,True
22,2,23,0.32305777072906494,True
22,3,24,0.3239056468009949,True
22,4,25,0.3656224012374878,True
22,5,26,0.33794304728507996,True
23,1,23,0.4743255376815796,True
23,2,24,0.4654514789581299,True
23,3,25,0.41926586627960205,True
23,4,26,0.4856075048446655,True
23,5,27,0.4589177668094635,True
24,1,24,0.39416995644569397,True
24,2,25,0.3974893391132355,True
24,3,26,0.33564823865890503,True
24,4,27,0.4018997848033905,True
24,5,28,0.3781867027282715,True
25,1,25,0.38489317893981934,True
25,2,26,0.37126192450523376,True
25,3,27,0.31576457619667053,True
25,4,28,0.37710854411125183,True
25,5,29,0.370384156703949,True
26,1,26,0.3817802667617798,True
26,2,27,0.33832186460494995,True
26,3,28,0.3143378496170044,True
26,4,29,0.3496837317943573,True
26,5,30,0.3662669062614441,True
27,1,27,0.28808724880218506,True
27,2,28,0.27753767371177673,True
27,3,29,0.24612224102020264,True
27,4,30,0.32549265027046204,True
27,5,31,0.2804115116596222,True
28,1,28,0.3426130414009094,True
28,2,29,0.3384513854980469,True
28,3,30,0.30695363879203796,True
28,4,31,0.3471032381057739,True
28,5,32,0.33196118474006653,True
29,1,29,0.3608350455760956,True
29,2,30,0.3437984585762024,True
29,3,31,0.32706373929977417,True
29,4,32,0.3752240240573883,True
29,5,33,0.3586570918560028,True
30,1,30,0.4002019762992859,True
30,2,31,0.3897213935852051,True
30,3,32,0.3626275360584259,True
30,4,33,0.39089199900627136,True
30,5,34,0.3787892460823059,True
31,1,31,0.39437219500541687,True
31,2,32,0.3895738422870636,True
31,3,33,0.3380654454231262,True
31,4,34,0.38319888710975647,True
31,5,35,0.3760393261909485,True
32,1,32,0.3413636088371277,True
32,2,33,0.34792500734329224,True
32,3,34,0.2710689604282379,True
32,4,35,0.35719728469848633,True
32,5,36,0.32905590534210205,True
33,1,33,0.4244042932987213,True
33,2,34,0.43049657344818115,True
33,3,35,0.35637155175209045,True
33,4,36,0.4224243462085724,True
33,5,37,0.4050605297088623,True
34,1,34,0.2950936555862427,True
34,2,35,0.30935385823249817,True
34,3,36,0.24967436492443085,True
34,4,37,0.30956482887268066,True
34,5,38,0.3140483498573303,True
35,1,35,0.2552216947078705,True
35,2,36,0.2740439474582672,True
35,3,37,0.22931665182113647,True
35,4,38,0.28323793411254883,True
35,5,39,0.27523499727249146,True
36,1,36,0.23431435227394104,True
36,2,37,0.2436312735080719,True
36,3,38,0.21031662821769714,True
36,4,39,0.2507343292236328,True
36,5,40,0.2486598789691925,True
37,1,37,0.29757723212242126,True
37,2,38,0.3237730860710144,True
37,3,39,0.28040942549705505,True
37,4,40,0.31922152638435364,True
37,5,41,0.28327322006225586,True
38,1,38,0.28338655829429626,True
38,2,39,0.30071139335632324,True
38,3,40,0.26616936922073364,True
38,4,41,0.3092944324016571,True
38,5,42,0.27793610095977783,True
39,1,39,0.3175082504749298,True
39,2,40,0.3315768539905548,True
39,3,41,0.27804529666900635,True
39,4,42,0.32915982604026794,True
39,5,43,0.30345961451530457,True
40,1,40,0.32551687955856323,True
40,2,41,0.3483068346977234,True
40,3,42,0.2906007170677185,True
40,4,43,0.350446492433548,True
40,5,44,0.31916534900665283,True
41,1,41,0.24524088203907013,True
41,2,42,0.2640503942966461,True
41,3,43,0.213219553232193,True
41,4,44,0.26240596175193787,True
41,5,45,0.24055033922195435,True
42,1,42,0.23570317029953003,True
42,2,43,0.2399180382490158,True
42,3,44,0.20885030925273895,True
42,4,45,0.2660878002643585,True
42,5,46,0.23432134091854095,True
43,1,43,0.13342781364917755,True
43,2,44,0.13176308572292328,True
43,3,45,0.10566461086273193,True
43,4,46,0.15114635229110718,True
43,5,47,0.13899968564510345,True
44,1,44,0.10237231850624084,True
44,2,45,0.11107475310564041,True
44,3,46,0.08497316390275955,True
44,4,47,0.13293245434761047,True
44,5,48,0.1164604127407074,True
45,1,45,-0.03930578753352165,True
45,2,46,-0.02475827932357788,True
45,3,47,-0.030066434293985367,True
45,4,48,-0.0038882179651409388,True
45,5,49,-0.01572473719716072,True
