model,rolling_step,horizon_step,target_index,predicted_value,locked
naive_last,0,1,0,-0.03818172216415405,True
naive_last,0,2,1,-0.03818172216415405,True
naive_last,0,3,2,-0.03818172216415405,True
naive_last,0,4,3,-0.03818172216415405,True
naive_last,0,5,4,-0.03818172216415405,True
naive_last,1,1,1,-0.1617412567138672,True
naive_last,1,2,2,-0.1617412567138672,True
naive_last,1,3,3,-0.1617412567138672,True
naive_last,1,4,4,-0.1617412567138672,True
naive_last,1,5,5,-0.1617412567138672,True
naive_last,2,1,2,-0.13265997171401978,True
naive_last,2,2,3,-0.13265997171401978,True
naive_last,2,3,4,-0.13265997171401978,True
naive_last,2,4,5,-0.13265997171401978,True
naive_last,2,5,6,-0.13265997171401978,True
naive_last,3,1,3,-0.24186217784881592,True
naive_last,3,2,4,-0.24186217784881592,True
naive_last,3,3,5,-0.24186217784881592,True
naive_last,3,4,6,-0.24186217784881592,True
naive_last,3,5,7,-0.24186217784881592,True
naive_last,4,1,4,-0.20505839586257935,True
naive_last,4,2,5,-0.20505839586257935,True
naive_last,4,3,6,-0.20505839586257935,True
naive_last,4,4,7,-0.20505839586257935,True
naive_last,4,5,8,-0.20505839586257935,True
naive_last,5,1,5,-0.18133538961410522,True
naive_last,5,2,6,-0.18133538961410522,True
naive_last,5,3,7,-0.18133538961410522,True
naive_last,5,4,8,-0.18133538961410522,True
naive_last,5,5,9,-0.18133538961410522,True
naive_last,6,1,6,-0.08423018455505371,True
naive_last,6,2,7,-0.08423018455505371,True
naive_last,6,3,8,-0.08423018455505371,True
naive_last,6,4,9,-0.08423018455505371,True
naive_last,6,5,10,-0.08423018455505371,True
naive_last,7,1,7,-0.03102666139602661,True
naive_last,7,2,8,-0.03102666139602661,True
naive_last,7,3,9,-0.03102666139602661,True
naive_last,7,4,10,-0.03102666139602661,True
naive_last,7,5,11,-0.03102666139602661,True
naive_last,8,1,8,0.005593776702880859,True
naive_last,8,2,9,0.005593776702880859,True
naive_last,8,3,10,0.005593776702880859,True
naive_last,8,4,11,0.005593776702880859,True
naive_last,8,5,12,0.005593776702880859,True
naive_last,9,1,9,0.13577449321746826,True
naive_last,9,2,10,0.13577449321746826,True
naive_last,9,3,11,0.13577449321746826,True
naive_last,9,4,12,0.13577449321746826,True
naive_last,9,5,13,0.13577449321746826,True
naive_last,10,1,10,0.19194316864013672,True
naive_last,10,2,11,0.19194316864013672,True
naive_last,10,3,12,0.19194316864013672,True
naive_last,10,4,13,0.19194316864013672,True
naive_last,10,5,14,0.19194316864013672,True
naive_last,11,1,11,0.11090362071990967,True
naive_last,11,2,12,0.11090362071990967,True
naive_last,11,3,13,0.11090362071990967,True
naive_last,11,4,14,0.11090362071990967,True
naive_last,11,5,15,0.11090362071990967,True
naive_last,12,1,12,0.23906147480010986,True
naive_last,12,2,13,0.23906147480010986,True
naive_last,12,3,14,0.23906147480010986,True
naive_last,12,4,15,0.23906147480010986,True
naive_last,12,5,16,0.23906147480010986,True
naive_last,13,1,13,0.4085806608200073,True
naive_last,13,2,14,0.4085806608200073,True
naive_last,13,3,15,0.4085806608200073,True
naive_last,13,4,16,0.4085806608200073,True
naive_last,13,5,17,0.4085806608200073,True
naive_last,14,1,14,0.3758052587509155,True
naive_last,14,2,15,0.3758052587509155,True
naive_last,14,3,16,0.3758052587509155,True
naive_last,14,4,17,0.3758052587509155,True
naive_last,14,5,18,0.3758052587509155,True
naive_last,15,1,15,0.3536818027496338,True
naive_last,15,2,16,0.3536818027496338,True
naive_last,15,3,17,0.3536818027496338,True
naive_last,15,4,18,0.3536818027496338,True
naive_last,15,5,19,0.3536818027496338,True
naive_last,16,1,16,0.29814207553863525,True
naive_last,16,2,17,0.29814207553863525,True
naive_last,16,3,18,0.29814207553863525,True
naive_last,16,4,19,0.29814207553863525,True
naive_last,16,5,20,0.29814207553863525,True
naive_last,17,1,17,0.2566981315612793,True
naive_last,17,2,18,0.2566981315612793,True
naive_last,17,3,19,0.2566981315612793,True
naive_last,17,4,20,0.2566981315612793,True
naive_last,17,5,21,0.2566981315612793,True
naive_last,18,1,18,0.16673743724822998,True
naive_last,18,2,19,0.16673743724822998,True
naive_last,18,3,20,0.16673743724822998,True
naive_last,18,4,21,0.16673743724822998,True
naive_last,18,5,22,0.16673743724822998,True
naive_last,19,1,19,0.235609769821167,True
naive_last,19,2,20,0.235609769821167,True
naive_last,19,3,21,0.235609769821167,True
naive_last,19,4,22,0.235609769821167,True
naive_last,19,5,23,0.235609769821167,True
naive_last,20,1,20,0.1701263189315796,True
naive_last,20,2,21,0.1701263189315796,True
naive_last,20,3,22,0.1701263189315796,True
naive_last,20,4,23,0.1701263189315796,True
naive_last,20,5,24,0.1701263189315796,True
naive_last,21,1,21,0.07899272441864014,True
naive_last,21,2,22,0.07899272441864014,True
naive_last,21,3,23,0.07899272441864014,True
naive_last,21,4,24,0.07899272441864014,True
naive_last,21,5,25,0.07899272441864014,True
naive_last,22,1,22,0.08500635623931885,True
naive_last,22,2,23,0.08500635623931885,True
naive_last,22,3,24,0.08500635623931885,True
naive_last,22,4,25,0.08500635623931885,True
naive_last,22,5,26,0.08500635623931885,True
naive_last,23,1,23,0.12068593502044678,True
naive_last,23,2,24,0.12068593502044678,True
naive_last,23,3,25,0.12068593502044678,True
naive_last,23,4,26,0.12068593502044678,True
naive_last,23,5,27,0.12068593502044678,True
naive_last,24,1,24,0.04297804832458496,True
naive_last,24,2,25,0.04297804832458496,True
naive_last,24,3,26,0.04297804832458496,True
naive_last,24,4,27,0.04297804832458496,True
naive_last,24,5,28,0.04297804832458496,True
naive_last,25,1,25,0.034871697425842285,True
naive_last,25,2,26,0.034871697425842285,True
naive_last,25,3,27,0.034871697425842285,True
naive_last,25,4,28,0.034871697425842285,True
naive_last,25,5,29,0.034871697425842285,True
naive_last,26,1,26,-0.007296264171600342,True
naive_last,26,2,27,-0.007296264171600342,True
naive_last,26,3,28,-0.007296264171600342,True
naive_last,26,4,29,-0.007296264171600342,True
naive_last,26,5,30,-0.007296264171600342,True
naive_last,27,1,27,0.0038291215896606445,True
naive_last,27,2,28,0.0038291215896606445,True
naive_last,27,3,29,0.0038291215896606445,True
naive_last,27,4,30,0.0038291215896606445,True
naive_last,27,5,31,0.0038291215896606445,True
naive_last,28,1,28,0.020261049270629883,True
naive_last,28,2,29,0.020261049270629883,True
naive_last,28,3,30,0.020261049270629883,True
naive_last,28,4,31,0.020261049270629883,True
naive_last,28,5,32,0.020261049270629883,True
naive_last,29,1,29,-0.0329095721244812,True
naive_last,29,2,30,-0.0329095721244812,True
naive_last,29,3,31,-0.0329095721244812,True
naive_last,29,4,32,-0.0329095721244812,True
naive_last,29,5,33,-0.0329095721244812,True
naive_last,30,1,30,-0.16733908653259277,True
naive_last,30,2,31,-0.16733908653259277,True
naive_last,30,3,32,-0.16733908653259277,True
naive_last,30,4,33,-0.16733908653259277,True
naive_last,30,5,34,-0.16733908653259277,True
naive_last,31,1,31,-0.17672044038772583,True
naive_last,31,2,32,-0.17672044038772583,True
naive_last,31,3,33,-0.17672044038772583,True
naive_last,31,4,34,-0.17672044038772583,True
naive_last,31,5,35,-0.17672044038772583,True
naive_last,32,1,32,-0.20083630084991455,True
naive_last,32,2,33,-0.20083630084991455,True
naive_last,32,3,34,-0.20083630084991455,True
naive_last,32,4,35,-0.20083630084991455,True
naive_last,32,5,36,-0.20083630084991455,True
naive_last,33,1,33,-0.16604316234588623,True
naive_last,33,2,34,-0.16604316234588623,True
naive_last,33,3,35,-0.16604316234588623,True
naive_last,33,4,36,-0.16604316234588623,True
naive_last,33,5,37,-0.16604316234588623,True
naive_last,34,1,34,-0.1548910140991211,True
naive_last,34,2,35,-0.1548910140991211,True
naive_last,34,3,36,-0.1548910140991211,True
naive_last,34,4,37,-0.1548910140991211,True
naive_last,34,5,38,-0.1548910140991211,True
naive_last,35,1,35,-0.15666234493255615,True
naive_last,35,2,36,-0.15666234493255615,True
naive_last,35,3,37,-0.15666234493255615,True
naive_last,35,4,38,-0.15666234493255615,True
naive_last,35,5,39,-0.15666234493255615,True
naive_last,36,1,36,-0.13006353378295898,True
naive_last,36,2,37,-0.13006353378295898,True
naive_last,36,3,38,-0.13006353378295898,True
naive_last,36,4,39,-0.13006353378295898,True
naive_last,36,5,40,-0.13006353378295898,True
naive_last,37,1,37,-0.09455597400665283,True
naive_last,37,2,38,-0.09455597400665283,True
naive_last,37,3,39,-0.09455597400665283,True
naive_last,37,4,40,-0.09455597400665283,True
naive_last,37,5,41,-0.09455597400665283,True
naive_last,38,1,38,-0.07431143522262573,True
naive_last,38,2,39,-0.07431143522262573,True
naive_last,38,3,40,-0.07431143522262573,True
naive_last,38,4,41,-0.07431143522262573,True
naive_last,38,5,42,-0.07431143522262573,True
naive_last,39,1,39,-0.08832287788391113,True
naive_last,39,2,40,-0.08832287788391113,True
naive_last,39,3,41,-0.08832287788391113,True
naive_last,39,4,42,-0.08832287788391113,True
naive_last,39,5,43,-0.08832287788391113,True
naive_last,40,1,40,-0.15338146686553955,True
naive_last,40,2,41,-0.15338146686553955,True
naive_last,40,3,42,-0.15338146686553955,True
naive_last,40,4,43,-0.15338146686553955,True
naive_last,40,5,44,-0.15338146686553955,True
naive_last,41,1,41,-0.12333649396896362,True
naive_last,41,2,42,-0.12333649396896362,True
naive_last,41,3,43,-0.12333649396896362,True
naive_last,41,4,44,-0.12333649396896362,True
naive_last,41,5,45,-0.12333649396896362,True
naive_last,42,1,42,0.1421602964401245,True
naive_last,42,2,43,0.1421602964401245,True
naive_last,42,3,44,0.1421602964401245,True
naive_last,42,4,45,0.1421602964401245,True
naive_last,42,5,46,0.1421602964401245,True
naive_last,43,1,43,0.054825544357299805,True
naive_last,43,2,44,0.054825544357299805,True
naive_last,43,3,45,0.054825544357299805,True
naive_last,43,4,46,0.054825544357299805,True
naive_last,43,5,47,0.054825544357299805,True
naive_last,44,1,44,0.07040441036224365,True
naive_last,44,2,45,0.07040441036224365,True
naive_last,44,3,46,0.07040441036224365,True
naive_last,44,4,47,0.07040441036224365,True
naive_last,44,5,48,0.07040441036224365,True
naive_last,45,1,45,0.0016189813613891602,True
naive_last,45,2,46,0.0016189813613891602,True
