model,rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
naive_last,0,1,0,-0.03818172216415405,-0.022094666957855225,-0.016087055206298828,0.016087055206298828,0.00025879334521050623
naive_last,0,2,1,-0.03818172216415405,-0.02554905414581299,-0.012632668018341064,0.012632668018341064,0.00015958430126161716
naive_last,0,3,2,-0.03818172216415405,-0.11284291744232178,0.07466119527816772,0.07466119527816772,0.0055742940803646945
naive_last,0,4,3,-0.03818172216415405,-0.15771639347076416,0.11953467130661011,0.11953467130661011,0.014288537644379318
naive_last,0,5,4,-0.03818172216415405,-0.13849204778671265,0.1003103256225586,0.1003103256225586,0.010062161426503735
naive_last,1,1,1,-0.1617412567138672,-0.17115896940231323,0.009417712688446045,0.009417712688446045,8.869331228211763e-05
naive_last,1,2,2,-0.1617412567138672,-0.048858463764190674,-0.11288279294967651,0.11288279294967651,0.012742524944119538
naive_last,1,3,3,-0.1617412567138672,-0.1129639744758606,-0.04877728223800659,0.04877728223800659,0.0023792232625261533
naive_last,1,4,4,-0.1617412567138672,-0.11738055944442749,-0.0443606972694397,0.0443606972694397,0.0019678714622308746
naive_last,1,5,5,-0.1617412567138672,-0.13701164722442627,-0.024729609489440918,0.024729609489440918,0.0006115535855002463
naive_last,2,1,2,-0.13265997171401978,-0.1489139199256897,0.016253948211669922,0.016253948211669922,0.00026419083246764785
naive_last,2,2,3,-0.13265997171401978,-0.18026340007781982,0.04760342836380005,0.04760342836380005,0.002266086391987443
naive_last,2,3,4,-0.13265997171401978,-0.18161791563034058,0.0489579439163208,0.0489579439163208,0.002396880272513613
naive_last,2,4,5,-0.13265997171401978,-0.20906704664230347,0.07640707492828369,0.07640707492828369,0.005838041099096358
naive_last,2,5,6,-0.13265997171401978,-0.18357622623443604,0.05091625452041626,0.05091625452041626,0.002592464974387809
naive_last,3,1,3,-0.24186217784881592,-0.21156877279281616,-0.030293405055999756,0.030293405055999756,0.0009176903898868716
naive_last,3,2,4,-0.24186217784881592,-0.192050039768219,-0.049812138080596924,0.049812138080596924,0.002481249100160454
naive_last,3,3,5,-0.24186217784881592,-0.17065221071243286,-0.07120996713638306,0.07120996713638306,0.005070859419564755
naive_last,3,4,6,-0.24186217784881592,-0.16690915822982788,-0.07495301961898804,0.07495301961898804,0.005617955150004406
naive_last,3,5,7,-0.24186217784881592,-0.1597866415977478,-0.08207553625106812,0.08207553625106812,0.006736393650900396
naive_last,4,1,4,-0.20505839586257935,-0.21285808086395264,0.007799685001373291,0.007799685001373291,6.0835086120647475e-05
naive_last,4,2,5,-0.20505839586257935,-0.1795802116394043,-0.02547818422317505,0.02547818422317505,0.000649137871310046
naive_last,4,3,6,-0.20505839586257935,-0.14400827884674072,-0.06105011701583862,0.06105011701583862,0.0037271167876475886
naive_last,4,4,7,-0.20505839586257935,-0.14078223705291748,-0.06427615880966187,0.06427615880966187,0.004131424591324873
naive_last,4,5,8,-0.20505839586257935,-0.15793025493621826,-0.047128140926361084,0.047128140926361084,0.0022210616671749506
naive_last,5,1,5,-0.18133538961410522,-0.16809314489364624,-0.013242244720458984,0.013242244720458984,0.00017535704523652385
naive_last,5,2,6,-0.18133538961410522,-0.16642040014266968,-0.014914989471435547,0.014914989471435547,0.00022245691093303321
naive_last,5,3,7,-0.18133538961410522,-0.1741148829460144,-0.00722050666809082,0.00722050666809082,5.2135716543944e-05
naive_last,5,4,8,-0.18133538961410522,-0.10868418216705322,-0.072651207447052,0.072651207447052,0.005278197943514584
naive_last,5,5,9,-0.18133538961410522,-0.08554500341415405,-0.09579038619995117,0.09579038619995117,0.009175798088335796
naive_last,6,1,6,-0.08423018455505371,-0.07958179712295532,-0.004648387432098389,0.004648387432098389,2.1607505718890252e-05
naive_last,6,2,7,-0.08423018455505371,-0.10119068622589111,0.016960501670837402,0.016960501670837402,0.0002876586169264783
naive_last,6,3,8,-0.08423018455505371,-0.10613226890563965,0.021902084350585938,0.021902084350585938,0.00047970129890018143
naive_last,6,4,9,-0.08423018455505371,-0.1060066819190979,0.02177649736404419,0.02177649736404419,0.00047421583744622353
naive_last,6,5,10,-0.08423018455505371,-0.11065512895584106,0.026424944400787354,0.026424944400787354,0.0006982776865847029
naive_last,7,1,7,-0.03102666139602661,-0.03346008062362671,0.0024334192276000977,0.0024334192276000977,5.921529137253856e-06
naive_last,7,2,8,-0.03102666139602661,-0.03183269500732422,0.0008060336112976074,0.0008060336112976074,6.496901825414625e-07
naive_last,7,3,9,-0.03102666139602661,-0.04629659652709961,0.015269935131072998,0.015269935131072998,0.00023317091890717734
naive_last,7,4,10,-0.03102666139602661,-0.02308744192123413,-0.00793921947479248,0.00793921947479248,6.303120586892419e-05
naive_last,7,5,11,-0.03102666139602661,-0.021171092987060547,-0.009855568408966064,0.009855568408966064,9.713222866380988e-05
naive_last,8,1,8,0.005593776702880859,0.007890582084655762,-0.0022968053817749023,0.0022968053817749023,5.275314961750155e-06
naive_last,8,2,9,0.005593776702880859,0.011703133583068848,-0.006109356880187988,0.006109356880187988,3.732424148950031e-05
naive_last,8,3,10,0.005593776702880859,0.048281311988830566,-0.04268753528594971,0.04268753528594971,0.0018222256687892013
naive_last,8,4,11,0.005593776702880859,0.041953086853027344,-0.036359310150146484,0.036359310150146484,0.0013219994345945452
naive_last,8,5,12,0.005593776702880859,0.07492184638977051,-0.06932806968688965,0.06932806968688965,0.004806381246510227
naive_last,9,1,9,0.13577449321746826,0.13027679920196533,0.00549769401550293,0.00549769401550293,3.0224639488096727e-05
