rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
0,1,0,-0.09633414447307587,-0.08693677186965942,-0.009397372603416443,0.009397372603416443,8.831061184744193e-05
0,2,1,-0.09707514196634293,-0.08705615997314453,-0.010018981993198395,0.010018981993198395,0.00010038000018003368
0,3,2,-0.09712043404579163,-0.10862916707992554,0.011508733034133911,0.011508733034133911,0.00013245093605096514
0,4,3,-0.09721781313419342,-0.14033156633377075,0.04311375319957733,0.04311375319957733,0.0018587957149540646
0,5,4,-0.09640390425920486,-0.1450619101524353,0.04865800589323044,0.04865800589323044,0.002367601537505648
1,1,1,-0.12989135086536407,-0.1536937952041626,0.023802444338798523,0.023802444338798523,0.0005665563565016019
1,2,2,-0.10668747872114182,-0.06793177127838135,-0.03875570744276047,0.03875570744276047,0.001502004859388839
1,3,3,-0.09940947592258453,-0.08974820375442505,-0.009661272168159485,0.009661272168159485,9.334017990725307e-05
1,4,4,-0.11561356484889984,-0.07280105352401733,-0.04281251132488251,0.04281251132488251,0.001832911125943193
1,5,5,-0.11806660145521164,-0.0743287205696106,-0.043737880885601044,0.043737880885601044,0.0019130022243630251
2,1,2,-0.10906831920146942,-0.10092532634735107,-0.008142992854118347,0.008142992854118347,6.630833262222247e-05
2,2,3,-0.11623268574476242,-0.1338368058204651,0.017604120075702667,0.017604120075702667,0.0003099050436397577
2,3,4,-0.11438071727752686,-0.1427639126777649,0.028383195400238037,0.028383195400238037,0.0008056057811280937
2,4,5,-0.10330106317996979,-0.16294896602630615,0.059647902846336365,0.059647902846336365,0.003557872313965982
2,5,6,-0.11541996151208878,-0.14500147104263306,0.02958150953054428,0.02958150953054428,0.0008750657061056821
3,1,3,-0.15195314586162567,-0.13846182823181152,-0.013491317629814148,0.013491317629814148,0.00018201565138853404
3,2,4,-0.14031638205051422,-0.10875368118286133,-0.03156270086765289,0.03156270086765289,0.0009962040860609367
3,3,5,-0.13934117555618286,-0.09828329086303711,-0.04105788469314575,0.04105788469314575,0.0016857498954756522
3,4,6,-0.13832403719425201,-0.09987109899520874,-0.038452938199043274,0.038452938199043274,0.0014786284561394414
3,5,7,-0.14289703965187073,-0.09324371814727783,-0.049653321504592896,0.049653321504592896,0.0024654523364384673
4,1,4,-0.048842914402484894,-0.03810960054397583,-0.010733313858509064,0.010733313858509064,0.00011520402638526273
4,2,5,-0.03645508736371994,0.035237908363342285,-0.07169299572706223,0.07169299572706223,0.0051398856363205625
4,3,6,-0.041042670607566833,0.05928158760070801,-0.10032425820827484,0.10032425820827484,0.010064956785040602
4,4,7,-0.031118810176849365,0.06144750118255615,-0.09256631135940552,0.09256631135940552,0.008568521998686407
4,5,8,-0.04056290537118912,0.05448746681213379,-0.0950503721833229,0.0950503721833229,0.009034573252188205
5,1,5,0.04502636566758156,0.05125904083251953,-0.006232675164937973,0.006232675164937973,3.884623971163459e-05
5,2,6,0.05205482989549637,0.06295180320739746,-0.010896973311901093,0.010896973311901093,0.00011874402736028467
5,3,7,0.04116862267255783,0.06431031227111816,-0.023141689598560333,0.023141689598560333,0.0005355377974761155
5,4,8,0.04900580644607544,0.08985495567321777,-0.040849149227142334,0.040849149227142334,0.0016686529925813431
5,5,9,0.03353363275527954,0.08956384658813477,-0.056030213832855225,0.056030213832855225,0.003139384862155481
6,1,6,0.09822043776512146,0.10570251941680908,-0.007482081651687622,0.007482081651687622,5.5981545842520575e-05
6,2,7,0.10420583933591843,0.10616636276245117,-0.0019605234265327454,0.0019605234265327454,3.843652105983697e-06
6,3,8,0.09897615760564804,0.10894930362701416,-0.00997314602136612,0.00997314602136612,9.946364156349086e-05
6,4,9,0.10098003596067429,0.1201786994934082,-0.019198663532733917,0.019198663532733917,0.0003685886814431272
6,5,10,0.0957668274641037,0.11846983432769775,-0.022703006863594055,0.022703006863594055,0.0005154265206483988
7,1,7,0.14694616198539734,0.13739633560180664,0.009549826383590698,0.009549826383590698,9.1199183956725e-05
7,2,8,0.15211191773414612,0.14315152168273926,0.00896039605140686,0.00896039605140686,8.028869739806765e-05
7,3,9,0.15280598402023315,0.13138973712921143,0.02141624689102173,0.02141624689102173,0.00045865563089719785
7,4,10,0.16164857149124146,0.15780353546142578,0.003845036029815674,0.003845036029815674,1.478430207058068e-05
7,5,11,0.1503085494041443,0.14943456649780273,0.0008739829063415527,0.0008739829063415527,7.638461205772273e-07
8,1,8,0.17667542397975922,0.18030929565429688,-0.0036338716745376587,0.0036338716745376587,1.3205023347007128e-05
8,2,9,0.17198063433170319,0.18463242053985596,-0.012651786208152771,0.012651786208152771,0.00016006769425680467
8,3,10,0.17379173636436462,0.1887754201889038,-0.014983683824539185,0.014983683824539185,0.0002245107809537572
8,4,11,0.17424339056015015,0.19134867191314697,-0.017105281352996826,0.017105281352996826,0.00029259065016518093
8,5,12,0.17170856893062592,0.19366466999053955,-0.021956101059913635,0.021956101059913635,0.00048207037375314066
9,1,9,0.21548904478549957,0.22928106784820557,-0.013792023062705994,0.013792023062705994,0.00019021990016221402
9,2,10,0.21207982301712036,0.23637795448303223,-0.024298131465911865,0.024298131465911865,0.0005903991927347363
9,3,11,0.21710124611854553,0.24260735511779785,-0.02550610899925232,0.02550610899925232,0.0006505615962817402
9,4,12,0.22622892260551453,0.23779737949371338,-0.011568456888198853,0.011568456888198853,0.00013382919477411548
9,5,13,0.2191445231437683,0.2422657012939453,-0.023121178150177002,0.023121178150177002,0.0005345888790522224
10,1,10,0.22926686704158783,0.24861812591552734,-0.019351258873939514,0.019351258873939514,0.0003744712200062228
10,2,11,0.22264298796653748,0.23842298984527588,-0.015780001878738403,0.015780001878738403,0.00024900845929298754
10,3,12,0.22188031673431396,0.24932217597961426,-0.027441859245300293,0.027441859245300293,0.0007530556388388732
10,4,13,0.22848153114318848,0.24645400047302246,-0.017972469329833984,0.017972469329833984,0.00032300965381182323
10,5,14,0.22287026047706604,0.2521902322769165,-0.029319971799850464,0.029319971799850464,0.0008596607463440264
11,1,11,0.2159104198217392,0.20811820030212402,0.007792219519615173,0.007792219519615173,6.071868504187172e-05
11,2,12,0.21364177763462067,0.22988152503967285,-0.016239747405052185,0.016239747405052185,0.0002637293957798992
11,3,13,0.20966583490371704,0.24028241634368896,-0.030616581439971924,0.030616581439971924,0.0009373750590704333
11,4,14,0.2117093801498413,0.24574851989746094,-0.03403913974761963,0.03403913974761963,0.0011586630347579785
11,5,15,0.20865541696548462,0.25885725021362305,-0.05020183324813843,0.05020183324813843,0.002520224061473897
12,1,12,0.29615843296051025,0.2976268529891968,-0.0014684200286865234,0.0014684200286865234,2.1562573806477303e-06
12,2,13,0.28917255997657776,0.30147314071655273,-0.012300580739974976,0.012300580739974976,0.00015130428654064332
12,3,14,0.2839052975177765,0.2874486446380615,-0.003543347120285034,0.003543347120285034,1.2555308814832244e-05
12,4,15,0.2910803258419037,0.284936785697937,0.006143540143966675,0.006143540143966675,3.774308550053007e-05
12,5,16,0.2839024066925049,0.30521464347839355,-0.021312236785888672,0.021312236785888672,0.0004542114368177863
13,1,13,0.3867316246032715,0.40376806259155273,-0.01703643798828125,0.01703643798828125,0.0002902402193285525
13,2,14,0.3643226623535156,0.40066564083099365,-0.03634297847747803,0.03634297847747803,0.0013208120846144311
13,3,15,0.3693448007106781,0.4200981855392456,-0.050753384828567505,0.050753384828567505,0.002575906071556666
13,4,16,0.3953104615211487,0.4143728017807007,-0.019062340259552002,0.019062340259552002,0.0003633728161709371
13,5,17,0.37349143624305725,0.41956233978271484,-0.04607090353965759,0.04607090353965759,0.0021225281529604345
14,1,14,0.291733980178833,0.3040727376937866,-0.012338757514953613,0.012338757514953613,0.00015224493701282427
14,2,15,0.27717432379722595,0.31133174896240234,-0.03415742516517639,0.03415742516517639,0.0011667296939146254
14,3,16,0.2707670032978058,0.31081318855285645,-0.04004618525505066,0.04004618525505066,0.0016036969534818368
14,4,17,0.2901771664619446,0.3265756368637085,-0.036398470401763916,0.036398470401763916,0.0013248486475880838
14,5,18,0.2857683598995209,0.32229793071746826,-0.03652957081794739,0.03652957081794739,0.0013344095441434334
15,1,15,0.3581841289997101,0.3623760938644409,-0.004191964864730835,0.004191964864730835,1.7572569427137807e-05
15,2,16,0.3385641276836395,0.3495819568634033,-0.011017829179763794,0.011017829179763794,0.00012139255983445452
15,3,17,0.3365344703197479,0.3511844873428345,-0.014650017023086548,0.014650017023086548,0.00021462299877672564
15,4,18,0.35530251264572144,0.3645663261413574,-0.009263813495635986,0.009263813495635986,8.581824048192743e-05
15,5,19,0.33986249566078186,0.37212538719177246,-0.0322628915309906,0.0322628915309906,0.001040894169940465
16,1,16,0.3115472197532654,0.2966148853302002,0.014932334423065186,0.014932334423065186,0.0002229746113222575
16,2,17,0.3005653917789459,0.29679203033447266,0.0037733614444732666,0.0037733614444732666,1.4238256590637377e-05
16,3,18,0.2905503511428833,0.2984870672225952,-0.007936716079711914,0.007936716079711914,6.299146212995765e-05
16,4,19,0.30403974652290344,0.34974443912506104,-0.04570469260215759,0.04570469260215759,0.002088918925857719
16,5,20,0.2962290346622467,0.32598793506622314,-0.02975890040397644,0.02975890040397644,0.0008855921532537891
17,1,17,0.2143702208995819,0.2360447645187378,-0.021674543619155884,0.021674543619155884,0.00046978584109869104
17,2,18,0.20652902126312256,0.21783781051635742,-0.011308789253234863,0.011308789253234863,0.00012788871437408034
17,3,19,0.19831091165542603,0.21135342121124268,-0.01304250955581665,0.01304250955581665,0.00017010705551356864
17,4,20,0.21178346872329712,0.20189225673675537,0.009891211986541748,0.009891211986541748,9.783607456270715e-05
17,5,21,0.208419531583786,0.20466125011444092,0.0037582814693450928,0.0037582814693450928,1.412467960282271e-05
18,1,18,0.15097816288471222,0.1519627571105957,-0.0009845942258834839,0.0009845942258834839,9.694257896430969e-07
18,2,19,0.16373232007026672,0.16845500469207764,-0.004722684621810913,0.004722684621810913,2.2303750037089287e-05
18,3,20,0.16479557752609253,0.14933550357818604,0.015460073947906494,0.015460073947906494,0.0002390138864747371
18,4,21,0.16454869508743286,0.15353024005889893,0.011018455028533936,0.011018455028533936,0.00012140635121582477
18,5,22,0.15509673953056335,0.1484302282333374,0.006666511297225952,0.006666511297225952,4.444237287604125e-05
19,1,19,0.1542177051305771,0.1425856351852417,0.011632069945335388,0.011632069945335388,0.00013530505121317482
19,2,20,0.1549309492111206,0.1263892650604248,0.0285416841506958,0.0285416841506958,0.0008146277341580799
19,3,21,0.14667978882789612,0.11744034290313721,0.02923944592475891,0.02923944592475891,0.0008549451979869005
19,4,22,0.1437339186668396,0.11417019367218018,0.029563724994659424,0.029563724994659424,0.0008740138355598503
19,5,23,0.14395588636398315,0.12077689170837402,0.02317899465560913,0.02317899465560913,0.0005372657932447567
20,1,20,0.10984812676906586,0.09937214851379395,0.010475978255271912,0.010475978255271912,0.00010974612040492993
20,2,21,0.11168374121189117,0.09453213214874268,0.0171516090631485,0.0171516090631485,0.0002941776934550777
20,3,22,0.10777627676725388,0.10477888584136963,0.002997390925884247,0.002997390925884247,8.984352362573222e-06
20,4,23,0.1079067662358284,0.11110150814056396,-0.003194741904735565,0.003194741904735565,1.0206375837873427e-05
20,5,24,0.11712103337049484,0.10466992855072021,0.012451104819774628,0.012451104819774628,0.00015503001123301496
21,1,21,0.0835798978805542,0.08005475997924805,0.0035251379013061523,0.0035251379013061523,1.2426597223225144e-05
21,2,22,0.07622463256120682,0.08054649829864502,-0.004321865737438202,0.004321865737438202,1.8678523452442253e-05
21,3,23,0.06955613940954208,0.08614861965179443,-0.01659248024225235,0.01659248024225235,0.0002753104005895346
21,4,24,0.07219720631837845,0.058416008949279785,0.013781197369098663,0.013781197369098663,0.00018992140092605192
21,5,25,0.07558587193489075,0.06525838375091553,0.01032748818397522,0.01032748818397522,0.00010665701219014778
22,1,22,0.0418698824942112,0.040804386138916016,0.0010654963552951813,0.0010654963552951813,1.1352824831473152e-06
22,2,23,0.036152563989162445,0.04489731788635254,-0.008744753897190094,0.008744753897190094,7.647072072242134e-05
22,3,24,0.04235532879829407,0.0462338924407959,-0.003878563642501831,0.003878563642501831,1.5043255928937072e-05
22,4,25,0.0396200492978096,0.06479835510253906,-0.02517830580472946,0.02517830580472946,0.0006339470831964733
22,5,26,0.04726950451731682,0.07620024681091309,-0.028930742293596268,0.028930742293596268,0.0008369878496584798
23,1,23,0.07641167938709259,0.0662757158279419,0.010135963559150696,0.010135963559150696,0.00010273775727243084
23,2,24,0.07978794723749161,0.0683283805847168,0.01145956665277481,0.01145956665277481,0.00013132166786938848
23,3,25,0.08067747205495834,0.06503987312316895,0.015637598931789398,0.015637598931789398,0.00024453450035150093
23,4,26,0.08953460305929184,0.08489739894866943,0.004637204110622406,0.004637204110622406,2.150366196357334e-05
23,5,27,0.08652178198099136,0.07760787010192871,0.008913911879062653,0.008913911879062653,7.945782498769427e-05
24,1,24,0.02583133801817894,0.02679765224456787,-0.0009663142263889313,0.0009663142263889313,9.337631841216387e-07
24,2,25,0.02778192237019539,0.028652667999267578,-0.0008707456290721893,0.0008707456290721893,7.581979505483227e-07
24,3,26,0.02330002933740616,0.02236151695251465,0.00093851238489151,0.00093851238489151,8.808054965947498e-07
24,4,27,0.02431493252515793,0.03129410743713379,-0.006979174911975861,0.006979174911975861,4.870888245195326e-05
24,5,28,0.026152873411774635,0.03762543201446533,-0.011472558602690697,0.011472558602690697,0.0001316196008921723
25,1,25,0.036038678139448166,0.04064536094665527,-0.0046066828072071075,0.0046066828072071075,2.1221526486217557e-05
25,2,26,0.035466648638248444,0.0441814661026001,-0.008714817464351654,0.008714817464351654,7.594804343696859e-05
25,3,27,0.04086894541978836,0.03620505332946777,0.004663892090320587,0.004663892090320587,2.1751889430154936e-05
25,4,28,0.04214189201593399,0.03943979740142822,0.002702094614505768,0.002702094614505768,7.301315305741074e-06
25,5,29,0.043827030807733536,0.06198263168334961,-0.018155600875616074,0.018155600875616074,0.00032962584315467114
26,1,26,0.046659547835588455,0.04166829586029053,0.004991251975297928,0.004991251975297928,2.4912596280915467e-05
26,2,27,0.04421910643577576,0.04339790344238281,0.0008212029933929443,0.0008212029933929443,6.743743563575322e-07
26,3,28,0.0343996062874794,0.03852736949920654,-0.004127763211727142,0.004127763211727142,1.7038429132087973e-05
26,4,29,0.04145881533622742,0.015784621238708496,0.02567419409751892,0.02567419409751892,0.0006591642425570754
26,5,30,0.04193981736898422,0.021927595138549805,0.020012222230434418,0.020012222230434418,0.0004004890386002935
27,1,27,0.011400733143091202,0.006881594657897949,0.0045191384851932526,0.0045191384851932526,2.0422612648354765e-05
27,2,28,0.0023967772722244263,0.0066070556640625,-0.004210278391838074,0.004210278391838074,1.7726444136778596e-05
27,3,29,0.004263870418071747,0.0030388832092285156,0.0012249872088432312,0.0012249872088432312,1.5005936618295301e-06
27,4,30,0.00614098459482193,0.006901144981384277,-0.0007601603865623474,0.0007601603865623474,5.778438132986174e-07
27,5,31,0.0040885694324970245,0.013194441795349121,-0.009105872362852097,0.009105872362852097,8.291691148855362e-05
28,1,28,0.012494932860136032,0.010068297386169434,0.0024266354739665985,0.0024266354739665985,5.888559723513098e-06
28,2,29,0.012059212662279606,0.01568770408630371,-0.003628491424024105,0.003628491424024105,1.3165950014216478e-05
28,3,30,0.010531239211559296,0.015726804733276367,-0.0051955655217170715,0.0051955655217170715,2.6993901090455186e-05
28,4,31,0.009707011282444,0.02167797088623047,-0.011970959603786469,0.011970959603786469,0.00014330387383548748
28,5,32,0.010693680495023727,0.03711223602294922,-0.02641855552792549,0.02641855552792549,0.0006979400761820825
29,1,29,-0.0014667101204395294,0.012004375457763672,-0.013471085578203201,0.013471085578203201,0.00018147014665527428
29,2,30,0.003036574460566044,0.01103353500366211,-0.007996960543096066,0.007996960543096066,6.395137792783532e-05
29,3,31,0.004449851810932159,-0.018445253372192383,0.022895105183124542,0.022895105183124542,0.0005241858413463363
29,4,32,0.0074196457862854,-0.03328728675842285,0.04070693254470825,0.04070693254470825,0.0016570543571994278
29,5,33,0.006916381418704987,-0.034743428230285645,0.04165980964899063,0.04165980964899063,0.0017355397399901329
30,1,30,-0.00555037334561348,-0.014259159564971924,0.008708786219358444,0.008708786219358444,7.584295741448754e-05
30,2,31,-0.004371089860796928,-0.02800089120864868,0.023629801347851753,0.023629801347851753,0.0005583675117389365
30,3,32,-0.007747940719127655,-0.04728138446807861,0.03953344374895096,0.03953344374895096,0.0015628931746514696
30,4,33,-0.011551566421985626,-0.047818005084991455,0.03626643866300583,0.03626643866300583,0.001315254573297564
30,5,34,-0.007831327617168427,-0.030224084854125977,0.02239275723695755,0.02239275723695755,0.0005014355766733147
31,1,31,-0.014447798952460289,-0.016283094882965088,0.0018352959305047989,0.0018352959305047989,3.3683111525274756e-06
31,2,32,-0.012335129082202911,-0.011525750160217285,-0.0008093789219856262,0.0008093789219856262,6.550942393546144e-07
31,3,33,-0.006310254335403442,-0.026706576347351074,0.020396322011947632,0.020396322011947632,0.0004160099516150595
31,4,34,-0.00450640544295311,-0.013382315635681152,0.008875910192728043,0.008875910192728043,7.878178174937356e-05
31,5,35,0.002047426998615265,-0.018584370613098145,0.02063179761171341,0.02063179761171341,0.00042567107269070315
32,1,32,0.007257901132106781,-0.020763099193572998,0.02802100032567978,0.02802100032567978,0.0007851764592517463
32,2,33,0.0047902800142765045,-0.033990442752838135,0.03878072276711464,0.03878072276711464,0.0015039444583398037
32,3,34,0.006894372403621674,-0.05122363567352295,0.05811800807714462,0.05811800807714462,0.0033777028628550476
32,4,35,0.003798939287662506,-0.06373697519302368,0.06753591448068619,0.06753591448068619,0.004561099744742558
32,5,36,0.004081126302480698,-0.06000876426696777,0.06408989429473877,0.06408989429473877,0.004107514550710789
33,1,33,-0.05517960339784622,-0.05568975210189819,0.0005101487040519714,0.0005101487040519714,2.6025170024590594e-07
33,2,34,-0.05686131864786148,-0.03884226083755493,-0.01801905781030655,0.01801905781030655,0.00032468644437116945
33,3,35,-0.05574513599276543,-0.02595418691635132,-0.02979094907641411,0.02979094907641411,0.0008875006468734986
33,4,36,-0.0630778819322586,-0.03638738393783569,-0.026690497994422913,0.026690497994422913,0.0007123826831902935
33,5,37,-0.059598326683044434,-0.029933452606201172,-0.02966487407684326,0.02966487407684326,0.0008800047539949674
34,1,34,-0.022557193413376808,-0.041491925716400146,0.01893473230302334,0.01893473230302334,0.0003585240873871555
34,2,35,-0.02929769642651081,-0.03525209426879883,0.005954397842288017,0.005954397842288017,3.5454853664244196e-05
34,3,36,-0.025898896157741547,-0.030597269535064697,0.004698373377323151,0.004698373377323151,2.207471239273895e-05
34,4,37,-0.029403887689113617,-0.014827191829681396,-0.01457669585943222,0.01457669585943222,0.00021248006217838844
34,5,38,-0.021268755197525024,-0.012820780277252197,-0.008447974920272827,0.008447974920272827,7.136828025355868e-05
35,1,35,-0.036242395639419556,-0.05987745523452759,0.023635059595108032,0.023635059595108032,0.0005586160420643083
35,2,36,-0.04532460868358612,-0.05023181438446045,0.004907205700874329,0.004907205700874329,2.408066779069351e-05
