rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
0,1,0,-0.1170697882771492,-0.08693677186965942,-0.030133016407489777,0.030133016407489777,0.0009079986778140481
0,2,1,-0.12075743079185486,-0.08705615997314453,-0.03370127081871033,0.03370127081871033,0.0011357756547960562
0,3,2,-0.10638830810785294,-0.10862916707992554,0.0022408589720726013,0.0022408589720726013,5.021448932718275e-06
0,4,3,-0.10182657837867737,-0.14033156633377075,0.038504987955093384,0.038504987955093384,0.0014826340974218866
0,5,4,-0.07220059633255005,-0.1450619101524353,0.07286131381988525,0.07286131381988525,0.005308771051559802
1,1,1,-0.14883436262607574,-0.1536937952041626,0.004859432578086853,0.004859432578086853,2.361408498097184e-05
1,2,2,-0.12868699431419373,-0.06793177127838135,-0.06075522303581238,0.06075522303581238,0.003691197126131307
1,3,3,-0.07625912874937057,-0.08974820375442505,0.013489075005054474,0.013489075005054474,0.00018195514449198535
1,4,4,-0.043400347232818604,-0.07280105352401733,0.02940070629119873,0.02940070629119873,0.0008644015304213326
1,5,5,-0.08815779536962509,-0.0743287205696106,-0.013829074800014496,0.013829074800014496,0.00019124330982439597
2,1,2,-0.10246826708316803,-0.10092532634735107,-0.0015429407358169556,0.0015429407358169556,2.3806661142433683e-06
2,2,3,-0.10757440328598022,-0.1338368058204651,0.026262402534484863,0.026262402534484863,0.000689713786883317
2,3,4,-0.10905510932207108,-0.1427639126777649,0.03370880335569382,0.03370880335569382,0.0011362834236728347
2,4,5,-0.0959809198975563,-0.16294896602630615,0.06696804612874985,0.06696804612874985,0.004484719202302367
2,5,6,-0.138482004404068,-0.14500147104263306,0.0065194666385650635,0.0065194666385650635,4.250344525136285e-05
3,1,3,-0.16655847430229187,-0.13846182823181152,-0.028096646070480347,0.028096646070480347,0.0007894215204098387
3,2,4,-0.16277508437633514,-0.10875368118286133,-0.054021403193473816,0.054021403193473816,0.002918312002991863
3,3,5,-0.17610661685466766,-0.09828329086303711,-0.07782332599163055,0.07782332599163055,0.0060564700683996
3,4,6,-0.1568143367767334,-0.09987109899520874,-0.05694323778152466,0.05694323778152466,0.0032425323290432573
3,5,7,-0.1687445491552353,-0.09324371814727783,-0.07550083100795746,0.07550083100795746,0.0057003754828921505
4,1,4,-0.09906721860170364,-0.03810960054397583,-0.060957618057727814,0.060957618057727814,0.003715831199271824
4,2,5,-0.06926484405994415,0.035237908363342285,-0.10450275242328644,0.10450275242328644,0.0109208252640427
4,3,6,-0.11043272912502289,0.05928158760070801,-0.1697143167257309,0.1697143167257309,0.028802949301681702
4,4,7,-0.06324389576911926,0.06144750118255615,-0.12469139695167542,0.12469139695167542,0.015547944473760289
4,5,8,-0.03381767496466637,0.05448746681213379,-0.08830514550209045,0.08830514550209045,0.007797798722145366
5,1,5,0.03041810542345047,0.05125904083251953,-0.02084093540906906,0.02084093540906906,0.0004343445887249886
5,2,6,0.0009228251874446869,0.06295180320739746,-0.062028978019952774,0.062028978019952774,0.0038475941141997844
5,3,7,0.011529732495546341,0.06431031227111816,-0.05278057977557182,0.05278057977557182,0.0027857896014455014
5,4,8,-0.016219930723309517,0.08985495567321777,-0.10607488453388214,0.10607488453388214,0.011251881128876429
5,5,9,0.018215736374258995,0.08956384658813477,-0.07134810835123062,0.07134810835123062,0.005090552565298945
6,1,6,0.07470524311065674,0.10570251941680908,-0.030997276306152344,0.030997276306152344,0.0009608311383999535
6,2,7,0.03676890581846237,0.10616636276245117,-0.0693974569439888,0.0693974569439888,0.004816007030292779
6,3,8,0.0449303463101387,0.10894930362701416,-0.06401895731687546,0.06401895731687546,0.004098426895939922
