forecast_target,rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
relative_return,0,1,0,-0.012911155819892883,0.01633143424987793,-0.029242590069770813,0.029242590069770813,0.0008551290739886586
relative_return,0,2,1,-0.00029361387714743614,0.018822669982910156,-0.01911628432571888,0.01911628432571888,0.0003654323264217253
relative_return,0,3,2,0.0008318200707435608,-0.06071227788925171,0.06154409795999527,0.06154409795999527,0.003787675993709494
relative_return,0,4,3,-0.004110515117645264,-0.12982100248336792,0.12571048736572266,0.12571048736572266,0.015803126633727516
relative_return,0,5,4,-0.0009517893195152283,-0.09909576177597046,0.09814397245645523,0.09814397245645523,0.009632239329533443
relative_return,1,1,1,0.03514458239078522,-0.01372385025024414,0.04886843264102936,0.04886843264102936,0.0023881237087908236
relative_return,1,2,2,0.04316553846001625,0.17093408107757568,-0.12776854634284973,0.12776854634284973,0.01632480143456494
relative_return,1,3,3,0.06912234425544739,0.1017000675201416,-0.032577723264694214,0.032577723264694214,0.0010613080531109986
relative_return,1,4,4,0.03740919753909111,0.13611221313476562,-0.09870301187038422,0.09870301187038422,0.009742284552285208
relative_return,1,5,5,0.06512179970741272,0.1338590383529663,-0.06873723864555359,0.06873723864555359,0.004724807976615786
relative_return,2,1,2,-0.023055605590343475,0.013458609580993652,-0.03651421517133713,0.03651421517133713,0.0013332879095787065
relative_return,2,2,3,-0.014994045719504356,-0.056182801723480225,0.04118875414133072,0.04118875414133072,0.0016965134677149885
relative_return,2,3,4,-0.019310373812913895,-0.08328068256378174,0.06397031247615814,0.06397031247615814,0.004092200878297314
relative_return,2,4,5,0.013081086799502373,-0.12464994192123413,0.13773103058338165,0.13773103058338165,0.018969836785560412
relative_return,2,5,6,0.008188366889953613,-0.10676544904708862,0.11495381593704224,0.11495381593704224,0.013214379798487386
relative_return,3,1,3,-0.010925844311714172,0.03862881660461426,-0.04955466091632843,0.04955466091632843,0.0024556644185322885
relative_return,3,2,4,-0.01379789225757122,0.07624638080596924,-0.09004427492618561,0.09004427492618561,0.008107971446982498
relative_return,3,3,5,-0.009776633232831955,0.12256050109863281,-0.13233713805675507,0.13233713805675507,0.01751311810905265
relative_return,3,4,6,0.012016762048006058,0.09950459003448486,-0.0874878317117691,0.0874878317117691,0.007654120697626832
relative_return,3,5,7,0.007920131087303162,0.10243701934814453,-0.09451688826084137,0.09451688826084137,0.008933442166512373
relative_return,4,1,4,-0.0309460312128067,-0.0009172558784484863,-0.030028775334358215,0.030028775334358215,0.0009017273480813603
relative_return,4,2,5,-0.029105855152010918,0.023757100105285645,-0.05286295711994171,0.05286295711994171,0.002794492235464796
relative_return,4,3,6,-0.031158827245235443,0.05026602745056152,-0.08142485469579697,0.08142485469579697,0.006630006962231649
relative_return,4,4,7,-0.014602750539779663,0.044028639793395996,-0.05863139033317566,0.05863139033317566,0.003437639932401204
relative_return,4,5,8,-0.0026683509349823,0.041460275650024414,-0.044128626585006714,0.044128626585006714,0.0019473356842789613
relative_return,5,1,5,-0.0332990325987339,0.031002283096313477,-0.06430131196975708,0.06430131196975708,0.004134658721032025
relative_return,5,2,6,-0.023634063079953194,0.03373265266418457,-0.057366713881492615,0.057366713881492615,0.0032909398615610375
relative_return,5,3,7,-0.018236450850963593,0.02739119529724121,-0.0456276461482048,0.0456276461482048,0.0020818820930257886
relative_return,5,4,8,-0.013339322060346603,0.08331859111785889,-0.09665791690349579,0.09665791690349579,0.009342752900123097
relative_return,5,5,9,0.005741812288761139,0.14435434341430664,-0.1386125385761261,0.1386125385761261,0.019213435850518046
relative_return,6,1,6,-0.019714631140232086,0.04163777828216553,-0.061352409422397614,0.061352409422397614,0.0037641181419335035
relative_return,6,2,7,-0.015493066981434822,0.037712693214416504,-0.05320575833320618,0.05320575833320618,0.0028308527198115385
relative_return,6,3,8,-0.014325477182865143,0.042099595069885254,-0.0564250722527504,0.0564250722527504,0.0031837887787281027
relative_return,6,4,9,-0.012702558189630508,0.04340815544128418,-0.05611071363091469,0.05611071363091469,0.0031484121841705154
relative_return,6,5,10,-0.0022369548678398132,0.034249305725097656,-0.03648626059293747,0.03648626059293747,0.0013312472120557417
relative_return,7,1,7,-0.02875848114490509,-0.01919931173324585,-0.00955916941165924,0.00955916941165924,9.137771984080167e-05
relative_return,7,2,8,0.007319802884012461,-0.011534452438354492,0.018854254856705666,0.018854254856705666,0.0003554829262016092
relative_return,7,3,9,0.023726552724838257,-0.022994577884674072,0.04672113060951233,0.04672113060951233,0.00218286404543111
relative_return,7,4,10,0.02442861534655094,0.008334517478942871,0.01609409786760807,0.01609409786760807,0.00025901998617214664
relative_return,7,5,11,0.03797733038663864,0.0031998157501220703,0.03477751463651657,0.03477751463651657,0.0012094755242931243
relative_return,8,1,8,0.0021439045667648315,0.03249025344848633,-0.030346348881721497,0.030346348881721497,0.0009209008904511595
relative_return,8,2,9,0.029552580788731575,0.002373814582824707,0.027178766205906868,0.027178766205906868,0.0007386853324753452
relative_return,8,3,10,0.03614894300699234,0.019063949584960938,0.017084993422031403,0.017084993422031403,0.0002918970002308563
relative_return,8,4,11,0.026733826845884323,0.04754841327667236,-0.02081458643078804,0.02081458643078804,0.0004332470082847456
relative_return,8,5,12,0.023606732487678528,0.05274093151092529,-0.029134199023246765,0.029134199023246765,0.0008488015527261528
relative_return,9,1,9,-0.024709291756153107,-0.013599157333374023,-0.011110134422779083,0.011110134422779083,0.0001234350868922207
relative_return,9,2,10,0.001406396273523569,-0.0014092326164245605,0.0028156288899481297,0.0028156288899481297,7.927766045910537e-06
relative_return,9,3,11,-0.0010884664952754974,0.005002856254577637,-0.006091322749853134,0.006091322749853134,3.710421284287835e-05
relative_return,9,4,12,0.021697629243135452,0.014374375343322754,0.007323253899812698,0.007323253899812698,5.3630047681121895e-05
relative_return,9,5,13,0.018524006009101868,0.006412148475646973,0.012111857533454895,0.012111857533454895,0.0001466970929107081
relative_return,10,1,10,-0.026275988668203354,0.015192866325378418,-0.04146885499358177,0.04146885499358177,0.0017196659344787119
relative_return,10,2,11,-0.012319935485720634,-0.00602114200592041,-0.006298793479800224,0.006298793479800224,3.967479930117382e-05
relative_return,10,3,12,-0.020481068640947342,0.013022422790527344,-0.033503491431474686,0.033503491431474686,0.0011224839380988977
relative_return,10,4,13,-0.010945431888103485,0.00903165340423584,-0.019977085292339325,0.019977085292339325,0.00039908393677740017
relative_return,10,5,14,-0.008294403553009033,0.018553495407104492,-0.026847898960113525,0.026847898960113525,0.0007208096785724649
relative_return,11,1,11,-0.033006977289915085,-0.011204242706298828,-0.021802734583616257,0.021802734583616257,0.00047535923532361635
relative_return,11,2,12,-0.018843375146389008,-0.009004652500152588,-0.00983872264623642,0.00983872264623642,9.680046330956538e-05
relative_return,11,3,13,-0.030730221420526505,0.016634583473205566,-0.04736480489373207,0.04736480489373207,0.0022434247426213055
relative_return,11,4,14,-0.02200252190232277,0.060695648193359375,-0.08269816637039185,0.08269816637039185,0.006838986721025009
relative_return,11,5,15,-0.012354359030723572,0.06557607650756836,-0.07793043553829193,0.07793043553829193,0.006073152783187874
relative_return,12,1,12,-0.03831615298986435,0.017610549926757812,-0.05592670291662216,0.05592670291662216,0.003127796099124114
relative_return,12,2,13,-0.017480337992310524,0.01915884017944336,-0.036639176309108734,0.036639176309108734,0.0013424292406099547
relative_return,12,3,14,-0.03531419858336449,-0.01109534502029419,-0.024218853563070297,0.024218853563070297,0.0005865528679094428
relative_return,12,4,15,-0.014965750277042389,0.014385223388671875,-0.029350973665714264,0.029350973665714264,0.0008614796551254522
relative_return,12,5,16,0.0008520632982254028,0.02786731719970703,-0.02701525390148163,0.02701525390148163,0.0007298239433615183
relative_return,13,1,13,-0.03970189392566681,-0.006903409957885742,-0.03279848396778107,0.03279848396778107,0.0010757405505847917
relative_return,13,2,14,0.004075089935213327,0.004142165184020996,-6.707524880766869e-05,6.707524880766869e-05,4.4990890026106595e-09
relative_return,13,3,15,0.008333884179592133,0.02221667766571045,-0.013882793486118317,0.013882793486118317,0.00019273195497820916
relative_return,13,4,16,-0.004066042602062225,0.029873251914978027,-0.03393929451704025,0.03393929451704025,0.0011518757123143986
relative_return,13,5,17,0.024635955691337585,0.035019516944885254,-0.010383561253547668,0.010383561253547668,0.00010781834430617643
relative_return,14,1,14,-0.023280978202819824,-0.005153954029083252,-0.018127024173736572,0.018127024173736572,0.00032858900539523006
relative_return,14,2,15,0.005158985499292612,0.035047292709350586,-0.02988830767571926,0.02988830767571926,0.0008933109357184589
relative_return,14,3,16,-0.006458699703216553,0.03910982608795166,-0.04556852579116821,0.04556852579116821,0.0020764905427803626
relative_return,14,4,17,-0.01316012442111969,0.048993468284606934,-0.062153592705726624,0.062153592705726624,0.0038630690862293537
relative_return,14,5,18,0.005911819636821747,0.04541599750518799,-0.03950417786836624,0.03950417786836624,0.0015605800690555172
relative_return,15,1,15,-0.037925634533166885,-0.005974113941192627,-0.03195152059197426,0.03195152059197426,0.001020899668139355
relative_return,15,2,16,-0.009591333568096161,-0.031204700469970703,0.021613366901874542,0.021613366901874542,0.00046713762883504595
relative_return,15,3,17,-0.02534509263932705,-0.00945425033569336,-0.01589084230363369,0.01589084230363369,0.0002525188691189541
relative_return,15,4,18,-0.022386819124221802,0.0077141523361206055,-0.030100971460342407,0.030100971460342407,0.0009060684828563481
relative_return,15,5,19,-0.0014980733394622803,0.006322145462036133,-0.007820218801498413,0.007820218801498413,6.115582210330928e-05
relative_return,16,1,16,-0.04838232696056366,0.01873195171356201,-0.06711427867412567,0.06711427867412567,0.0045043264019482
relative_return,16,2,17,-0.021426478400826454,0.011584997177124023,-0.03301147371530533,0.03301147371530533,0.0010897573968562946
relative_return,16,3,18,-0.04010521620512009,0.03325653076171875,-0.07336174696683884,0.07336174696683884,0.005381945918026487
relative_return,16,4,19,-0.04447007179260254,0.025187253952026367,-0.0696573257446289,0.0696573257446289,0.004852143029893341
relative_return,16,5,20,-0.018698766827583313,0.0012680292129516602,-0.019966796040534973,0.019966796040534973,0.0003986729441243231
relative_return,17,1,17,-0.026197880506515503,0.03615009784698486,-0.062347978353500366,0.062347978353500366,0.0038872704047685502
relative_return,17,2,18,0.0005889409221708775,0.026134014129638672,-0.02554507367312908,0.02554507367312908,0.0006525507889655925
relative_return,17,3,19,-0.009260077029466629,0.03281140327453613,-0.04207148030400276,0.04207148030400276,0.0017700094549700923
relative_return,17,4,20,-0.0469958558678627,0.04058253765106201,-0.08757839351892471,0.08757839351892471,0.007669975011355634
relative_return,17,5,21,-0.007052510976791382,0.05169236660003662,-0.058744877576828,0.058744877576828,0.0034509606415165095
relative_return,18,1,18,-0.0485224686563015,-0.0035030245780944824,-0.045019444078207016,0.045019444078207016,0.0020267503451108088
relative_return,18,2,19,-0.008482633158564568,0.0025178194046020508,-0.011000452563166618,0.011000452563166618,0.00012100995659447902
relative_return,18,3,20,-0.03209824487566948,-0.006075561046600342,-0.026022683829069138,0.026022683829069138,0.0006771800736676964
relative_return,18,4,21,-0.04999658465385437,-0.003721892833709717,-0.04627469182014465,0.04627469182014465,0.0021413471030493625
relative_return,18,5,22,-0.015512719750404358,-0.01231527328491211,-0.0031974464654922485,0.0031974464654922485,1.0223663899688873e-05
relative_return,19,1,19,-0.042574215680360794,0.008645057678222656,-0.05121927335858345,0.05121927335858345,0.0026234139633812964
relative_return,19,2,20,-0.012954263016581535,-0.02665555477142334,0.013701291754841805,0.013701291754841805,0.00018772539575129601
relative_return,19,3,21,-0.04164434224367142,-0.02798563241958618,-0.013658709824085236,0.013658709824085236,0.00018656035405856253
relative_return,19,4,22,-0.06322257220745087,-0.03031313419342041,-0.03290943801403046,0.03290943801403046,0.0010830311103993129
relative_return,19,5,23,-0.028659731149673462,-0.013632535934448242,-0.01502719521522522,0.01502719521522522,0.00022581659603648774
