forecast_target,rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
relative_return,0,1,0,0.067315012216568,0.01633143424987793,0.050983577966690063,0.050983577966690063,0.0025993252222855645
relative_return,0,2,1,0.07387350499629974,0.018822669982910156,0.05505083501338959,0.05505083501338959,0.003030594435671441
relative_return,0,3,2,0.15316283702850342,-0.06071227788925171,0.21387511491775513,0.21387511491775513,0.04574256478108296
relative_return,0,4,3,0.031725458800792694,-0.12982100248336792,0.1615464687347412,0.1615464687347412,0.02609726156066472
relative_return,0,5,4,0.10083039104938507,-0.09909576177597046,0.19992615282535553,0.19992615282535553,0.039970466583547415
relative_return,1,1,1,0.11223185062408447,-0.01372385025024414,0.1259557008743286,0.1259557008743286,0.015864838582743346
relative_return,1,2,2,0.12314417958259583,0.17093408107757568,-0.04778990149497986,0.04778990149497986,0.002283874684899878
relative_return,1,3,3,0.2580650746822357,0.1017000675201416,0.15636500716209412,0.15636500716209412,0.024450015464801744
relative_return,1,4,4,0.0897877886891365,0.13611221313476562,-0.04632442444562912,0.04632442444562912,0.002145952300218801
relative_return,1,5,5,0.21558775007724762,0.1338590383529663,0.08172871172428131,0.08172871172428131,0.006679582320110677
relative_return,2,1,2,0.07411915063858032,0.013458609580993652,0.06066054105758667,0.06066054105758667,0.003679701241399158
relative_return,2,2,3,0.06344486027956009,-0.056182801723480225,0.11962766200304031,0.11962766200304031,0.014310777516313655
relative_return,2,3,4,0.15808933973312378,-0.08328068256378174,0.24137002229690552,0.24137002229690552,0.05825948766360867
relative_return,2,4,5,0.07011070847511292,-0.12464994192123413,0.19476065039634705,0.19476065039634705,0.03793171094280812
relative_return,2,5,6,0.049440428614616394,-0.10676544904708862,0.15620587766170502,0.15620587766170502,0.024400276216063554
relative_return,3,1,3,0.09409625828266144,0.03862881660461426,0.05546744167804718,0.05546744167804718,0.0030766370863075654
relative_return,3,2,4,0.0837734267115593,0.07624638080596924,0.007527045905590057,0.007527045905590057,5.665642006486005e-05
relative_return,3,3,5,0.17991849780082703,0.12256050109863281,0.057357996702194214,0.057357996702194214,0.0032899397856889223
relative_return,3,4,6,0.052776142954826355,0.09950459003448486,-0.04672844707965851,0.04672844707965851,0.0021835477664764458
relative_return,3,5,7,0.10863815248012543,0.10243701934814453,0.006201133131980896,0.006201133131980896,3.8454052120551196e-05
relative_return,4,1,4,0.05973520129919052,-0.0009172558784484863,0.06065245717763901,0.06065245717763901,0.0036787205616853336
relative_return,4,2,5,0.05176273360848427,0.023757100105285645,0.028005633503198624,0.028005633503198624,0.0007843155079154812
relative_return,4,3,6,0.13283003866672516,0.05026602745056152,0.08256401121616364,0.08256401121616364,0.0068168159481027946
relative_return,4,4,7,0.07161595672369003,0.044028639793395996,0.027587316930294037,0.027587316930294037,0.000761060055412488
relative_return,4,5,8,0.1284983903169632,0.041460275650024414,0.08703811466693878,0.08703811466693878,0.007575633404775184
relative_return,5,1,5,0.01856818050146103,0.031002283096313477,-0.012434102594852448,0.012434102594852448,0.00015460690733931637
relative_return,5,2,6,0.03252636641263962,0.03373265266418457,-0.0012062862515449524,0.0012062862515449524,1.4551265206663722e-06
relative_return,5,3,7,0.07972901314496994,0.02739119529724121,0.05233781784772873,0.05233781784772873,0.002739247177062032
relative_return,5,4,8,0.06584130972623825,0.08331859111785889,-0.017477281391620636,0.017477281391620636,0.00030545536484188895
relative_return,5,5,9,0.07114571332931519,0.14435434341430664,-0.07320863008499146,0.07320863008499146,0.005359503518921116
relative_return,6,1,6,-0.016016021370887756,0.04163777828216553,-0.057653799653053284,0.057653799653053284,0.003323960614434407
relative_return,6,2,7,0.027208702638745308,0.037712693214416504,-0.010503990575671196,0.010503990575671196,0.0001103338180137893
relative_return,6,3,8,0.008819187991321087,0.042099595069885254,-0.03328040614724159,0.03328040614724159,0.001107585433325356
relative_return,6,4,9,0.011532418429851532,0.04340815544128418,-0.03187573701143265,0.03187573701143265,0.0010160626100220171
relative_return,6,5,10,0.02525518462061882,0.034249305725097656,-0.008994121104478836,0.008994121104478836,8.08942144420316e-05
relative_return,7,1,7,-0.03328517824411392,-0.01919931173324585,-0.014085866510868073,0.014085866510868073,0.0001984116353619947
relative_return,7,2,8,0.004423441365361214,-0.011534452438354492,0.015957893803715706,0.015957893803715706,0.0002546543746506681
relative_return,7,3,9,-0.03381631523370743,-0.022994577884674072,-0.010821737349033356,0.010821737349033356,0.00011710999925146348
relative_return,7,4,10,0.004678208380937576,0.008334517478942871,-0.003656309098005295,0.003656309098005295,1.3368596220156292e-05
relative_return,7,5,11,0.000378582626581192,0.0031998157501220703,-0.0028212331235408783,0.0028212331235408783,7.95935633736422e-06
relative_return,8,1,8,-0.030432647094130516,0.03249025344848633,-0.062922902405262,0.062922902405262,0.0039592916471021256
relative_return,8,2,9,0.021321427077054977,0.002373814582824707,0.01894761249423027,0.01894761249423027,0.00035901201923151105
relative_return,8,3,10,-0.012731583788990974,0.019063949584960938,-0.03179553151130676,0.03179553151130676,0.0010109558240865013
relative_return,8,4,11,0.015286661684513092,0.04754841327667236,-0.03226175159215927,0.03226175159215927,0.0010408206157941913
relative_return,8,5,12,0.00499231182038784,0.05274093151092529,-0.0477486178278923,0.0477486178278923,0.0022799305044741147
relative_return,9,1,9,-0.04831419885158539,-0.013599157333374023,-0.034715041518211365,0.034715041518211365,0.0012051341076111388
relative_return,9,2,10,0.0034082885831594467,-0.0014092326164245605,0.004817521199584007,0.004817521199584007,2.3208510508441332e-05
relative_return,9,3,11,-0.04806964099407196,0.005002856254577637,-0.0530724972486496,0.0530724972486496,0.002816689964207919
relative_return,9,4,12,-0.004553345963358879,0.014374375343322754,-0.018927721306681633,0.018927721306681633,0.00035825863386340986
relative_return,9,5,13,0.020727088674902916,0.006412148475646973,0.014314940199255943,0.014314940199255943,0.00020491751290827379
relative_return,10,1,10,-0.03490506857633591,0.015192866325378418,-0.050097934901714325,0.050097934901714325,0.0025098030814164063
relative_return,10,2,11,0.009057186543941498,-0.00602114200592041,0.015078328549861908,0.015078328549861908,0.0002273559918575807
relative_return,10,3,12,-0.055064015090465546,0.013022422790527344,-0.06808643788099289,0.06808643788099289,0.0046357630233223035
relative_return,10,4,13,-0.004404671490192413,0.00903165340423584,-0.013436324894428253,0.013436324894428253,0.0001805348266686324
relative_return,10,5,14,-0.0043954141438007355,0.018553495407104492,-0.022948909550905228,0.022948909550905228,0.0005266524495756292
relative_return,11,1,11,-0.04230944812297821,-0.011204242706298828,-0.031105205416679382,0.031105205416679382,0.0009675338040138204
relative_return,11,2,12,0.0013834591954946518,-0.009004652500152588,0.01038811169564724,0.01038811169564724,0.00010791286460124297
relative_return,11,3,13,-0.05600784346461296,0.016634583473205566,-0.07264243066310883,0.07264243066310883,0.005276922732644573
relative_return,11,4,14,-0.0004671141505241394,0.060695648193359375,-0.061162762343883514,0.061162762343883514,0.003740883497534375
relative_return,11,5,15,0.01589483581483364,0.06557607650756836,-0.04968123883008957,0.04968123883008957,0.0024682254916923996
relative_return,12,1,12,-0.031222987920045853,0.017610549926757812,-0.048833537846803665,0.048833537846803665,0.002384714418635206
relative_return,12,2,13,0.028037436306476593,0.01915884017944336,0.008878596127033234,0.008878596127033234,7.882946918696954e-05
relative_return,12,3,14,-0.0505533441901207,-0.01109534502029419,-0.03945799916982651,0.03945799916982651,0.0015569336984860294
relative_return,12,4,15,-0.017750732600688934,0.014385223388671875,-0.03213595598936081,0.03213595598936081,0.0010327196673501349
relative_return,12,5,16,0.001691434532403946,0.02786731719970703,-0.026175882667303085,0.026175882667303085,0.0006851768334124181
relative_return,13,1,13,-0.05237746983766556,-0.006903409957885742,-0.045474059879779816,0.045474059879779816,0.0020678901219498003
relative_return,13,2,14,0.005681034177541733,0.004142165184020996,0.0015388689935207367,0.0015388689935207367,2.368117779219525e-06
relative_return,13,3,15,-0.06639030575752258,0.02221667766571045,-0.08860698342323303,0.08860698342323303,0.007851197511365093
relative_return,13,4,16,-0.018637627363204956,0.029873251914978027,-0.04851087927818298,0.04851087927818298,0.002353305408342443
relative_return,13,5,17,-0.018548492342233658,0.035019516944885254,-0.05356800928711891,0.05356800928711891,0.002869531618984858
relative_return,14,1,14,-0.035190317779779434,-0.005153954029083252,-0.030036363750696182,0.030036363750696182,0.0009021831473641356
relative_return,14,2,15,0.023584935814142227,0.035047292709350586,-0.011462356895208359,0.011462356895208359,0.0001313856255931306
relative_return,14,3,16,-0.05038248747587204,0.03910982608795166,-0.0894923135638237,0.0894923135638237,0.008008874187005743
relative_return,14,4,17,-0.006873447448015213,0.048993468284606934,-0.05586691573262215,0.05586691573262215,0.003121112273475904
relative_return,14,5,18,0.004692938178777695,0.04541599750518799,-0.040723059326410294,0.040723059326410294,0.0016583675609023324
relative_return,15,1,15,-0.05536789447069168,-0.005974113941192627,-0.049393780529499054,0.049393780529499054,0.00243974555499632
relative_return,15,2,16,0.01343008503317833,-0.031204700469970703,0.04463478550314903,0.04463478550314903,0.001992264076912123
relative_return,15,3,17,-0.057535938918590546,-0.00945425033569336,-0.048081688582897186,0.048081688582897186,0.0023118487769827056
relative_return,15,4,18,0.011705663055181503,0.0077141523361206055,0.003991510719060898,0.003991510719060898,1.5932157820378046e-05
relative_return,15,5,19,0.019568370655179024,0.006322145462036133,0.013246225193142891,0.013246225193142891,0.00017546248186745342
relative_return,16,1,16,-0.06009536236524582,0.01873195171356201,-0.07882731407880783,0.07882731407880783,0.006213745444879015
relative_return,16,2,17,0.01634831167757511,0.011584997177124023,0.004763314500451088,0.004763314500451088,2.2689165030207598e-05
relative_return,16,3,18,-0.07012049108743668,0.03325653076171875,-0.10337702184915543,0.10337702184915543,0.010686808646400758
relative_return,16,4,19,-0.013340149074792862,0.025187253952026367,-0.03852740302681923,0.03852740302681923,0.0014843607839909595
relative_return,16,5,20,0.0329110361635685,0.0012680292129516602,0.03164300695061684,0.03164300695061684,0.0010012798888767854
relative_return,17,1,17,-0.05105237290263176,0.03615009784698486,-0.08720247447490692,0.08720247447490692,0.007604271554546793
relative_return,17,2,18,0.024821773171424866,0.026134014129638672,-0.0013122409582138062,0.0013122409582138062,1.7219763324138881e-06
relative_return,17,3,19,-0.059963807463645935,0.03281140327453613,-0.09277521073818207,0.09277521073818207,0.008607239727514093
relative_return,17,4,20,-0.04743904992938042,0.04058253765106201,-0.08802159130573273,0.08802159130573273,0.007747800535993443
relative_return,17,5,21,-0.0038261525332927704,0.05169236660003662,-0.05551851913332939,0.05551851913332939,0.0030823059667578617
relative_return,18,1,18,-0.05126223713159561,-0.0035030245780944824,-0.04775921255350113,0.04775921255350113,0.0022809423837305
relative_return,18,2,19,0.03374563530087471,0.0025178194046020508,0.03122781589627266,0.03122781589627266,0.0009751764856514994
relative_return,18,3,20,-0.06234206259250641,-0.006075561046600342,-0.05626650154590607,0.05626650154590607,0.00316591919621545
relative_return,18,4,21,-0.023564524948596954,-0.003721892833709717,-0.019842632114887238,0.019842632114887238,0.00039373004924675437
relative_return,18,5,22,0.023823974654078484,-0.01231527328491211,0.03613924980163574,0.03613924980163574,0.001306045376225029
relative_return,19,1,19,-0.03840191662311554,0.008645057678222656,-0.047046974301338196,0.047046974301338196,0.0022134177909107766
relative_return,19,2,20,0.036484867334365845,-0.02665555477142334,0.06314042210578918,0.06314042210578918,0.0039867129036972315
relative_return,19,3,21,-0.03995492309331894,-0.02798563241958618,-0.011969290673732758,0.011969290673732758,0.00014326391923230597
relative_return,19,4,22,-0.02562972903251648,-0.03031313419342041,0.004683405160903931,0.004683405160903931,2.1934283901181573e-05
relative_return,19,5,23,0.019173504784703255,-0.013632535934448242,0.03280603885650635,0.03280603885650635,0.0010762361854546043
relative_return,20,1,20,-0.030640920624136925,0.010225296020507812,-0.040866218507289886,0.040866218507289886,0.0016700478150855624
relative_return,20,2,21,0.04030410200357437,0.02123713493347168,0.01906696707010269,0.01906696707010269,0.0003635492332523804
relative_return,20,3,22,-0.024238964542746544,0.02028203010559082,-0.04452099651098251,0.04452099651098251,0.001982119130330917
relative_return,20,4,23,-0.036147259175777435,0.012247800827026367,-0.0483950600028038,0.0483950600028038,0.0023420818326749804
relative_return,20,5,24,0.03291849419474602,-0.02140575647354126,0.05432425066828728,0.05432425066828728,0.0029511242106709107
relative_return,21,1,21,-0.015579238533973694,-0.01951998472213745,0.003940746188163757,0.003940746188163757,1.5529480519527183e-05
relative_return,21,2,22,0.052375659346580505,-0.02043861150741577,0.07281427085399628,0.07281427085399628,0.005301918039999132
relative_return,21,3,23,-0.002548201009631157,-0.014467716217041016,0.011919515207409859,0.011919515207409859,0.0001420748427796749
relative_return,21,4,24,-0.0496213398873806,-0.04110682010650635,-0.008514519780874252,0.008514519780874252,7.249704709889893e-05
relative_return,21,5,25,0.026973003521561623,-0.033700764179229736,0.06067376583814621,0.06067376583814621,0.003681305860982198
relative_return,22,1,22,-0.008957410231232643,0.014556407928466797,-0.02351381815969944,0.02351381815969944,0.0005528996444474112
relative_return,22,2,23,0.06898946315050125,0.05359160900115967,0.015397854149341583,0.015397854149341583,0.0002370939124043958
relative_return,22,3,24,0.012626061215996742,0.05264091491699219,-0.040014855563640594,0.040014855563640594,0.0016011886657790186
relative_return,22,4,25,-0.02744155004620552,0.05650293827056885,-0.08394448459148407,0.08394448459148407,0.007046676493329906
