rolling_step,horizon_step,target_index,predicted_value,locked
0,1,0,-0.21624140441417694,True
0,2,1,-0.18879826366901398,True
0,3,2,-0.15579286217689514,True
0,4,3,-0.18280503153800964,True
0,5,4,-0.1789737045764923,True
1,1,1,-0.27312368154525757,True
1,2,2,-0.23488302528858185,True
1,3,3,-0.20803862810134888,True
1,4,4,-0.22857514023780823,True
1,5,5,-0.2315836399793625,True
2,1,2,-0.21196265518665314,True
2,2,3,-0.15348505973815918,True
2,3,4,-0.14512938261032104,True
2,4,5,-0.16062618792057037,True
2,5,6,-0.16813747584819794,True
3,1,3,-0.214188814163208,True
3,2,4,-0.1520296186208725,True
3,3,5,-0.14163175225257874,True
3,4,6,-0.16973185539245605,True
3,5,7,-0.15271809697151184,True
4,1,4,-0.10371685773134232,True
4,2,5,-0.03667176142334938,True
4,3,6,-0.029773499816656113,True
4,4,7,-0.06915198266506195,True
4,5,8,-0.0554872527718544,True
5,1,5,-0.18073442578315735,True
5,2,6,-0.1437651813030243,True
5,3,7,-0.12010044604539871,True
5,4,8,-0.1509714424610138,True
5,5,9,-0.15159030258655548,True
6,1,6,-0.09085893630981445,True
6,2,7,-0.04728949815034866,True
6,3,8,-0.035064149647951126,True
6,4,9,-0.05450057238340378,True
6,5,10,-0.0637025535106659,True
7,1,7,0.022410189732909203,True
7,2,8,0.04543881118297577,True
7,3,9,0.0504036545753479,True
7,4,10,0.022772759199142456,True
7,5,11,0.03972490131855011,True
8,1,8,0.1323404461145401,True
8,2,9,0.15586335957050323,True
8,3,10,0.14812016487121582,True
8,4,11,0.10929857194423676,True
8,5,12,0.1577443778514862,True
9,1,9,0.2694060802459717,True
9,2,10,0.31214526295661926,True
9,3,11,0.29204240441322327,True
9,4,12,0.285739004611969,True
9,5,13,0.3323231339454651,True
10,1,10,0.2135162204504013,True
10,2,11,0.2384432703256607,True
10,3,12,0.2179192751646042,True
10,4,13,0.19977253675460815,True
10,5,14,0.23342454433441162,True
11,1,11,0.18979205191135406,True
11,2,12,0.21489153802394867,True
11,3,13,0.18831413984298706,True
11,4,14,0.16778621077537537,True
11,5,15,0.20244203507900238,True
12,1,12,0.3944615423679352,True
12,2,13,0.4306883215904236,True
12,3,14,0.41914868354797363,True
12,4,15,0.4148196280002594,True
12,5,16,0.48122668266296387,True
