rolling_step,horizon_step,target_index,predicted_value,locked
0,1,0,-0.2952646315097809,True
0,2,1,-0.2817629277706146,True
0,3,2,-0.294646680355072,True
0,4,3,-0.2864948511123657,True
0,5,4,-0.28244203329086304,True
1,1,1,-0.38522395491600037,True
1,2,2,-0.38971176743507385,True
1,3,3,-0.3995423913002014,True
1,4,4,-0.3941256105899811,True
1,5,5,-0.391947478055954,True
2,1,2,-0.389692097902298,True
2,2,3,-0.3864843547344208,True
2,3,4,-0.40118658542633057,True
2,4,5,-0.4003520607948303,True
2,5,6,-0.3970227837562561,True
3,1,3,-0.3882898986339569,True
3,2,4,-0.381807416677475,True
3,3,5,-0.39157578349113464,True
3,4,6,-0.3894212245941162,True
3,5,7,-0.3827585279941559,True
4,1,4,-0.23498807847499847,True
4,2,5,-0.21482665836811066,True
4,3,6,-0.22543230652809143,True
4,4,7,-0.2349397987127304,True
4,5,8,-0.23472800850868225,True
5,1,5,-0.20324160158634186,True
5,2,6,-0.1966831237077713,True
5,3,7,-0.20052462816238403,True
5,4,8,-0.2055625319480896,True
5,5,9,-0.2032632827758789,True
6,1,6,-0.063759945333004,True
6,2,7,-0.04017745330929756,True
6,3,8,-0.04950239509344101,True
6,4,9,-0.06051978841423988,True
6,5,10,-0.05906331539154053,True
7,1,7,0.17138110101222992,True
7,2,8,0.17615459859371185,True
7,3,9,0.18117231130599976,True
7,4,10,0.18147599697113037,True
7,5,11,0.1995442807674408,True
8,1,8,0.3300507366657257,True
8,2,9,0.32469913363456726,True
8,3,10,0.3272698223590851,True
8,4,11,0.3328094482421875,True
8,5,12,0.36127176880836487,True
9,1,9,0.45872724056243896,True
9,2,10,0.4576353132724762,True
9,3,11,0.46002933382987976,True
9,4,12,0.47053611278533936,True
9,5,13,0.48302996158599854,True
10,1,10,0.4438130557537079,True
10,2,11,0.4614793658256531,True
10,3,12,0.45636042952537537,True
10,4,13,0.4469963312149048,True
10,5,14,0.4502093195915222,True
11,1,11,0.1210249662399292,True
11,2,12,0.10338860750198364,True
11,3,13,0.12277335673570633,True
11,4,14,0.10728044807910919,True
11,5,15,0.09414080530405045,True
12,1,12,0.22834022343158722,True
12,2,13,0.22101180255413055,True
12,3,14,0.22530588507652283,True
12,4,15,0.22369450330734253,True
12,5,16,0.22223329544067383,True
13,1,13,0.4459594786167145,True
13,2,14,0.45478883385658264,True
13,3,15,0.45676711201667786,True
13,4,16,0.46259957551956177,True
13,5,17,0.47494804859161377,True
14,1,14,0.22903339564800262,True
14,2,15,0.23468272387981415,True
14,3,16,0.22275593876838684,True
14,4,17,0.22373521327972412,True
14,5,18,0.22618456184864044,True
15,1,15,0.33356305956840515,True
15,2,16,0.3293648362159729,True
15,3,17,0.3324374258518219,True
15,4,18,0.33859241008758545,True
15,5,19,0.3430374264717102,True
16,1,16,0.13445648550987244,True
16,2,17,0.1302758753299713,True
16,3,18,0.13325190544128418,True
16,4,19,0.1422232687473297,True
16,5,20,0.13642072677612305,True
17,1,17,0.11105506122112274,True
17,2,18,0.1190224438905716,True
17,3,19,0.1073606088757515,True
17,4,20,0.11869612336158752,True
17,5,21,0.1203095093369484,True
18,1,18,-0.04165660962462425,True
18,2,19,-0.03973040357232094,True
18,3,20,-0.03624701872467995,True
18,4,21,-0.035451740026474,True
18,5,22,-0.03836643695831299,True
19,1,19,0.004734892398118973,True
19,2,20,0.012046057730913162,True
19,3,21,0.014663584530353546,True
19,4,22,0.021680288016796112,True
19,5,23,0.021831002086400986,True
20,1,20,-0.04885408282279968,True
20,2,21,-0.04137057438492775,True
20,3,22,-0.04334371164441109,True
20,4,23,-0.03560322895646095,True
20,5,24,-0.031472355127334595,True
21,1,21,0.19691036641597748,True
21,2,22,0.2080937772989273,True
21,3,23,0.21582725644111633,True
21,4,24,0.2326917052268982,True
21,5,25,0.24698469042778015,True
22,1,22,0.09615357220172882,True
22,2,23,0.10463345050811768,True
22,3,24,0.099683977663517,True
22,4,25,0.103872150182724,True
22,5,26,0.11768429726362228,True
23,1,23,0.2947060465812683,True
23,2,24,0.3075037896633148,True
23,3,25,0.3073703348636627,True
23,4,26,0.30425119400024414,True
23,5,27,0.3227052092552185,True
24,1,24,0.37026652693748474,True
24,2,25,0.3649156987667084,True
24,3,26,0.3625297248363495,True
24,4,27,0.37826722860336304,True
24,5,28,0.39249950647354126,True
25,1,25,0.5176356434822083,True
25,2,26,0.5015623569488525,True
25,3,27,0.5092160105705261,True
25,4,28,0.527487576007843,True
25,5,29,0.5504788160324097,True
26,1,26,0.4230877161026001,True
26,2,27,0.42308682203292847,True
26,3,28,0.42087653279304504,True
26,4,29,0.42650312185287476,True
26,5,30,0.42298534512519836,True
27,1,27,0.32891467213630676,True
27,2,28,0.325160413980484,True
27,3,29,0.3315354287624359,True
27,4,30,0.3333688974380493,True
27,5,31,0.3269965648651123,True
28,1,28,0.39564135670661926,True
28,2,29,0.3955371677875519,True
28,3,30,0.3995562195777893,True
28,4,31,0.3977382183074951,True
28,5,32,0.40890052914619446,True
29,1,29,0.4825110137462616,True
29,2,30,0.47988179326057434,True
29,3,31,0.48245587944984436,True
29,4,32,0.49590688943862915,True
29,5,33,0.500175952911377,True
30,1,30,0.3907831907272339,True
30,2,31,0.3932766020298004,True
30,3,32,0.38781288266181946,True
30,4,33,0.39145636558532715,True
30,5,34,0.39380955696105957,True
31,1,31,0.33026960492134094,True
31,2,32,0.34273701906204224,True
31,3,33,0.32982006669044495,True
31,4,34,0.3411285877227783,True
31,5,35,0.33031725883483887,True
32,1,32,0.19150851666927338,True
32,2,33,0.19430342316627502,True
32,3,34,0.18936407566070557,True
32,4,35,0.2026095986366272,True
32,5,36,0.19445884227752686,True
33,1,33,0.2762807309627533,True
33,2,34,0.2829562723636627,True
33,3,35,0.27539071440696716,True
33,4,36,0.2817886471748352,True
33,5,37,0.2907494902610779,True
34,1,34,0.2657790184020996,True
34,2,35,0.26862114667892456,True
34,3,36,0.26608675718307495,True
34,4,37,0.2757628858089447,True
34,5,38,0.2768893241882324,True
35,1,35,0.06745602190494537,True
35,2,36,0.06442952901124954,True
35,3,37,0.0723344162106514,True
35,4,38,0.07765927910804749,True
35,5,39,0.07029664516448975,True
36,1,36,0.16159455478191376,True
36,2,37,0.17407245934009552,True
36,3,38,0.17018243670463562,True
36,4,39,0.17528140544891357,True
36,5,40,0.18793028593063354,True
37,1,37,0.09814243018627167,True
37,2,38,0.10755228996276855,True
37,3,39,0.10370153933763504,True
37,4,40,0.1090192198753357,True
37,5,41,0.10999292135238647,True
38,1,38,0.05473204329609871,True
38,2,39,0.06046077609062195,True
38,3,40,0.056158967316150665,True
38,4,41,0.06961366534233093,True
38,5,42,0.07766448706388474,True
39,1,39,0.025320474058389664,True
39,2,40,0.028473632410168648,True
39,3,41,0.02325017750263214,True
39,4,42,0.03136184811592102,True
39,5,43,0.042134519666433334,True
40,1,40,0.006411891430616379,True
40,2,41,0.008867006748914719,True
40,3,42,0.00967058539390564,True
40,4,43,0.009430572390556335,True
40,5,44,0.007773682475090027,True
41,1,41,-0.013977976515889168,True
41,2,42,-0.006461482495069504,True
41,3,43,-0.008688583970069885,True
41,4,44,-0.0047101229429244995,True
41,5,45,-0.0009547024965286255,True
42,1,42,-0.020858803763985634,True
42,2,43,-0.016949359327554703,True
42,3,44,-0.01792621985077858,True
42,4,45,-0.0114230215549469,True
42,5,46,-0.004977814853191376,True
43,1,43,-0.05640869960188866,True
43,2,44,-0.05215324088931084,True
43,3,45,-0.05445508658885956,True
43,4,46,-0.04809708893299103,True
43,5,47,-0.04148644208908081,True
44,1,44,0.05771522596478462,True
44,2,45,0.06491788476705551,True
44,3,46,0.0650680884718895,True
44,4,47,0.06690442562103271,True
44,5,48,0.07189535349607468,True
45,1,45,-0.0335647277534008,True
45,2,46,-0.03336446359753609,True
45,3,47,-0.03397294506430626,True
45,4,48,-0.032182566821575165,True
45,5,49,-0.03368911147117615,True
46,1,46,-0.10368549823760986,True
46,2,47,-0.1053224503993988,True
46,3,48,-0.1038355827331543,True
46,4,49,-0.09617176651954651,True
46,5,50,-0.10471437871456146,True
47,1,47,-0.10909396409988403,True
47,2,48,-0.10602843761444092,True
47,3,49,-0.11007426679134369,True
47,4,50,-0.10846609622240067,True
47,5,51,-0.10887354612350464,True
48,1,48,-0.14748744666576385,True
48,2,49,-0.14468543231487274,True
48,3,50,-0.14303624629974365,True
48,4,51,-0.1395503282546997,True
48,5,52,-0.13653741776943207,True
49,1,49,-0.20733173191547394,True
49,2,50,-0.20570270717144012,True
49,3,51,-0.20491927862167358,True
49,4,52,-0.20394864678382874,True
49,5,53,-0.20131587982177734,True
50,1,50,-0.1721283346414566,True
50,2,51,-0.16980867087841034,True
50,3,52,-0.17531564831733704,True
50,4,53,-0.1673993170261383,True
50,5,54,-0.16449430584907532,True
51,1,51,-0.20744439959526062,True
51,2,52,-0.20922894775867462,True
51,3,53,-0.2126844823360443,True
51,4,54,-0.20910777151584625,True
51,5,55,-0.2085232436656952,True
52,1,52,-0.16842608153820038,True
52,2,53,-0.15998069941997528,True
52,3,54,-0.16558772325515747,True
52,4,55,-0.1634836494922638,True
52,5,56,-0.1588423252105713,True
53,1,53,-0.09582057595252991,True
53,2,54,-0.0871911346912384,True
53,3,55,-0.08496460318565369,True
53,4,56,-0.09342826902866364,True
53,5,57,-0.0944448858499527,True
54,1,54,-0.09981146454811096,True
54,2,55,-0.09454146027565002,True
54,3,56,-0.0988069698214531,True
54,4,57,-0.09717712551355362,True
54,5,58,-0.09200458228588104,True
55,1,55,-0.061249565333127975,True
55,2,56,-0.05570172891020775,True
55,3,57,-0.05797986313700676,True
55,4,58,-0.06198554113507271,True
55,5,59,-0.059306949377059937,True
56,1,56,0.0779850035905838,True
56,2,57,0.09140777587890625,True
56,3,58,0.09114205092191696,True
56,4,59,0.08326362073421478,True
56,5,60,0.09028163552284241,True
57,1,57,0.01521628350019455,True
57,2,58,0.019631849601864815,True
57,3,59,0.019754558801651,True
57,4,60,0.024159476161003113,True
57,5,61,0.02263689786195755,True
58,1,58,0.11956964433193207,True
58,2,59,0.1270906627178192,True
58,3,60,0.12360305339097977,True
58,4,61,0.12416082620620728,True
58,5,62,0.13594701886177063,True
59,1,59,0.07415668666362762,True
59,2,60,0.07395973801612854,True
59,3,61,0.07520098239183426,True
59,4,62,0.07591535151004791,True
59,5,63,0.07928444445133209,True
60,1,60,-0.03349195420742035,True
60,2,61,-0.03397481516003609,True
60,3,62,-0.03388532996177673,True
60,4,63,-0.029156439006328583,True
60,5,64,-0.02860318124294281,True
