rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
0,1,0,-0.01463482528924942,-0.012999951839447021,-0.0016348734498023987,0.0016348734498023987,2.672811196868796e-06
0,2,1,-0.00482144532725215,-0.002666652202606201,-0.0021547931246459484,0.0021547931246459484,4.64313341002145e-06
0,3,2,-0.029357505962252617,-0.030444443225860596,0.0010869372636079788,0.0010869372636079788,1.1814326150196008e-06
0,4,3,-0.03284163773059845,-0.07566666603088379,0.04282502830028534,0.04282502830028534,0.0018339830489202402
0,5,4,0.00039754994213581085,-0.06855553388595581,0.06895308196544647,0.06895308196544647,0.0047545275125335795
1,1,1,-0.08289921283721924,-0.1205376386642456,0.03763842582702637,0.03763842582702637,0.0014166510987365655
1,2,2,-0.07145197689533234,-0.03655916452407837,-0.03489281237125397,0.03489281237125397,0.001217508355175534
1,3,3,-0.09034765511751175,-0.02569890022277832,-0.06464875489473343,0.06464875489473343,0.0041794615094393195
1,4,4,-0.09634234011173248,-0.0021504759788513184,-0.09419186413288116,0.09419186413288116,0.008872107268827145
1,5,5,-0.07630474865436554,0.01860213279724121,-0.09490688145160675,0.09490688145160675,0.009007316146869337
2,1,2,0.05505981296300888,0.02207958698272705,0.03298022598028183,0.03298022598028183,0.0010876953057104566
2,2,3,0.04465711861848831,-0.008157491683959961,0.05281461030244827,0.05281461030244827,0.0027893830613994752
2,3,4,0.03173918277025223,0.01392209529876709,0.017817087471485138,0.017817087471485138,0.00031744860596655267
2,4,5,0.03089316189289093,0.005112051963806152,0.025781109929084778,0.025781109929084778,0.0006646656291755537
2,5,6,0.027524152770638466,0.03165102005004883,-0.004126867279410362,0.004126867279410362,1.7031033541867885e-05
3,1,3,-0.005811118520796299,-0.025051355361938477,0.019240237772464752,0.019240237772464752,0.0003701867495409794
3,2,4,-0.015959590673446655,-0.016016483306884766,5.689263343811035e-05,5.689263343811035e-05,3.236771739523192e-09
3,3,5,-0.01770377717912197,-0.02371668815612793,0.0060129109770059586,0.0060129109770059586,3.615509841739875e-05
3,4,6,-0.021084429696202278,-0.022381961345672607,0.0012975316494703293,0.0012975316494703293,1.6835883813771935e-06
3,5,7,-0.0016477927565574646,-0.013963043689727783,0.012315250933170319,0.012315250933170319,0.0001516654055469524
4,1,4,-0.018931319937109947,-0.02300584316253662,0.004074523225426674,0.004074523225426674,1.6601739514541386e-05
4,2,5,-0.009658753871917725,-0.021398425102233887,0.011739671230316162,0.011739671230316162,0.000137819880595913
4,3,6,-0.03109913505613804,-0.007936537265777588,-0.02316259779036045,0.02316259779036045,0.0005365059363980108
4,4,7,-0.02409234829246998,-0.002109706401824951,-0.021982641890645027,0.021982641890645027,0.0004832365444923416
4,5,8,-0.012140961363911629,-0.00994575023651123,-0.0021952111274003983,0.0021952111274003983,4.8189518938625275e-06
5,1,5,-0.02746191993355751,-0.03973954916000366,0.012277629226446152,0.012277629226446152,0.00015074017942208473
5,2,6,-0.014377404004335403,-0.05334240198135376,0.038964997977018356,0.038964997977018356,0.0015182710673490446
5,3,7,-0.035085175186395645,-0.06024092435836792,0.025155749171972275,0.025155749171972275,0.0006328117164031838
5,4,8,-0.028412524610757828,-0.05994945764541626,0.03153693303465843,0.03153693303465843,0.0009945781452325303
5,5,9,-0.014791442081332207,-0.06840264797210693,0.05361120402812958,0.05361120402812958,0.002874161197345737
6,1,6,-0.06171131134033203,-0.06696856021881104,0.005257248878479004,0.005257248878479004,2.7638665770268744e-05
6,2,7,-0.047724708914756775,-0.0715937614440918,0.023869052529335022,0.023869052529335022,0.0005697316686481546
6,3,8,-0.061551954597234726,-0.053382158279418945,-0.00816979631781578,0.00816979631781578,6.674557187459629e-05
6,4,9,-0.05151630938053131,-0.05453842878341675,0.003022119402885437,0.003022119402885437,9.13320568529663e-06
6,5,10,-0.04533831775188446,-0.05762183666229248,0.01228351891040802,0.01228351891040802,0.00015088483682235143
