model,forecast_target,rolling_step,horizon_step,target_index,predicted_value,locked
naive_last,value,0,1,0,4.266834259033203,True
naive_last,value,0,2,1,4.266834259033203,True
naive_last,value,0,3,2,4.266834259033203,True
naive_last,value,0,4,3,4.266834259033203,True
naive_last,value,0,5,4,4.266834259033203,True
naive_last,value,1,1,1,3.772826671600342,True
naive_last,value,1,2,2,3.772826671600342,True
naive_last,value,1,3,3,3.772826671600342,True
naive_last,value,1,4,4,3.772826671600342,True
naive_last,value,1,5,5,3.772826671600342,True
naive_last,value,2,1,2,4.374007225036621,True
naive_last,value,2,2,3,4.374007225036621,True
naive_last,value,2,3,4,4.374007225036621,True
naive_last,value,2,4,5,4.374007225036621,True
naive_last,value,2,5,6,4.374007225036621,True
naive_last,value,3,1,3,3.8303229808807373,True
naive_last,value,3,2,4,3.8303229808807373,True
naive_last,value,3,3,5,3.8303229808807373,True
naive_last,value,3,4,6,3.8303229808807373,True
naive_last,value,3,5,7,3.8303229808807373,True
naive_last,value,4,1,4,4.296272277832031,True
naive_last,value,4,2,5,4.296272277832031,True
naive_last,value,4,3,6,4.296272277832031,True
naive_last,value,4,4,7,4.296272277832031,True
naive_last,value,4,5,8,4.296272277832031,True
naive_last,value,5,1,5,4.504179000854492,True
naive_last,value,5,2,6,4.504179000854492,True
naive_last,value,5,3,7,4.504179000854492,True
naive_last,value,5,4,8,4.504179000854492,True
naive_last,value,5,5,9,4.504179000854492,True
naive_last,value,6,1,6,5.2580695152282715,True
naive_last,value,6,2,7,5.2580695152282715,True
naive_last,value,6,3,8,5.2580695152282715,True
naive_last,value,6,4,9,5.2580695152282715,True
naive_last,value,6,5,10,5.2580695152282715,True
naive_last,value,7,1,7,5.462756633758545,True
naive_last,value,7,2,8,5.462756633758545,True
naive_last,value,7,3,9,5.462756633758545,True
naive_last,value,7,4,10,5.462756633758545,True
naive_last,value,7,5,11,5.462756633758545,True
naive_last,value,8,1,8,5.482534885406494,True
naive_last,value,8,2,9,5.482534885406494,True
naive_last,value,8,3,10,5.482534885406494,True
naive_last,value,8,4,11,5.482534885406494,True
naive_last,value,8,5,12,5.482534885406494,True
naive_last,value,9,1,9,5.809573650360107,True
naive_last,value,9,2,10,5.809573650360107,True
naive_last,value,9,3,11,5.809573650360107,True
naive_last,value,9,4,12,5.809573650360107,True
naive_last,value,9,5,13,5.809573650360107,True
naive_last,value,10,1,10,5.851430892944336,True
naive_last,value,10,2,11,5.851430892944336,True
naive_last,value,10,3,12,5.851430892944336,True
naive_last,value,10,4,13,5.851430892944336,True
naive_last,value,10,5,14,5.851430892944336,True
naive_last,value,11,1,11,5.973322868347168,True
naive_last,value,11,2,12,5.973322868347168,True
naive_last,value,11,3,13,5.973322868347168,True
naive_last,value,11,4,14,5.973322868347168,True
naive_last,value,11,5,15,5.973322868347168,True
naive_last,value,12,1,12,6.412134647369385,True
naive_last,value,12,2,13,6.412134647369385,True
naive_last,value,12,3,14,6.412134647369385,True
naive_last,value,12,4,15,6.412134647369385,True
naive_last,value,12,5,16,6.412134647369385,True
naive_last,value,13,1,13,6.610841274261475,True
naive_last,value,13,2,14,6.610841274261475,True
