model,rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
naive_last,0,1,0,-0.043741583824157715,-0.04012572765350342,-0.003615856170654297,0.003615856170654297,1.3074415846858756e-05
naive_last,0,2,1,-0.043741583824157715,-0.03366750478744507,-0.010074079036712646,0.010074079036712646,0.0001014870684379332
naive_last,0,3,2,-0.043741583824157715,-0.08043378591537476,0.03669220209121704,0.03669220209121704,0.0013463176943027122
naive_last,0,4,3,-0.043741583824157715,-0.13537752628326416,0.09163594245910645,0.09163594245910645,0.008397145950368667
naive_last,0,5,4,-0.043741583824157715,-0.13739335536956787,0.09365177154541016,0.09365177154541016,0.008770654313593695
naive_last,1,1,1,-0.13124847412109375,-0.14488834142684937,0.013639867305755615,0.013639867305755615,0.00018604598011862095
naive_last,1,2,2,-0.13124847412109375,-0.06352114677429199,-0.06772732734680176,0.06772732734680176,0.004586990869540841
naive_last,1,3,3,-0.13124847412109375,-0.09593039751052856,-0.035318076610565186,0.035318076610565186,0.0012473665354697516
naive_last,1,4,4,-0.13124847412109375,-0.0795738697052002,-0.051674604415893555,0.051674604415893555,0.0026702647415390857
naive_last,1,5,5,-0.13124847412109375,-0.07226133346557617,-0.05898714065551758,0.05898714065551758,0.0034794827627138147
naive_last,2,1,2,-0.09850317239761353,-0.10006076097488403,0.0015575885772705078,0.0015575885772705078,2.4260821760435647e-06
naive_last,2,2,3,-0.09850317239761353,-0.1202269196510315,0.02172374725341797,0.02172374725341797,0.00047192119473038474
naive_last,2,3,4,-0.09850317239761353,-0.11905962228775024,0.02055644989013672,0.02055644989013672,0.0004225676320857019
naive_last,2,4,5,-0.09850317239761353,-0.13982117176055908,0.04131799936294556,0.04131799936294556,0.0017071770713563694
naive_last,2,5,6,-0.09850317239761353,-0.11821585893630981,0.01971268653869629,0.01971268653869629,0.0003885900105728979
naive_last,3,1,3,-0.12050670385360718,-0.10585331916809082,-0.014653384685516357,0.014653384685516357,0.00021472168274172532
naive_last,3,2,4,-0.12050670385360718,-0.0877387523651123,-0.03276795148849487,0.03276795148849487,0.0010737386447523534
naive_last,3,3,5,-0.12050670385360718,-0.08101248741149902,-0.039494216442108154,0.039494216442108154,0.001559793132376086
naive_last,3,4,6,-0.12050670385360718,-0.08042371273040771,-0.04008299112319946,0.04008299112319946,0.001606646177382487
naive_last,3,5,7,-0.12050670385360718,-0.07508796453475952,-0.045418739318847656,0.045418739318847656,0.002062861881313438
naive_last,4,1,4,-0.07235544919967651,-0.07098251581192017,-0.0013729333877563477,0.0013729333877563477,1.8849460872161217e-06
naive_last,4,2,5,-0.07235544919967651,-0.06513053178787231,-0.007224917411804199,0.007224917411804199,5.219943160739149e-05
naive_last,4,3,6,-0.07235544919967651,-0.05136311054229736,-0.02099233865737915,0.02099233865737915,0.00044067828230609507
naive_last,4,4,7,-0.07235544919967651,-0.05741697549819946,-0.01493847370147705,0.01493847370147705,0.00022315799652972146
naive_last,4,5,8,-0.07235544919967651,-0.06466847658157349,-0.007686972618103027,0.007686972618103027,5.908954803146571e-05
naive_last,5,1,5,-0.07574951648712158,-0.07173240184783936,-0.0040171146392822266,0.0040171146392822266,1.6137210025135573e-05
naive_last,5,2,6,-0.07574951648712158,-0.0663486123085022,-0.009400904178619385,0.009400904178619385,8.837699937558341e-05
naive_last,5,3,7,-0.07574951648712158,-0.06701290607452393,-0.008736610412597656,0.008736610412597656,7.632836150150979e-05
naive_last,5,4,8,-0.07574951648712158,-0.03663599491119385,-0.039113521575927734,0.039113521575927734,0.0015298675700705644
naive_last,5,5,9,-0.07574951648712158,-0.029653310775756836,-0.046096205711364746,0.046096205711364746,0.002124860180984456
naive_last,6,1,6,-0.03964877128601074,-0.038664937019348145,-0.0009838342666625977,0.0009838342666625977,9.679298642595313e-07
naive_last,6,2,7,-0.03964877128601074,-0.03469240665435791,-0.004956364631652832,0.004956364631652832,2.4565550361899113e-05
naive_last,6,3,8,-0.03964877128601074,-0.027930140495300293,-0.01171863079071045,0.01171863079071045,0.000137326307608987
naive_last,6,4,9,-0.03964877128601074,-0.02707850933074951,-0.01257026195526123,0.01257026195526123,0.0001580114856238879
naive_last,6,5,10,-0.03964877128601074,-0.030853688716888428,-0.008795082569122314,0.008795082569122314,7.735347739767917e-05
naive_last,7,1,7,-0.002483546733856201,-0.01857858896255493,0.01609504222869873,0.01609504222869873,0.0002590503843435954
naive_last,7,2,8,-0.002483546733856201,-0.019015192985534668,0.016531646251678467,0.016531646251678467,0.0002732953277906347
naive_last,7,3,9,-0.002483546733856201,-0.025595903396606445,0.023112356662750244,0.023112356662750244,0.0005341810305061756
naive_last,7,4,10,-0.002483546733856201,-0.005660533905029297,0.0031769871711730957,0.0031769871711730957,1.0093247485798429e-05
naive_last,7,5,11,-0.002483546733856201,-0.011200249195098877,0.008716702461242676,0.008716702461242676,7.598090179783412e-05
naive_last,8,1,8,0.019106388092041016,0.023194313049316406,-0.004087924957275391,0.004087924957275391,1.6711130456315004e-05
naive_last,8,2,9,0.019106388092041016,0.02311122417449951,-0.004004836082458496,0.004004836082458496,1.6038712047361514e-05
naive_last,8,3,10,0.019106388092041016,0.027308106422424316,-0.0082017183303833,0.0082017183303833,6.726818357094544e-05
naive_last,8,4,11,0.019106388092041016,0.03326678276062012,-0.014160394668579102,0.014160394668579102,0.00020051677716992344
naive_last,8,5,12,0.019106388092041016,0.033342838287353516,-0.0142364501953125,0.0142364501953125,0.00020267651416361332
naive_last,9,1,9,0.07156050205230713,0.06590545177459717,0.005655050277709961,0.005655050277709961,3.1979593643427506e-05
naive_last,9,2,10,0.07156050205230713,0.07686376571655273,-0.0053032636642456055,0.0053032636642456055,2.8124605492507726e-05
naive_last,9,3,11,0.07156050205230713,0.07785439491271973,-0.006293892860412598,0.006293892860412598,3.961308733835267e-05
naive_last,9,4,12,0.07156050205230713,0.08376419544219971,-0.012203693389892578,0.012203693389892578,0.0001489301323545078
naive_last,9,5,13,0.07156050205230713,0.08079051971435547,-0.00923001766204834,0.00923001766204834,8.51932260417243e-05
naive_last,10,1,10,0.07259213924407959,0.07669198513031006,-0.004099845886230469,0.004099845886230469,1.6808736290840898e-05
naive_last,10,2,11,0.07259213924407959,0.06452929973602295,0.00806283950805664,0.00806283950805664,6.500938093267905e-05
naive_last,10,3,12,0.07259213924407959,0.07452809810638428,-0.0019359588623046875,0.0019359588623046875,3.74793671653606e-06
naive_last,10,4,13,0.07259213924407959,0.06555342674255371,0.007038712501525879,0.007038712501525879,4.9543473679136696e-05
naive_last,10,5,14,0.07259213924407959,0.06522393226623535,0.007368206977844238,0.007368206977844238,5.429047406835252e-05
naive_last,11,1,11,0.03535270690917969,0.033097028732299805,0.002255678176879883,0.002255678176879883,5.088084037652152e-06
naive_last,11,2,12,0.03535270690917969,0.043021440505981445,-0.007668733596801758,0.007668733596801758,5.8809474978716025e-05
naive_last,11,3,13,0.03535270690917969,0.05462169647216797,-0.01926898956298828,0.01926898956298828,0.0003712939587785513
naive_last,11,4,14,0.03535270690917969,0.054618239402770996,-0.01926553249359131,0.01926553249359131,0.00037116074226162254
naive_last,11,5,15,0.03535270690917969,0.06307637691497803,-0.02772367000579834,0.02772367000579834,0.0007686018785904025
naive_last,12,1,12,0.09017288684844971,0.0958625078201294,-0.0056896209716796875,0.0056896209716796875,3.237178680137731e-05
naive_last,12,2,13,0.09017288684844971,0.10152196884155273,-0.011349081993103027,0.011349081993103027,0.00012880166208617538
naive_last,12,3,14,0.09017288684844971,0.10028994083404541,-0.010117053985595703,0.010117053985595703,0.0001023547813474579
naive_last,12,4,15,0.09017288684844971,0.10551083087921143,-0.015337944030761719,0.015337944030761719,0.00023525252709077904
naive_last,12,5,16,0.09017288684844971,0.11472964286804199,-0.024556756019592285,0.024556756019592285,0.0006030342662057819
naive_last,13,1,13,0.26021265983581543,0.25030457973480225,0.009908080101013184,0.009908080101013184,9.817005128809342e-05
naive_last,13,2,14,0.26021265983581543,0.24940943717956543,0.01080322265625,0.01080322265625,0.0001167096197605133
naive_last,13,3,15,0.26021265983581543,0.25698351860046387,0.0032291412353515625,0.0032291412353515625,1.0427353117847815e-05
naive_last,13,4,16,0.26021265983581543,0.26043546199798584,-0.00022280216217041016,0.00022280216217041016,4.9640803467809747e-08
naive_last,13,5,17,0.26021265983581543,0.2562791109085083,0.003933548927307129,0.003933548927307129,1.5472807163519064e-05
naive_last,14,1,14,0.15993690490722656,0.16156935691833496,-0.0016324520111083984,0.0016324520111083984,2.6648995685718546e-06
naive_last,14,2,15,0.15993690490722656,0.15697383880615234,0.0029630661010742188,0.0029630661010742188,8.779760719335172e-06
naive_last,14,3,16,0.15993690490722656,0.16066884994506836,-0.0007319450378417969,0.0007319450378417969,5.357435384212295e-07
naive_last,14,4,17,0.15993690490722656,0.16690599918365479,-0.006969094276428223,0.006969094276428223,4.856827503374461e-05
naive_last,14,5,18,0.15993690490722656,0.1668003797531128,-0.0068634748458862305,0.0068634748458862305,4.7107286960113015e-05
naive_last,15,1,15,0.17130839824676514,0.17294728755950928,-0.0016388893127441406,0.0016388893127441406,2.6859581794269616e-06
naive_last,15,2,16,0.17130839824676514,0.17369508743286133,-0.0023866891860961914,0.0023866891860961914,5.6962852710285006e-06
naive_last,15,3,17,0.17130839824676514,0.18286383152008057,-0.01155543327331543,0.01155543327331543,0.00013352803813404535
naive_last,15,4,18,0.17130839824676514,0.18368971347808838,-0.012381315231323242,0.012381315231323242,0.0001532969668573969
naive_last,15,5,19,0.17130839824676514,0.18839406967163086,-0.017085671424865723,0.017085671424865723,0.0002919201680384731
naive_last,16,1,16,0.14716672897338867,0.1473696231842041,-0.0002028942108154297,0.0002028942108154297,4.1166060782416025e-08
naive_last,16,2,17,0.14716672897338867,0.1439739465713501,0.0031927824020385742,0.0031927824020385742,1.0193859466767208e-05
naive_last,16,3,18,0.14716672897338867,0.14254462718963623,0.004622101783752441,0.004622101783752441,2.13638248993675e-05
naive_last,16,4,19,0.14716672897338867,0.13832318782806396,0.008843541145324707,0.008843541145324707,7.820821998905103e-05
naive_last,16,5,20,0.14716672897338867,0.12011897563934326,0.02704775333404541,0.02704775333404541,0.0007315809604193646
naive_last,17,1,17,0.1077427864074707,0.12406778335571289,-0.016324996948242188,0.016324996948242188,0.00026650552536011674
naive_last,17,2,18,0.1077427864074707,0.11860716342926025,-0.01086437702178955,0.01086437702178955,0.00011803468807158879
naive_last,17,3,19,0.1077427864074707,0.12675273418426514,-0.019009947776794434,0.019009947776794434,0.00036137811447645163
naive_last,17,4,20,0.1077427864074707,0.1258542537689209,-0.018111467361450195,0.018111467361450195,0.0003280252499848757
naive_last,17,5,21,0.1077427864074707,0.1346355676651001,-0.026892781257629395,0.026892781257629395,0.0007232216837707028
naive_last,18,1,18,0.08432126045227051,0.08160603046417236,0.0027152299880981445,0.0027152299880981445,7.37247388826745e-06
naive_last,18,2,19,0.08432126045227051,0.09387731552124023,-0.009556055068969727,0.009556055068969727,9.1318188481182e-05
naive_last,18,3,20,0.08432126045227051,0.09741067886352539,-0.013089418411254883,0.013089418411254883,0.0001713328743448983
naive_last,18,4,21,0.08432126045227051,0.09774327278137207,-0.013422012329101562,0.013422012329101562,0.00018015041496255435
naive_last,18,5,22,0.08432126045227051,0.09456288814544678,-0.01024162769317627,0.01024162769317627,0.00010489093780563508
naive_last,19,1,19,0.1035466194152832,0.10343551635742188,0.00011110305786132812,0.00011110305786132812,1.2343889466137625e-08
naive_last,19,2,20,0.1035466194152832,0.09697139263153076,0.006575226783752441,0.006575226783752441,4.3233607257775475e-05
naive_last,19,3,21,0.1035466194152832,0.09430396556854248,0.009242653846740723,0.009242653846740723,8.542665013067108e-05
naive_last,19,4,22,0.1035466194152832,0.08992218971252441,0.013624429702758789,0.013624429702758789,0.00018562508472541595
naive_last,19,5,23,0.1035466194152832,0.10647428035736084,-0.0029276609420776367,0.0029276609420776367,8.571198591766915e-06
naive_last,20,1,20,0.09383022785186768,0.08916354179382324,0.004666686058044434,0.004666686058044434,2.1777958764346295e-05
naive_last,20,2,21,0.09383022785186768,0.09366607666015625,0.00016415119171142578,0.00016415119171142578,2.694561374028126e-08
naive_last,20,3,22,0.09383022785186768,0.09628105163574219,-0.0024508237838745117,0.0024508237838745117,6.006537219604979e-06
naive_last,20,4,23,0.09383022785186768,0.09974169731140137,-0.005911469459533691,0.005911469459533691,3.4945471170999554e-05
naive_last,20,5,24,0.09383022785186768,0.0927053689956665,0.0011248588562011719,0.0011248588562011719,1.2653074463742087e-06
naive_last,21,1,21,0.08771407604217529,0.08018457889556885,0.007529497146606445,0.007529497146606445,5.66933272807546e-05
naive_last,21,2,22,0.08771407604217529,0.0856935977935791,0.0020204782485961914,0.0020204782485961914,4.082332353050333e-06
naive_last,21,3,23,0.08771407604217529,0.09475529193878174,-0.007041215896606445,0.007041215896606445,4.957872130262331e-05
naive_last,21,4,24,0.08771407604217529,0.09129023551940918,-0.0035761594772338867,0.0035761594772338867,1.2788916606609746e-05
naive_last,21,5,25,0.08771407604217529,0.09358847141265869,-0.0058743953704833984,0.0058743953704833984,3.4508520968756784e-05
naive_last,22,1,22,0.07442033290863037,0.0773085355758667,-0.002888202667236328,0.002888202667236328,8.34171464703104e-06
naive_last,22,2,23,0.07442033290863037,0.08052265644073486,-0.006102323532104492,0.006102323532104492,3.7238352490476245e-05
naive_last,22,3,24,0.07442033290863037,0.0896918773651123,-0.015271544456481934,0.015271544456481934,0.00023322007008630408
naive_last,22,4,25,0.07442033290863037,0.08916580677032471,-0.014745473861694336,0.014745473861694336,0.00021742899940591087
naive_last,22,5,26,0.07442033290863037,0.0942920446395874,-0.01987171173095703,0.01987171173095703,0.0003948849271182553
naive_last,23,1,23,0.10848820209503174,0.10706055164337158,0.0014276504516601562,0.0014276504516601562,2.038185812125448e-06
naive_last,23,2,24,0.10848820209503174,0.10598647594451904,0.0025017261505126953,0.0025017261505126953,6.258633732159069e-06
naive_last,23,3,25,0.10848820209503174,0.11128318309783936,-0.002794981002807617,0.002794981002807617,7.811918806055473e-06
naive_last,23,4,26,0.10848820209503174,0.11671221256256104,-0.008224010467529297,0.008224010467529297,6.763434817003144e-05
naive_last,23,5,27,0.10848820209503174,0.12163698673248291,-0.013148784637451172,0.013148784637451172,0.00017289053744207195
naive_last,24,1,24,0.08434700965881348,0.07838082313537598,0.0059661865234375,0.0059661865234375,3.559538163244724e-05
naive_last,24,2,25,0.08434700965881348,0.07531106472015381,0.009035944938659668,0.009035944938659668,8.164830093448927e-05
naive_last,24,3,26,0.08434700965881348,0.06992471218109131,0.014422297477722168,0.014422297477722168,0.0002080026645359112
naive_last,24,4,27,0.08434700965881348,0.07623922824859619,0.008107781410217285,0.008107781410217285,6.573611939586499e-05
naive_last,24,5,28,0.08434700965881348,0.07907569408416748,0.005271315574645996,0.005271315574645996,2.7786767887505448e-05
naive_last,25,1,25,0.06921851634979248,0.07359254360198975,-0.004374027252197266,0.004374027252197266,1.9132114402964362e-05
