model,forecast_target,rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
naive_last,value,0,1,0,4.266834259033203,4.3482489585876465,-0.08141469955444336,0.08141469955444336,0.00662835330354028
naive_last,value,0,2,1,4.266834259033203,4.360668182373047,-0.09383392333984375,0.09383392333984375,0.008804805169347674
naive_last,value,0,3,2,4.266834259033203,3.964174270629883,0.3026599884033203,0.3026599884033203,0.09160306858029799
naive_last,value,0,4,3,4.266834259033203,3.619656562805176,0.6471776962280273,0.6471776962280273,0.41883897049501684
naive_last,value,0,5,4,4.266834259033203,3.772826671600342,0.49400758743286133,0.49400758743286133,0.24404349644123613
naive_last,value,1,1,1,3.772826671600342,3.711190938949585,0.061635732650756836,0.061635732650756836,0.0037989635393955723
naive_last,value,1,2,2,3.772826671600342,4.5405168533325195,-0.7676901817321777,0.7676901817321777,0.5893482151279841
naive_last,value,1,3,3,3.772826671600342,4.22957706451416,-0.45675039291381836,0.45675039291381836,0.20862092142692745
naive_last,value,1,4,4,3.772826671600342,4.384126663208008,-0.611299991607666,0.611299991607666,0.37368767973953254
naive_last,value,1,5,5,3.772826671600342,4.374007225036621,-0.6011805534362793,0.6011805534362793,0.36141805782995107
naive_last,value,2,1,2,4.374007225036621,4.442543029785156,-0.06853580474853516,0.06853580474853516,0.004697156532529334
naive_last,value,2,2,3,4.374007225036621,4.0879058837890625,0.2861013412475586,0.2861013412475586,0.08185397746365197
naive_last,value,2,3,4,4.374007225036621,3.9499149322509766,0.42409229278564453,0.42409229278564453,0.17985427280018484
naive_last,value,2,4,5,4.374007225036621,3.7392489910125732,0.6347582340240479,0.6347582340240479,0.4029180156613279
naive_last,value,2,5,6,4.374007225036621,3.8303229808807373,0.5436842441558838,0.5436842441558838,0.29559255734335466
naive_last,value,3,1,3,3.8303229808807373,4.006031513214111,-0.17570853233337402,0.17570853233337402,0.030873488334748345
naive_last,value,3,2,4,3.8303229808807373,4.177140235900879,-0.3468172550201416,0.3468172550201416,0.12028220837970593
naive_last,value,3,3,5,3.8303229808807373,4.387806415557861,-0.557483434677124,0.557483434677124,0.3107877799394032
naive_last,value,3,4,6,3.8303229808807373,4.282933712005615,-0.45261073112487793,0.45261073112487793,0.20485647392939654
naive_last,value,3,5,7,3.8303229808807373,4.296272277832031,-0.46594929695129395,0.46594929695129395,0.2171087473294051
naive_last,value,4,1,4,4.296272277832031,4.291672706604004,0.004599571228027344,0.004599571228027344,2.1156055481696967e-05
naive_last,value,4,2,5,4.296272277832031,4.415404796600342,-0.11913251876831055,0.11913251876831055,0.014192557028081865
naive_last,value,4,3,6,4.296272277832031,4.548336029052734,-0.2520637512207031,0.2520637512207031,0.06353613467945252
naive_last,value,4,4,7,4.296272277832031,4.5170578956604,-0.22078561782836914,0.22078561782836914,0.04874628903985467
naive_last,value,4,5,8,4.296272277832031,4.504179000854492,-0.20790672302246094,0.20790672302246094,0.04322520547793829
naive_last,value,5,1,5,4.504179000854492,4.666088104248047,-0.1619091033935547,0.1619091033935547,0.026214557761704782
naive_last,value,5,2,6,4.504179000854492,4.680347442626953,-0.17616844177246094,0.17616844177246094,0.03103531987653696
naive_last,value,5,3,7,4.504179000854492,4.6472296714782715,-0.1430506706237793,0.1430506706237793,0.020463494365912993
naive_last,value,5,4,8,4.504179000854492,4.939310550689697,-0.4351315498352051,0.4351315498352051,0.18933946566198756
naive_last,value,5,5,9,4.504179000854492,5.2580695152282715,-0.7538905143737793,0.7538905143737793,0.5683509076627615
naive_last,value,6,1,6,5.2580695152282715,5.506913185119629,-0.24884366989135742,0.24884366989135742,0.061923172044998864
naive_last,value,6,2,7,5.2580695152282715,5.483455181121826,-0.2253856658935547,0.2253856658935547,0.05079869839028106
naive_last,value,6,3,8,5.2580695152282715,5.509673118591309,-0.2516036033630371,0.2516036033630371,0.0633043732252645
naive_last,value,6,4,9,5.2580695152282715,5.51749324798584,-0.25942373275756836,0.25942373275756836,0.06730067311787025
naive_last,value,6,5,10,5.2580695152282715,5.462756633758545,-0.20468711853027344,0.20468711853027344,0.04189681649222621
naive_last,value,7,1,7,5.462756633758545,5.3440842628479,0.11867237091064453,0.11867237091064453,0.01408313161755359
naive_last,value,7,2,8,5.462756633758545,5.39146089553833,0.07129573822021484,0.07129573822021484,0.005083082288365404
naive_last,value,7,3,9,5.462756633758545,5.320625305175781,0.14213132858276367,0.14213132858276367,0.020201314564701534
naive_last,value,7,4,10,5.462756633758545,5.514272689819336,-0.051516056060791016,0.051516056060791016,0.0026539040320585627
naive_last,value,7,5,11,5.462756633758545,5.482534885406494,-0.01977825164794922,0.01977825164794922,0.000391179238249606
naive_last,value,8,1,8,5.482534885406494,5.684001922607422,-0.20146703720092773,0.20146703720092773,0.04058896707852
naive_last,value,8,2,9,5.482534885406494,5.497254371643066,-0.014719486236572266,0.014719486236572266,0.00021666327506864036
naive_last,value,8,3,10,5.482534885406494,5.600747585296631,-0.11821269989013672,0.11821269989013672,0.01397424241531553
naive_last,value,8,4,11,5.482534885406494,5.7773756980896,-0.29484081268310547,0.29484081268310547,0.08693110482363409
naive_last,value,8,5,12,5.482534885406494,5.809573650360107,-0.3270387649536133,0.3270387649536133,0.10695435378238471
naive_last,value,9,1,9,5.809573650360107,5.720799446105957,0.08877420425415039,0.08877420425415039,0.007880859340957613
naive_last,value,9,2,10,5.809573650360107,5.8003740310668945,0.00919961929321289,0.00919961929321289,8.463299514005485e-05
naive_last,value,9,3,11,5.809573650360107,5.842231750488281,-0.03265810012817383,0.03265810012817383,0.0010665515039818274
naive_last,value,9,4,12,5.809573650360107,5.903407573699951,-0.09383392333984375,0.09383392333984375,0.008804805169347674
naive_last,value,9,5,13,5.809573650360107,5.851430892944336,-0.041857242584228516,0.041857242584228516,0.001752028756754953
naive_last,value,10,1,10,5.851430892944336,5.951244354248047,-0.09981346130371094,0.09981346130371094,0.0099627270574274
naive_last,value,10,2,11,5.851430892944336,5.811873435974121,0.039557456970214844,0.039557456970214844,0.001564792401950399
naive_last,value,10,3,12,5.851430892944336,5.936985492706299,-0.08555459976196289,0.08555459976196289,0.007319589540429661
naive_last,value,10,4,13,5.851430892944336,5.9107666015625,-0.05933570861816406,0.05933570861816406,0.003520726317219669
naive_last,value,10,5,14,5.851430892944336,5.973322868347168,-0.12189197540283203,0.12189197540283203,0.014857653667604609
naive_last,value,11,1,11,5.973322868347168,5.898347854614258,0.07497501373291016,0.07497501373291016,0.0056212526842500665
naive_last,value,11,2,12,5.973322868347168,5.913066864013672,0.060256004333496094,0.060256004333496094,0.0036307860582383
naive_last,value,11,3,13,5.973322868347168,6.084635257720947,-0.1113123893737793,0.1113123893737793,0.012390448028099854
naive_last,value,11,4,14,5.973322868347168,6.379476070404053,-0.40615320205688477,0.40615320205688477,0.16496042354106066
naive_last,value,11,5,15,5.973322868347168,6.412134647369385,-0.4388117790222168,0.4388117790222168,0.19255577740864283
naive_last,value,12,1,12,6.412134647369385,6.537705898284912,-0.12557125091552734,0.12557125091552734,0.015768139056490327
naive_last,value,12,2,13,6.412134647369385,6.548745632171631,-0.1366109848022461,0.1366109848022461,0.018662561168639513
naive_last,value,12,3,14,6.412134647369385,6.333019733428955,0.07911491394042969,0.07911491394042969,0.006259169607801596
naive_last,value,12,4,15,6.412134647369385,6.514707565307617,-0.10257291793823242,0.10257291793823242,0.010521203494363363
naive_last,value,12,5,16,6.412134647369385,6.610841274261475,-0.19870662689208984,0.19870662689208984,0.0394843235708322
naive_last,value,13,1,13,6.610841274261475,6.560245037078857,0.05059623718261719,0.05059623718261719,0.002559979217039654
naive_last,value,13,2,14,6.610841274261475,6.641199111938477,-0.030357837677001953,0.030357837677001953,0.0009215983084231993
naive_last,value,13,3,15,6.610841274261475,6.773670673370361,-0.16282939910888672,0.16282939910888672,0.02651341321416112
naive_last,value,13,4,16,6.610841274261475,6.829787254333496,-0.21894598007202148,0.21894598007202148,0.04793734218969803
naive_last,value,13,5,17,6.610841274261475,6.867504596710205,-0.25666332244873047,0.25666332244873047,0.06587606109042099
naive_last,value,14,1,14,6.867504596710205,6.828407287597656,0.03909730911254883,0.03909730911254883,0.0015285995798421936
naive_last,value,14,2,15,6.867504596710205,7.13336706161499,-0.26586246490478516,0.26586246490478516,0.07068285024524812
naive_last,value,14,3,16,6.867504596710205,7.164185047149658,-0.2966804504394531,0.2966804504394531,0.0880192896729568
naive_last,value,14,4,17,6.867504596710205,7.239160060882568,-0.3716554641723633,0.3716554641723633,0.1381277840491748
naive_last,value,14,5,18,6.867504596710205,7.212022304534912,-0.34451770782470703,0.34451770782470703,0.1186924510047902
naive_last,value,15,1,15,7.212022304534912,7.164645195007324,0.04737710952758789,0.04737710952758789,0.0022445905071890593
naive_last,value,15,2,16,7.212022304534912,6.964558124542236,0.24746417999267578,0.24746417999267578,0.061238520379447436
naive_last,value,15,3,17,7.212022304534912,7.137046813964844,0.07497549057006836,0.07497549057006836,0.0056213241862224095
naive_last,value,15,4,18,7.212022304534912,7.273198127746582,-0.06117582321166992,0.06117582321166992,0.0037424813456254924
naive_last,value,15,5,19,7.212022304534912,7.2621588706970215,-0.050136566162109375,0.050136566162109375,0.002513675266527571
naive_last,value,16,1,16,7.2621588706970215,7.411648750305176,-0.1494898796081543,0.1494898796081543,0.022347224105260466
naive_last,value,16,2,17,7.2621588706970215,7.354612350463867,-0.0924534797668457,0.0924534797668457,0.008547645920998548
naive_last,value,16,3,18,7.2621588706970215,7.527561664581299,-0.26540279388427734,0.26540279388427734,0.0704386430015802
naive_last,value,16,4,19,7.2621588706970215,7.463165283203125,-0.20100641250610352,0.20100641250610352,0.04040357786857385
naive_last,value,16,5,20,7.2621588706970215,7.272278308868408,-0.010119438171386719,0.010119438171386719,0.00010240302890451858
naive_last,value,17,1,17,7.272278308868408,7.561139106750488,-0.2888607978820801,0.2888607978820801,0.08344056055307192
naive_last,value,17,2,18,7.272278308868408,7.481103897094727,-0.20882558822631836,0.20882558822631836,0.04360812629806787
naive_last,value,17,3,19,7.272278308868408,7.53446102142334,-0.26218271255493164,0.26218271255493164,0.06873977476266191
