rolling_step,horizon_step,target_index,predicted_value,locked
0,1,0,0.09277407824993134,True
0,2,1,0.09414398670196533,True
0,3,2,0.09636389464139938,True
0,4,3,0.09503774344921112,True
0,5,4,0.09373822063207626,True
1,1,1,0.020168840885162354,True
1,2,2,0.00840422511100769,True
1,3,3,0.004495337605476379,True
1,4,4,-0.0035889409482479095,True
1,5,5,-0.010195039212703705,True
2,1,2,-0.01883556693792343,True
2,2,3,-0.034839242696762085,True
2,3,4,-0.042767465114593506,True
2,4,5,-0.056489378213882446,True
2,5,6,-0.06930888444185257,True
3,1,3,-0.07477647066116333,True
3,2,4,-0.0929628387093544,True
3,3,5,-0.10102721303701401,True
3,4,6,-0.11412880569696426,True
3,5,7,-0.1266191005706787,True
4,1,4,-0.12975893914699554,True
4,2,5,-0.1449720859527588,True
4,3,6,-0.14861635863780975,True
4,4,7,-0.16132749617099762,True
4,5,8,-0.16936832666397095,True
5,1,5,-0.09918176382780075,True
5,2,6,-0.1049715057015419,True
5,3,7,-0.10926716029644012,True
5,4,8,-0.1116933524608612,True
5,5,9,-0.11315038055181503,True
6,1,6,-0.045428864657878876,True
6,2,7,-0.0388728529214859,True
6,3,8,-0.037523601204156876,True
6,4,9,-0.029679562896490097,True
6,5,10,-0.023251719772815704,True
7,1,7,0.049222275614738464,True
7,2,8,0.0642511323094368,True
7,3,9,0.07050704210996628,True
7,4,10,0.09140896797180176,True
7,5,11,0.10074672102928162,True
8,1,8,0.10335113108158112,True
8,2,9,0.11913313716650009,True
8,3,10,0.1313202977180481,True
8,4,11,0.14851011335849762,True
8,5,12,0.15758779644966125,True
9,1,9,0.10221661627292633,True
9,2,10,0.11277107149362564,True
9,3,11,0.12149367481470108,True
9,4,12,0.12821148335933685,True
9,5,13,0.1359778344631195,True
10,1,10,0.10558091104030609,True
10,2,11,0.10765187442302704,True
10,3,12,0.10925626009702682,True
10,4,13,0.10687069594860077,True
10,5,14,0.10361827909946442,True
11,1,11,0.050835683941841125,True
11,2,12,0.04081951826810837,True
11,3,13,0.03639662265777588,True
11,4,14,0.0271107517182827,True
11,5,15,0.015752270817756653,True
12,1,12,-0.011362612247467041,True
12,2,13,-0.027529723942279816,True
12,3,14,-0.035189494490623474,True
12,4,15,-0.046997763216495514,True
12,5,16,-0.06171061843633652,True
13,1,13,-0.07019627094268799,True
13,2,14,-0.08841849118471146,True
13,3,15,-0.09675714373588562,True
13,4,16,-0.10856549441814423,True
13,5,17,-0.12183361500501633,True
14,1,14,-0.11742820590734482,True
14,2,15,-0.1326119601726532,True
14,3,16,-0.138069748878479,True
14,4,17,-0.14841550588607788,True
14,5,18,-0.15696579217910767,True
15,1,15,-0.12123384326696396,True
15,2,16,-0.12615680694580078,True
15,3,17,-0.1279611587524414,True
15,4,18,-0.1354728788137436,True
15,5,19,-0.13619130849838257,True
16,1,16,-0.03512071073055267,True
16,2,17,-0.027051664888858795,True
16,3,18,-0.02711697295308113,True
16,4,19,-0.017047062516212463,True
16,5,20,-0.009737871587276459,True
17,1,17,0.02089361846446991,True
17,2,18,0.030614733695983887,True
17,3,19,0.044401928782463074,True
17,4,20,0.06119729205965996,True
17,5,21,0.06972654163837433,True
18,1,18,0.135266974568367,True
18,2,19,0.15597867965698242,True
18,3,20,0.1627197563648224,True
18,4,21,0.18042239546775818,True
18,5,22,0.18859556317329407,True
19,1,19,0.13973885774612427,True
19,2,20,0.15443234145641327,True
19,3,21,0.16144543886184692,True
19,4,22,0.16759711503982544,True
19,5,23,0.17253410816192627,True
20,1,20,0.0676603764295578,True
20,2,21,0.06602036952972412,True
20,3,22,0.06733589619398117,True
20,4,23,0.06436112523078918,True
20,5,24,0.06588578224182129,True
21,1,21,0.03345213085412979,True
21,2,22,0.022211875766515732,True
21,3,23,0.018124304711818695,True
21,4,24,0.009410660713911057,True
21,5,25,0.0006444603204727173,True
22,1,22,-0.011071652173995972,True
22,2,23,-0.02686470001935959,True
22,3,24,-0.034775182604789734,True
22,4,25,-0.047561075538396835,True
22,5,26,-0.061884574592113495,True
23,1,23,-0.08532754331827164,True
