forecast_target,rolling_step,horizon_step,target_index,predicted_value,locked
value,0,1,0,4.728306293487549,True
value,0,2,1,4.846889972686768,True
value,0,3,2,4.874119281768799,True
value,0,4,3,4.814243316650391,True
value,0,5,4,4.790780067443848,True
value,1,1,1,4.366517543792725,True
value,1,2,2,4.454326152801514,True
value,1,3,3,4.47742223739624,True
value,1,4,4,4.449077129364014,True
value,1,5,5,4.438809394836426,True
value,2,1,2,4.664941310882568,True
value,2,2,3,4.783186435699463,True
value,2,3,4,4.821650981903076,True
value,2,4,5,4.753901958465576,True
value,2,5,6,4.753861904144287,True
value,3,1,3,4.1938252449035645,True
value,3,2,4,4.283486843109131,True
value,3,3,5,4.31937837600708,True
value,3,4,6,4.2749247550964355,True
value,3,5,7,4.31171178817749,True
value,4,1,4,4.495499134063721,True
value,4,2,5,4.612858295440674,True
value,4,3,6,4.664175510406494,True
value,4,4,7,4.587503910064697,True
value,4,5,8,4.62811803817749,True
value,5,1,5,4.675655841827393,True
value,5,2,6,4.794667720794678,True
value,5,3,7,4.8364458084106445,True
value,5,4,8,4.7696661949157715,True
value,5,5,9,4.785984516143799,True
value,6,1,6,5.10899543762207,True
value,6,2,7,5.219776630401611,True
value,6,3,8,5.2422590255737305,True
value,6,4,9,5.191176414489746,True
value,6,5,10,5.141859531402588,True
value,7,1,7,5.515507698059082,True
value,7,2,8,5.562649250030518,True
value,7,3,9,5.574896812438965,True
value,7,4,10,5.5794358253479,True
value,7,5,11,5.431779384613037,True
value,8,1,8,5.649315357208252,True
value,8,2,9,5.663382053375244,True
value,8,3,10,5.663287162780762,True
value,8,4,11,5.699852466583252,True
value,8,5,12,5.512832164764404,True
value,9,1,9,5.754732608795166,True
value,9,2,10,5.748921871185303,True
value,9,3,11,5.742521286010742,True
value,9,4,12,5.795369625091553,True
value,9,5,13,5.5849995613098145,True
value,10,1,10,5.791258335113525,True
value,10,2,11,5.779539585113525,True
value,10,3,12,5.770246982574463,True
value,10,4,13,5.828063488006592,True
value,10,5,14,5.61008882522583,True
value,11,1,11,5.815907955169678,True
value,11,2,12,5.8005242347717285,True
value,11,3,13,5.789395809173584,True
value,11,4,14,5.849874496459961,True
value,11,5,15,5.6280975341796875,True
value,12,1,12,5.901427268981934,True
value,12,2,13,5.8760857582092285,True
value,12,3,14,5.859245777130127,True
value,12,4,15,5.924801349639893,True
value,12,5,16,5.692825794219971,True
value,13,1,13,5.928398609161377,True
value,13,2,14,5.897883892059326,True
value,13,3,15,5.87821626663208,True
value,13,4,16,5.9484734535217285,True
value,13,5,17,5.709212779998779,True
value,14,1,14,5.972179412841797,True
value,14,2,15,5.9370012283325195,True
value,14,3,16,5.914124965667725,True
value,14,4,17,5.986150741577148,True
value,14,5,18,5.742265701293945,True
value,15,1,15,5.998013019561768,True
value,15,2,16,5.96079683303833,True
value,15,3,17,5.935446739196777,True
value,15,4,18,6.008373737335205,True
value,15,5,19,5.76182746887207,True
value,16,1,16,6.000164031982422,True
value,16,2,17,5.963295936584473,True
value,16,3,18,5.937392711639404,True
value,16,4,19,6.0102972984313965,True
value,16,5,20,5.763862133026123,True
value,17,1,17,6.016026020050049,True
value,17,2,18,5.9774169921875,True
value,17,3,19,5.950271129608154,True
value,17,4,20,6.023900985717773,True
value,17,5,21,5.774511337280273,True
value,18,1,18,6.026146411895752,True
value,18,2,19,5.987241268157959,True
value,18,3,20,5.958339214324951,True
value,18,4,21,6.032492160797119,True
value,18,5,22,5.783200740814209,True
value,19,1,19,6.027609348297119,True
value,19,2,20,5.9886345863342285,True
value,19,3,21,5.9596452713012695,True
value,19,4,22,6.033681392669678,True
value,19,5,23,5.7843337059021,True
value,20,1,20,6.020379066467285,True
value,20,2,21,5.9822163581848145,True
value,20,3,22,5.953493595123291,True
