rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
0,1,0,-0.02799352817237377,-0.022094666957855225,-0.005898861214518547,0.005898861214518547,3.479656362815123e-05
0,2,1,-0.025685345754027367,-0.02554905414581299,-0.00013629160821437836,0.00013629160821437836,1.8575402469661606e-08
0,3,2,-0.021339066326618195,-0.11284291744232178,0.09150385111570358,0.09150385111570358,0.008372954769004848
0,4,3,-0.01987563446164131,-0.15771639347076416,0.13784076273441315,0.13784076273441315,0.01900007587120478
0,5,4,-0.016236819326877594,-0.13849204778671265,0.12225522845983505,0.12225522845983505,0.014946340885766463
1,1,1,-0.11562985181808472,-0.17115896940231323,0.055529117584228516,0.055529117584228516,0.0030834828996830765
1,2,2,-0.0990801751613617,-0.048858463764190674,-0.05022171139717102,0.05022171139717102,0.0025222202956607376
1,3,3,-0.09649510681629181,-0.1129639744758606,0.016468867659568787,0.016468867659568787,0.0002712236019883907
1,4,4,-0.09639374911785126,-0.11738055944442749,0.020986810326576233,0.020986810326576233,0.0004404462076836868
1,5,5,-0.09979625791311264,-0.13701164722442627,0.03721538931131363,0.03721538931131363,0.0013849852015926367
2,1,2,-0.1086760014295578,-0.1489139199256897,0.0402379184961319,0.0402379184961319,0.0016190900849013534
2,2,3,-0.11325450241565704,-0.18026340007781982,0.06700889766216278,0.06700889766216278,0.004490192365898205
2,3,4,-0.11107580363750458,-0.18161791563034058,0.070542111992836,0.070542111992836,0.004976189564409816
2,4,5,-0.11182402819395065,-0.20906704664230347,0.09724301844835281,0.09724301844835281,0.009456204636946686
2,5,6,-0.10947182029485703,-0.18357622623443604,0.07410440593957901,0.07410440593957901,0.005491462979657913
3,1,3,-0.2162916362285614,-0.21156877279281616,-0.004722863435745239,0.004722863435745239,2.2305439032699326e-05
3,2,4,-0.21075429022312164,-0.192050039768219,-0.01870425045490265,0.01870425045490265,0.00034984898507972595
3,3,5,-0.2121817171573639,-0.17065221071243286,-0.04152950644493103,0.04152950644493103,0.001724699905559568
3,4,6,-0.2047124207019806,-0.16690915822982788,-0.03780326247215271,0.03780326247215271,0.0014290866535384694
3,5,7,-0.20274409651756287,-0.1597866415977478,-0.042957454919815063,0.042957454919815063,0.0018453429331879434
4,1,4,-0.19996002316474915,-0.21285808086395264,0.012898057699203491,0.012898057699203491,0.00016635989241198246
4,2,5,-0.20138360559940338,-0.1795802116394043,-0.021803393959999084,0.021803393959999084,0.00047538798817492456
4,3,6,-0.2035689651966095,-0.14400827884674072,-0.059560686349868774,0.059560686349868774,0.0035474753584674446
4,4,7,-0.19688743352890015,-0.14078223705291748,-0.056105196475982666,0.056105196475982666,0.0031477930716086178
4,5,8,-0.20082584023475647,-0.15793025493621826,-0.04289558529853821,0.04289558529853821,0.0018400312381041672
5,1,5,-0.17275594174861908,-0.16809314489364624,-0.004662796854972839,0.004662796854972839,2.1741674510744602e-05
5,2,6,-0.17808033525943756,-0.16642040014266968,-0.011659935116767883,0.011659935116767883,0.00013595408692723687
5,3,7,-0.1798328459262848,-0.1741148829460144,-0.005717962980270386,0.005717962980270386,3.269510064374259e-05
5,4,8,-0.17625737190246582,-0.10868418216705322,-0.0675731897354126,0.0675731897354126,0.0045661359710180704
5,5,9,-0.180167555809021,-0.08554500341415405,-0.09462255239486694,0.09462255239486694,0.00895342742171934
6,1,6,-0.08028815686702728,-0.07958179712295532,-0.0007063597440719604,0.0007063597440719604,4.989440880454055e-07
6,2,7,-0.07271505892276764,-0.10119068622589111,0.028475627303123474,0.028475627303123474,0.0008108613503063911
6,3,8,-0.06723342090845108,-0.10613226890563965,0.03889884799718857,0.03889884799718857,0.001513120375508381
6,4,9,-0.06842563301324844,-0.1060066819190979,0.03758104890584946,0.03758104890584946,0.0014123352368638487
6,5,10,-0.0753108337521553,-0.11065512895584106,0.03534429520368576,0.03534429520368576,0.0012492192034452843
7,1,7,-0.01723666861653328,-0.03346008062362671,0.01622341200709343,0.01622341200709343,0.00026319909715190326
7,2,8,-0.01868654228746891,-0.03183269500732422,0.013146152719855309,0.013146152719855309,0.00017282133133375913
7,3,9,-0.009402267634868622,-0.04629659652709961,0.03689432889223099,0.03689432889223099,0.0013611915044081102
7,4,10,-0.01320347934961319,-0.02308744192123413,0.009883962571620941,0.009883962571620941,9.769271611720365e-05
7,5,11,-0.007822968065738678,-0.021171092987060547,0.013348124921321869,0.013348124921321869,0.00017817243891521395
8,1,8,0.011972613632678986,0.007890582084655762,0.004082031548023224,0.004082031548023224,1.6662981559056878e-05
8,2,9,0.021379612386226654,0.011703133583068848,0.009676478803157806,0.009676478803157806,9.363424202796233e-05
8,3,10,0.029885880649089813,0.048281311988830566,-0.018395431339740753,0.018395431339740753,0.0003383918941751163
8,4,11,0.025043033063411713,0.041953086853027344,-0.01691005378961563,0.01691005378961563,0.00028594991916769397
8,5,12,0.029236044734716415,0.07492184638977051,-0.04568580165505409,0.04568580165505409,0.0020871924728649432
9,1,9,0.12270292639732361,0.13027679920196533,-0.007573872804641724,0.007573872804641724,5.736354926089149e-05
9,2,10,0.12656272947788239,0.1518878936767578,-0.025325164198875427,0.025325164198875427,0.0006413639417000017
9,3,11,0.1337580382823944,0.14586186408996582,-0.012103825807571411,0.012103825807571411,0.00014650259918003172
9,4,12,0.12779521942138672,0.1596308946609497,-0.03183567523956299,0.03183567523956299,0.001013510217958924
9,5,13,0.12900254130363464,0.14599394798278809,-0.016991406679153442,0.016991406679153442,0.0002887079009363802
10,1,10,0.1777593046426773,0.19060373306274414,-0.012844428420066833,0.012844428420066833,0.00016497934143822057
10,2,11,0.1729380041360855,0.17259085178375244,0.00034715235233306885,0.00034715235233306885,1.2051475573038317e-07
10,3,12,0.19255802035331726,0.20564603805541992,-0.013088017702102661,0.013088017702102661,0.00017129620737055262
10,4,13,0.18502971529960632,0.197249174118042,-0.012219458818435669,0.012219458818435669,0.00014931517381544523
10,5,14,0.19154956936836243,0.19474220275878906,-0.0031926333904266357,0.0031926333904266357,1.0192907965667075e-05
11,1,11,0.09252727031707764,0.08947646617889404,0.0030508041381835938,0.0030508041381835938,9.30740588955814e-06
11,2,12,0.09527190029621124,0.11531031131744385,-0.020038411021232605,0.020038411021232605,0.00040153791625585633
11,3,13,0.10439496487379074,0.1371365785598755,-0.03274161368608475,0.03274161368608475,0.001072013266768812
11,4,14,0.10638611763715744,0.13151633739471436,-0.025130219757556915,0.025130219757556915,0.000631527945063104
11,5,15,0.10879620909690857,0.15931415557861328,-0.05051794648170471,0.05051794648170471,0.0025520629167283815
12,1,12,0.21104033291339874,0.25192832946777344,-0.040887996554374695,0.040887996554374695,0.001671828262230557
12,2,13,0.2079332023859024,0.25953924655914307,-0.05160604417324066,0.05160604417324066,0.0026631837952104664
12,3,14,0.21769863367080688,0.22733783721923828,-0.009639203548431396,0.009639203548431396,9.291424504809243e-05
12,4,15,0.21913522481918335,0.21769630908966064,0.001438915729522705,0.001438915729522705,2.0704784766678586e-06
12,5,16,0.22190213203430176,0.22697949409484863,-0.005077362060546875,0.005077362060546875,2.577960549388081e-05
13,1,13,0.3870745003223419,0.40728759765625,-0.02021309733390808,0.02021309733390808,0.000408569303830042
13,2,14,0.37800976634025574,0.4118325710296631,-0.03382280468940735,0.03382280468940735,0.0011439821170577957
13,3,15,0.39964544773101807,0.43555688858032227,-0.0359114408493042,0.0359114408493042,0.0012896315838730743
13,4,16,0.3934177756309509,0.42470359802246094,-0.03128582239151001,0.03128582239151001,0.000978802682713109
13,5,17,0.4129582643508911,0.405642032623291,0.007316231727600098,0.007316231727600098,5.352724669194231e-05
14,1,14,0.3551887273788452,0.3823438882827759,-0.027155160903930664,0.027155160903930664,0.0007374027637183644
14,2,15,0.3510817587375641,0.36215293407440186,-0.011071175336837769,0.011071175336837769,0.00012257092333900488
14,3,16,0.37512657046318054,0.34781014919281006,0.027316421270370483,0.027316421270370483,0.000746186871020349
14,4,17,0.379325807094574,0.34493398666381836,0.034391820430755615,0.034391820430755615,0.0011827973125413394
14,5,18,0.3978222608566284,0.3504371643066406,0.04738509654998779,0.04738509654998779,0.002245347375051665
15,1,15,0.3277701735496521,0.37038445472717285,-0.04261428117752075,0.04261428117752075,0.0018159769602767994
15,2,16,0.32639116048812866,0.3547004461288452,-0.028309285640716553,0.028309285640716553,0.0008014156534876804
15,3,17,0.3412386476993561,0.3715571165084839,-0.030318468809127808,0.030318468809127808,0.0009192095509300557
15,4,18,0.3461730480194092,0.37390196323394775,-0.027728915214538574,0.027728915214538574,0.0007688927389750688
15,5,19,0.36403876543045044,0.36982715129852295,-0.00578838586807251,0.00578838586807251,3.350541095770154e-05
16,1,16,0.27107977867126465,0.3071584701538086,-0.036078691482543945,0.036078691482543945,0.001301671979092589
16,2,17,0.2687433958053589,0.2750455141067505,-0.0063021183013916016,0.0063021183013916016,3.9716695084734965e-05
16,3,18,0.28546297550201416,0.2663205862045288,0.01914238929748535,0.01914238929748535,0.00036643106801648173
16,4,19,0.29179757833480835,0.40881597995758057,-0.11701840162277222,0.11701840162277222,0.01369330631834842
16,5,20,0.3010363280773163,0.3661384582519531,-0.06510213017463684,0.06510213017463684,0.004238287353275361
17,1,17,0.26389774680137634,0.3008662462234497,-0.036968499422073364,0.036968499422073364,0.0013666699495198387
17,2,18,0.25119665265083313,0.2792346477508545,-0.028037995100021362,0.028037995100021362,0.0007861291692288219
17,3,19,0.27202296257019043,0.2935272455215454,-0.02150428295135498,0.02150428295135498,0.00046243418525193647
17,4,20,0.2904048562049866,0.27650344371795654,0.01390141248703003,0.01390141248703003,0.00019324926913455442
17,5,21,0.2744922935962677,0.28901994228363037,-0.014527648687362671,0.014527648687362671,0.00021105257638343033
18,1,18,0.1545182764530182,0.16153550148010254,-0.007017225027084351,0.007017225027084351,4.9241447080738965e-05
18,2,19,0.15924686193466187,0.19813156127929688,-0.03888469934463501,0.03888469934463501,0.0015120198431226584
18,3,20,0.17272809147834778,0.18308663368225098,-0.010358542203903198,0.010358542203903198,0.00010729939659004373
18,4,21,0.16296949982643127,0.1861957311630249,-0.023226231336593628,0.023226231336593628,0.0005394578221009638
18,5,22,0.17135801911354065,0.19089722633361816,-0.019539207220077515,0.019539207220077515,0.0003817806187891293
19,1,19,0.2202208936214447,0.2075059413909912,0.012714952230453491,0.012714952230453491,0.0001616700102227142
19,2,20,0.22481541335582733,0.1825019121170044,0.04231350123882294,0.04231350123882294,0.0017904323870878702
19,3,21,0.23103991150856018,0.17658531665802002,0.05445459485054016,0.05445459485054016,0.002965302900336475
19,4,22,0.23221606016159058,0.16302120685577393,0.06919485330581665,0.06919485330581665,0.004787927724013485
19,5,23,0.2441137433052063,0.18771040439605713,0.05640333890914917,0.05640333890914917,0.0031813366401003407
20,1,20,0.15180784463882446,0.1678164005279541,-0.01600855588912964,0.01600855588912964,0.00025627386165538724
20,2,21,0.15924234688282013,0.16905665397644043,-0.0098143070936203,0.0098143070936203,9.632062372788575e-05
20,3,22,0.15789690613746643,0.15863895416259766,-0.0007420480251312256,0.0007420480251312256,5.50635271601152e-07
20,4,23,0.16288277506828308,0.16442131996154785,-0.0015385448932647705,0.0015385448932647705,2.367120388591104e-06
20,5,24,0.17422959208488464,0.14518260955810547,0.029046982526779175,0.029046982526779175,0.0008437271939110147
21,1,21,0.07605977356433868,0.07374894618988037,0.002310827374458313,0.002310827374458313,5.3399231545459e-06
21,2,22,0.08071410655975342,0.07658267021179199,0.004131436347961426,0.004131436347961426,1.7068766297256843e-05
21,3,23,0.08382696658372879,0.09352636337280273,-0.009699396789073944,0.009699396789073944,9.407829807189794e-05
21,4,24,0.08832541853189468,0.09907686710357666,-0.010751448571681976,0.010751448571681976,0.00011559364638952241
21,5,25,0.09464816749095917,0.09885776042938232,-0.004209592938423157,0.004209592938423157,1.7720672707222107e-05
22,1,22,0.07951809465885162,0.1043325662612915,-0.02481447160243988,0.02481447160243988,0.0006157580009082952
22,2,23,0.07960207015275955,0.08454477787017822,-0.004942707717418671,0.004942707717418671,2.4430359579830085e-05
22,3,24,0.0795808807015419,0.08298730850219727,-0.003406427800655365,0.003406427800655365,1.1603750361077747e-05
22,4,25,0.08130321651697159,0.08975136280059814,-0.008448146283626556,0.008448146283626556,7.13711756295532e-05
22,5,26,0.08430160582065582,0.10289037227630615,-0.01858876645565033,0.01858876645565033,0.0003455422383427109
23,1,23,0.11749333143234253,0.14164292812347412,-0.024149596691131592,0.024149596691131592,0.0005832030203443139
23,2,24,0.11836814135313034,0.13683593273162842,-0.018467791378498077,0.018467791378498077,0.0003410593183997279
23,3,25,0.1292322874069214,0.14347481727600098,-0.01424252986907959,0.01424252986907959,0.00020284965707162428
23,4,26,0.12452308088541031,0.14073431491851807,-0.016211234033107758,0.016211234033107758,0.0002628041088761912
23,5,27,0.13074222207069397,0.12136006355285645,0.009382158517837524,0.009382158517837524,8.802489845383121e-05
