rolling_step,horizon_step,target_index,predicted_value,locked
0,1,0,-0.21965156495571136,True
0,2,1,-0.1916159838438034,True
0,3,2,-0.19373203814029694,True
0,4,3,-0.2005007266998291,True
0,5,4,-0.20596842467784882,True
1,1,1,-0.26976022124290466,True
1,2,2,-0.24356257915496826,True
1,3,3,-0.25514349341392517,True
1,4,4,-0.25181111693382263,True
1,5,5,-0.2627890110015869,True
2,1,2,-0.1963021606206894,True
2,2,3,-0.15906034409999847,True
2,3,4,-0.16594403982162476,True
2,4,5,-0.1578090488910675,True
2,5,6,-0.17099182307720184,True
3,1,3,-0.18174207210540771,True
3,2,4,-0.15429377555847168,True
3,3,5,-0.14350134134292603,True
3,4,6,-0.1643444001674652,True
3,5,7,-0.14553722739219666,True
4,1,4,-0.07690098136663437,True
4,2,5,-0.043176814913749695,True
4,3,6,-0.04599836468696594,True
4,4,7,-0.06097893416881561,True
4,5,8,-0.046602070331573486,True
5,1,5,-0.15451174974441528,True
5,2,6,-0.12666049599647522,True
5,3,7,-0.13081702589988708,True
5,4,8,-0.13149958848953247,True
5,5,9,-0.14517371356487274,True
6,1,6,-0.06641551107168198,True
6,2,7,-0.039961330592632294,True
6,3,8,-0.059082336723804474,True
6,4,9,-0.060775987803936005,True
6,5,10,-0.07787720113992691,True
7,1,7,0.052812665700912476,True
7,2,8,0.0632590726017952,True
7,3,9,0.04327990114688873,True
7,4,10,0.03506918251514435,True
7,5,11,0.036543525755405426,True
8,1,8,0.15151570737361908,True
8,2,9,0.16044631600379944,True
8,3,10,0.14290936291217804,True
8,4,11,0.13704855740070343,True
8,5,12,0.1378115564584732,True
9,1,9,0.2907426953315735,True
9,2,10,0.30952388048171997,True
9,3,11,0.3022223114967346,True
9,4,12,0.29731956124305725,True
9,5,13,0.3020399212837219,True
10,1,10,0.22247560322284698,True
10,2,11,0.2252168357372284,True
10,3,12,0.2133554071187973,True
10,4,13,0.21698635816574097,True
10,5,14,0.21052566170692444,True
11,1,11,0.19188380241394043,True
11,2,12,0.2033759206533432,True
11,3,13,0.177730992436409,True
11,4,14,0.1751118004322052,True
11,5,15,0.17667250335216522,True
12,1,12,0.3946249783039093,True
12,2,13,0.41145962476730347,True
12,3,14,0.4214572608470917,True
12,4,15,0.4177241027355194,True
12,5,16,0.42142292857170105,True
13,1,13,0.6260940432548523,True
13,2,14,0.6403342485427856,True
13,3,15,0.6692419648170471,True
13,4,16,0.6872416734695435,True
13,5,17,0.6918625831604004,True
14,1,14,0.4506883919239044,True
14,2,15,0.4729107916355133,True
14,3,16,0.48767513036727905,True
14,4,17,0.501000702381134,True
14,5,18,0.4935976266860962,True
15,1,15,0.6612429618835449,True
15,2,16,0.6831147074699402,True
15,3,17,0.7118175625801086,True
15,4,18,0.7305189371109009,True
15,5,19,0.7142131924629211,True
16,1,16,0.5643638968467712,True
16,2,17,0.5885639190673828,True
16,3,18,0.6136492490768433,True
16,4,19,0.6209661960601807,True
16,5,20,0.6291875839233398,True
17,1,17,0.486937940120697,True
17,2,18,0.5071936845779419,True
17,3,19,0.516465961933136,True
17,4,20,0.5186119675636292,True
17,5,21,0.5268739461898804,True
18,1,18,0.3534690737724304,True
18,2,19,0.3796918988227844,True
18,3,20,0.38221174478530884,True
18,4,21,0.3762226104736328,True
18,5,22,0.3803538978099823,True
19,1,19,0.3623518645763397,True
19,2,20,0.39131855964660645,True
19,3,21,0.38831910490989685,True
19,4,22,0.38467124104499817,True
19,5,23,0.39929643273353577,True
20,1,20,0.2750507891178131,True
20,2,21,0.3071097433567047,True
20,3,22,0.31164586544036865,True
20,4,23,0.2959100306034088,True
20,5,24,0.31436657905578613,True
21,1,21,0.24207603931427002,True
21,2,22,0.2780822217464447,True
21,3,23,0.27710387110710144,True
21,4,24,0.2717815339565277,True
21,5,25,0.2815609276294708,True
22,1,22,0.15656176209449768,True
22,2,23,0.19276538491249084,True
22,3,24,0.18379150331020355,True
22,4,25,0.18463677167892456,True
22,5,26,0.17850874364376068,True
23,1,23,0.21474237740039825,True
23,2,24,0.24905197322368622,True
23,3,25,0.24536336958408356,True
23,4,26,0.24132288992404938,True
23,5,27,0.2466384321451187,True
24,1,24,0.14442284405231476,True
24,2,25,0.1798080950975418,True
24,3,26,0.17771609127521515,True
24,4,27,0.16734419763088226,True
24,5,28,0.17487946152687073,True
25,1,25,0.14528603851795197,True
25,2,26,0.17453375458717346,True
25,3,27,0.17077156901359558,True
25,4,28,0.1625668853521347,True
25,5,29,0.1617191880941391,True
26,1,26,0.13093596696853638,True
26,2,27,0.15849009156227112,True
26,3,28,0.15311236679553986,True
26,4,29,0.1508011817932129,True
26,5,30,0.1465296447277069,True
27,1,27,0.09930211305618286,True
27,2,28,0.13276800513267517,True
27,3,29,0.12406378984451294,True
27,4,30,0.11876519024372101,True
27,5,31,0.11915624886751175,True
28,1,28,0.03739268705248833,True
28,2,29,0.07195389270782471,True
28,3,30,0.0746208056807518,True
28,4,31,0.0659809336066246,True
28,5,32,0.06686928868293762,True
29,1,29,0.06079639866948128,True
29,2,30,0.09307339042425156,True
29,3,31,0.08872184157371521,True
29,4,32,0.08240564167499542,True
29,5,33,0.08321164548397064,True
30,1,30,0.1385718435049057,True
30,2,31,0.16360987722873688,True
30,3,32,0.14932726323604584,True
30,4,33,0.14456325769424438,True
30,5,34,0.1390663981437683,True
31,1,31,0.09644950926303864,True
31,2,32,0.12957966327667236,True
31,3,33,0.11856389045715332,True
31,4,34,0.11429807543754578,True
31,5,35,0.11366050690412521,True
32,1,32,0.04102325439453125,True
32,2,33,0.06967809051275253,True
32,3,34,0.06548050791025162,True
32,4,35,0.06465474516153336,True
32,5,36,0.0664815679192543,True
33,1,33,0.06568946689367294,True
33,2,34,0.09434083849191666,True
33,3,35,0.08915609121322632,True
33,4,36,0.0797688364982605,True
33,5,37,0.08665281534194946,True
34,1,34,0.05989780277013779,True
34,2,35,0.08555871993303299,True
34,3,36,0.0755675807595253,True
34,4,37,0.07033448666334152,True
34,5,38,0.0685100108385086,True
35,1,35,0.050067268311977386,True
35,2,36,0.07626978307962418,True
35,3,37,0.07152564078569412,True
35,4,38,0.06447470933198929,True
35,5,39,0.06446747481822968,True
36,1,36,-0.010470516979694366,True
36,2,37,0.016829662024974823,True
36,3,38,0.016850711777806282,True
36,4,39,0.008030179888010025,True
36,5,40,0.013898082077503204,True
37,1,37,0.0016182800754904747,True
37,2,38,0.029891733080148697,True
37,3,39,0.02514588087797165,True
37,4,40,0.014070549979805946,True
37,5,41,0.029108703136444092,True
38,1,38,0.003865562379360199,True
38,2,39,0.030905086547136307,True
38,3,40,0.02596133202314377,True
38,4,41,0.024870187044143677,True
38,5,42,0.025829516351222992,True
