forecast_target,rolling_step,horizon_step,target_index,predicted_value,locked
value,0,1,0,4.207843780517578,True
value,0,2,1,4.489476680755615,True
value,0,3,2,4.321876049041748,True
value,0,4,3,4.299567699432373,True
value,0,5,4,4.428995132446289,True
value,1,1,1,3.933908462524414,True
value,1,2,2,4.224495887756348,True
value,1,3,3,4.072628021240234,True
value,1,4,4,4.00515079498291,True
value,1,5,5,4.147944450378418,True
value,2,1,2,4.443418979644775,True
value,2,2,3,4.674043655395508,True
value,2,3,4,4.612920761108398,True
value,2,4,5,4.605259895324707,True
value,2,5,6,4.652232646942139,True
value,3,1,3,3.8316237926483154,True
value,3,2,4,4.090272903442383,True
value,3,3,5,3.951171875,True
value,3,4,6,3.9602551460266113,True
value,3,5,7,4.115215301513672,True
value,4,1,4,4.349732875823975,True
value,4,2,5,4.562472343444824,True
value,4,3,6,4.4653730392456055,True
value,4,4,7,4.447850227355957,True
value,4,5,8,4.548521041870117,True
value,5,1,5,4.6676483154296875,True
value,5,2,6,4.899067401885986,True
value,5,3,7,4.802845001220703,True
value,5,4,8,4.806333065032959,True
value,5,5,9,4.842471122741699,True
value,6,1,6,5.2880072593688965,True
value,6,2,7,5.53708553314209,True
value,6,3,8,5.35792350769043,True
value,6,4,9,5.332551956176758,True
value,6,5,10,5.283990859985352,True
value,7,1,7,5.592892646789551,True
value,7,2,8,5.777520656585693,True
value,7,3,9,5.702134132385254,True
value,7,4,10,5.652161121368408,True
value,7,5,11,5.641818046569824,True
value,8,1,8,5.712615013122559,True
value,8,2,9,5.947879791259766,True
value,8,3,10,5.790026664733887,True
value,8,4,11,5.726778984069824,True
value,8,5,12,5.678854942321777,True
value,9,1,9,5.699018955230713,True
value,9,2,10,5.906012058258057,True
value,9,3,11,5.762624740600586,True
value,9,4,12,5.722142219543457,True
value,9,5,13,5.724388599395752,True
value,10,1,10,5.725027084350586,True
value,10,2,11,5.922739028930664,True
value,10,3,12,5.762017250061035,True
value,10,4,13,5.697272777557373,True
value,10,5,14,5.6453857421875,True
value,11,1,11,5.585145950317383,True
value,11,2,12,5.797687530517578,True
value,11,3,13,5.613578796386719,True
value,11,4,14,5.583578109741211,True
value,11,5,15,5.55257511138916,True
value,12,1,12,6.012201309204102,True
value,12,2,13,6.240830421447754,True
value,12,3,14,6.07705020904541,True
