rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
0,1,0,-0.15905842185020447,-0.1708282232284546,0.011769801378250122,0.011769801378250122,0.00013852822448345847
0,2,1,-0.17687885463237762,-0.17098665237426758,-0.005892202258110046,0.005892202258110046,3.471804745047713e-05
0,3,2,-0.17443251609802246,-0.20434987545013428,0.029917359352111816,0.029917359352111816,0.0008950483906033924
0,4,3,-0.149501770734787,-0.23137825727462769,0.0818764865398407,0.0818764865398407,0.006703759048108715
0,5,4,-0.1359896957874298,-0.22530746459960938,0.08931776881217957,0.08931776881217957,0.007977663825585957
1,1,1,-0.20860905945301056,-0.24651116132736206,0.0379021018743515,0.0379021018743515,0.0014365693264937196
1,2,2,-0.2310781180858612,-0.17355751991271973,-0.05752059817314148,0.05752059817314148,0.003308619214196007
1,3,3,-0.2250249981880188,-0.2042282223701477,-0.020796775817871094,0.020796775817871094,0.0004325058844187879
1,4,4,-0.20695659518241882,-0.18173295259475708,-0.025223642587661743,0.025223642587661743,0.0006362321453901032
1,5,5,-0.19637110829353333,-0.17168289422988892,-0.02468821406364441,0.02468821406364441,0.0006095079136523296
2,1,2,-0.17936551570892334,-0.20249998569488525,0.023134469985961914,0.023134469985961914,0.0005352037015313726
2,2,3,-0.19842740893363953,-0.21770405769348145,0.01927664875984192,0.01927664875984192,0.000371589187410315
2,3,4,-0.17791171371936798,-0.2287755012512207,0.05086378753185272,0.05086378753185272,0.0025871248820854564
2,4,5,-0.1780833899974823,-0.24658161401748657,0.06849822402000427,0.06849822402000427,0.00469200669389469
2,5,6,-0.16094407439231873,-0.2271938920021057,0.06624981760978699,0.06624981760978699,0.004389038333330042
3,1,3,-0.18375946581363678,-0.19008392095565796,0.006324455142021179,0.006324455142021179,3.9998732843438134e-05
3,2,4,-0.19819149374961853,-0.1695948839187622,-0.028596609830856323,0.028596609830856323,0.0008177660938182285
3,3,5,-0.18814297020435333,-0.1556227207183838,-0.03252024948596954,0.03252024948596954,0.0010575666266297024
3,4,6,-0.18762728571891785,-0.16266095638275146,-0.024966329336166382,0.024966329336166382,0.0006233176005219221
3,5,7,-0.17325074970722198,-0.16500699520111084,-0.008243754506111145,0.008243754506111145,6.795948835702781e-05
4,1,4,-0.1716025322675705,-0.2108532190322876,0.0392506867647171,0.0392506867647171,0.0015406164115019383
4,2,5,-0.19665202498435974,-0.1984296441078186,0.0017776191234588623,0.0017776191234588623,3.159929748086654e-06
4,3,6,-0.18021619319915771,-0.18486309051513672,0.004646897315979004,0.004646897315979004,2.159365466525287e-05
4,4,7,-0.1860836148262024,-0.18396854400634766,-0.0021150708198547363,0.0021150708198547363,4.4735245730009865e-06
4,5,8,-0.16286370158195496,-0.1888386607170105,0.025974959135055542,0.025974959135055542,0.0006746985020678054
5,1,5,-0.10440543293952942,-0.18818038702011108,0.08377495408058167,0.08377495408058167,0.007018242931203567
5,2,6,-0.121165931224823,-0.17262834310531616,0.051462411880493164,0.051462411880493164,0.002648379836557524
5,3,7,-0.10739114135503769,-0.18083339929580688,0.0734422579407692,0.0734422579407692,0.005393765251438476
5,4,8,-0.11077708005905151,-0.15021181106567383,0.039434731006622314,0.039434731006622314,0.0015550980095646594
5,5,9,-0.09016910195350647,-0.14447367191314697,0.0543045699596405,0.0543045699596405,0.0029489863185014897
6,1,6,-0.13215048611164093,-0.10012519359588623,-0.0320252925157547,0.0320252925157547,0.001025619360719654
6,2,7,-0.14880087971687317,-0.10779780149459839,-0.04100307822227478,0.04100307822227478,0.0016812524237019844
6,3,8,-0.13651470839977264,-0.09566307067871094,-0.04085163772106171,0.04085163772106171,0.0016688563044928717
6,4,9,-0.1315365880727768,-0.09375858306884766,-0.03777800500392914,0.03777800500392914,0.001427177662076895
6,5,10,-0.12014418840408325,-0.1076890230178833,-0.012455165386199951,0.012455165386199951,0.00015513114479759338
7,1,7,-0.0469280444085598,-0.039106130599975586,-0.007821913808584213,0.007821913808584213,6.118233562892039e-05
7,2,8,-0.06753867119550705,-0.025937795639038086,-0.041600875556468964,0.041600875556468964,0.001730632847064817
7,3,9,-0.05194520205259323,-0.03961920738220215,-0.012325994670391083,0.012325994670391083,0.00015193014461450938
7,4,10,-0.054162345826625824,-0.014365553855895996,-0.03979679197072983,0.03979679197072983,0.001583784651161546
7,5,11,-0.03184540942311287,-0.017443835735321045,-0.014401573687791824,0.014401573687791824,0.0002074053246848978
8,1,8,0.0012409156188368797,0.005499720573425293,-0.004258804954588413,0.004258804954588413,1.8137419641226817e-05
8,2,9,-0.010942320339381695,0.004797577857971191,-0.01573989912867546,0.01573989912867546,0.00024774442458087853
8,3,10,0.001775958575308323,-0.011057794094085693,0.012833752669394016,0.012833752669394016,0.00016470520757917804
8,4,11,0.014138026162981987,-0.02773231267929077,0.04187034070491791,0.04187034070491791,0.0017531254307459054
8,5,12,0.030917033553123474,-0.016791462898254395,0.04770849645137787,0.04770849645137787,0.0022761006336511347
9,1,9,0.027566397562623024,0.025420665740966797,0.002145731821656227,0.002145731821656227,4.604165050468151e-06
9,2,10,0.014372393488883972,0.05876612663269043,-0.04439373314380646,0.04439373314380646,0.0019708035424435
