stock,model,mse,mse_std,mae,mae_std,trend_accuracy,trend_accuracy_std,num_runs,source_files
AAPL,GRU,0.0012137318262830377,0.0,0.025509459897875786,0.0,0.5450819672131147,0.0,1,results/AAPL/seed_42/last_model_comparison_20260726_164356.csv
AAPL,TS-JEPA,0.0013628508895635605,0.0,0.027270879596471786,0.0,0.5081967213114754,0.0,1,results/AAPL/seed_42/last_model_comparison_20260726_164356.csv
AAPL,drift,0.0010764438140203438,0.0,0.02290335070733296,0.0,0.4918032786885246,0.0,1,results/AAPL/seed_42/last_model_comparison_20260726_164356.csv
AAPL,mean_context,0.007031710352748632,0.0,0.06921769678592682,0.0,0.0,0.0,1,results/AAPL/seed_42/last_model_comparison_20260726_164356.csv
AAPL,naive_last,0.0010061414213851094,0.0,0.022336257621645927,0.0,0.0,0.0,1,results/AAPL/seed_42/last_model_comparison_20260726_164356.csv
AAPL,previous_patch,0.017073625698685646,0.0,0.09301435202360153,0.0,0.5122950819672131,0.0,1,results/AAPL/seed_42/last_model_comparison_20260726_164356.csv
AMZN,GRU,0.0013686256716027856,0.0,0.027959566563367844,0.0,0.47540983606557374,0.0,1,results/AMZN/seed_42/last_model_comparison_20260726_165210.csv
AMZN,TS-JEPA,0.0018677794141694903,0.0,0.031818728893995285,0.0,0.5327868852459017,0.0,1,results/AMZN/seed_42/last_model_comparison_20260726_165210.csv
AMZN,drift,0.0013853338031760288,0.0,0.027132163312215525,0.0,0.5081967213114754,0.0,1,results/AMZN/seed_42/last_model_comparison_20260726_165210.csv
AMZN,mean_context,0.008421611972153187,0.0,0.07324088364839554,0.0,0.0,0.0,1,results/AMZN/seed_42/last_model_comparison_20260726_165210.csv
AMZN,naive_last,0.0012236298061907291,0.0,0.02581946551799774,0.0,0.0,0.0,1,results/AMZN/seed_42/last_model_comparison_20260726_165210.csv
AMZN,previous_patch,0.022900018841028214,0.0,0.10670944303274155,0.0,0.5409836065573771,0.0,1,results/AMZN/seed_42/last_model_comparison_20260726_165210.csv
AVGO,GRU,0.00428802240639925,0.0,0.047573819756507874,0.0,0.5614754098360656,0.0,1,results/AVGO/seed_42/last_model_comparison_20260726_170027.csv
AVGO,TS-JEPA,0.006979565601795912,0.0,0.059872787445783615,0.0,0.4426229508196721,0.0,1,results/AVGO/seed_42/last_model_comparison_20260726_170027.csv
AVGO,drift,0.004182096325004314,0.0,0.043771367740072356,0.0,0.5163934426229508,0.0,1,results/AVGO/seed_42/last_model_comparison_20260726_170027.csv
AVGO,mean_context,0.02788686193525791,0.0,0.13786786794662476,0.0,0.0,0.0,1,results/AVGO/seed_42/last_model_comparison_20260726_170027.csv
AVGO,naive_last,0.003969406243413687,0.0,0.043561361730098724,0.0,0.0,0.0,1,results/AVGO/seed_42/last_model_comparison_20260726_170027.csv
AVGO,previous_patch,0.07288908213376999,0.0,0.17732377350330353,0.0,0.48360655737704916,0.0,1,results/AVGO/seed_42/last_model_comparison_20260726_170027.csv
GOOG,GRU,0.001617961097508669,0.0,0.0314522460103035,0.0,0.5122950819672131,0.0,1,results/GOOG/seed_42/last_model_comparison_20260726_171253.csv
GOOG,TS-JEPA,0.010265479795634747,0.0,0.07477525621652603,0.0,0.5122950819672131,0.0,1,results/GOOG/seed_42/last_model_comparison_20260726_171253.csv
GOOG,drift,0.001555431995529225,0.0,0.030249973449257388,0.0,0.5122950819672131,0.0,1,results/GOOG/seed_42/last_model_comparison_20260726_171253.csv
GOOG,mean_context,0.02138526178896427,0.0,0.12467949092388153,0.0,0.0,0.0,1,results/GOOG/seed_42/last_model_comparison_20260726_171253.csv
GOOG,naive_last,0.001516180345788598,0.0,0.02975279465317726,0.0,0.0,0.0,1,results/GOOG/seed_42/last_model_comparison_20260726_171253.csv
GOOG,previous_patch,0.04071439430117607,0.0,0.14322292804718018,0.0,0.46311475409836067,0.0,1,results/GOOG/seed_42/last_model_comparison_20260726_171253.csv
