stock,model,mse,mae,trend_accuracy,source_file
NVDA,GRU,0.002227355958893895,0.03775104135274887,0.5,results/last_model_comparison_20260618_175710.csv
NVDA,TS-JEPA,0.0022939881309866905,0.03841929882764816,0.5286885245901639,results/last_model_comparison_20260618_175710.csv
AAPL,TS-JEPA,0.0011084569850936532,0.0237348061054945,0.5,results/last_model_comparison_20260618_175838.csv
AAPL,GRU,0.0011401706142351031,0.02452084608376026,0.5245901639344263,results/last_model_comparison_20260618_175838.csv
MSFT,TS-JEPA,0.0010986654087901115,0.025060433894395828,0.4672131147540984,results/last_model_comparison_20260618_180015.csv
MSFT,GRU,0.0019087250111624599,0.032310668379068375,0.48360655737704916,results/last_model_comparison_20260618_180015.csv
AMZN,TS-JEPA,0.0015701516531407833,0.030100490897893906,0.5286885245901639,results/last_model_comparison_20260618_180144.csv
AMZN,GRU,0.0018973381957039237,0.032516833394765854,0.48360655737704916,results/last_model_comparison_20260618_180144.csv
GOOGL,GRU,0.001622223760932684,0.03149835020303726,0.5,results/last_model_comparison_20260618_180315.csv
GOOGL,TS-JEPA,0.0022073350846767426,0.036428846418857574,0.5040983606557377,results/last_model_comparison_20260618_180315.csv
AVGO,GRU,0.003927175421267748,0.044595349580049515,0.5,results/last_model_comparison_20260618_180453.csv
AVGO,TS-JEPA,0.005205146037042141,0.052926696836948395,0.5286885245901639,results/last_model_comparison_20260618_180453.csv
META,TS-JEPA,0.0016894069267436862,0.03010120615363121,0.5450819672131147,results/last_model_comparison_20260618_180654.csv
META,GRU,0.00188267114572227,0.031506434082984924,0.5204918032786885,results/last_model_comparison_20260618_180654.csv
TSLA,GRU,0.0036909403279423714,0.046170301735401154,0.3975409836065574,results/last_model_comparison_20260618_181050.csv
TSLA,TS-JEPA,0.004392509814351797,0.05099218338727951,0.5081967213114754,results/last_model_comparison_20260618_181050.csv
GOOG,GRU,0.0015756427310407162,0.031337130814790726,0.5245901639344263,results/last_model_comparison_20260618_181207.csv
GOOG,TS-JEPA,0.0032052474562078714,0.04475245997309685,0.5614754098360656,results/last_model_comparison_20260618_181207.csv
WMT,GRU,0.0010680584236979485,0.022281311452388763,0.5081967213114754,results/last_model_comparison_20260618_181325.csv
WMT,TS-JEPA,0.0011471612378954887,0.024127691984176636,0.48770491803278687,results/last_model_comparison_20260618_181325.csv
