forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,locked
relative_return,0,1,30,2025-01-02T00:00:00,0.06852205097675323,True
relative_return,0,2,31,2025-01-03T00:00:00,0.034578122198581696,True
relative_return,0,3,32,2025-01-06T00:00:00,0.06335149705410004,True
relative_return,0,4,33,2025-01-07T00:00:00,0.04606899246573448,True
relative_return,0,5,34,2025-01-08T00:00:00,0.059780821204185486,True
relative_return,1,1,35,2025-01-10T00:00:00,0.09627044200897217,True
relative_return,1,2,36,2025-01-13T00:00:00,0.05327790975570679,True
relative_return,1,3,37,2025-01-14T00:00:00,0.08770101517438889,True
relative_return,1,4,38,2025-01-15T00:00:00,0.072665736079216,True
relative_return,1,5,39,2025-01-16T00:00:00,0.1014491468667984,True
relative_return,2,1,40,2025-01-17T00:00:00,0.06939518451690674,True
relative_return,2,2,41,2025-01-21T00:00:00,0.050935037434101105,True
relative_return,2,3,42,2025-01-22T00:00:00,0.07348282635211945,True
relative_return,2,4,43,2025-01-23T00:00:00,0.07031653076410294,True
relative_return,2,5,44,2025-01-24T00:00:00,0.0834038257598877,True
relative_return,3,1,45,2025-01-27T00:00:00,0.05840271711349487,True
relative_return,3,2,46,2025-01-28T00:00:00,0.02514559030532837,True
relative_return,3,3,47,2025-01-29T00:00:00,0.0030039711855351925,True
relative_return,3,4,48,2025-01-30T00:00:00,0.029632912948727608,True
relative_return,3,5,49,2025-01-31T00:00:00,0.04133277386426926,True
relative_return,4,1,50,2025-02-03T00:00:00,-0.01673721894621849,True
relative_return,4,2,51,2025-02-04T00:00:00,-0.0049756970256567,True
relative_return,4,3,52,2025-02-05T00:00:00,-0.03574693202972412,True
relative_return,4,4,53,2025-02-06T00:00:00,0.033323463052511215,True
relative_return,4,5,54,2025-02-07T00:00:00,0.007222972810268402,True
relative_return,5,1,55,2025-02-10T00:00:00,-0.01116892322897911,True
relative_return,5,2,56,2025-02-11T00:00:00,0.017516473308205605,True
relative_return,5,3,57,2025-02-12T00:00:00,-0.021868884563446045,True
relative_return,5,4,58,2025-02-13T00:00:00,0.06446556001901627,True
relative_return,5,5,59,2025-02-14T00:00:00,0.049443259835243225,True
relative_return,6,1,60,2025-02-18T00:00:00,-0.0034559271298348904,True
relative_return,6,2,61,2025-02-19T00:00:00,0.02117946930229664,True
relative_return,6,3,62,2025-02-20T00:00:00,-0.012398227117955685,True
relative_return,6,4,63,2025-02-21T00:00:00,0.024856220930814743,True
relative_return,6,5,64,2025-02-24T00:00:00,0.042266376316547394,True
relative_return,7,1,65,2025-02-25T00:00:00,-0.013111958280205727,True
relative_return,7,2,66,2025-02-26T00:00:00,-0.005507787689566612,True
relative_return,7,3,67,2025-02-27T00:00:00,-0.04096764698624611,True
relative_return,7,4,68,2025-02-28T00:00:00,0.00909046083688736,True
relative_return,7,5,69,2025-03-03T00:00:00,0.012070692144334316,True
relative_return,8,1,70,2025-03-04T00:00:00,-0.0051306975074112415,True
relative_return,8,2,71,2025-03-05T00:00:00,0.029325924813747406,True
relative_return,8,3,72,2025-03-06T00:00:00,-0.0059003569185733795,True
relative_return,8,4,73,2025-03-07T00:00:00,0.04539826512336731,True
relative_return,8,5,74,2025-03-10T00:00:00,0.02525997906923294,True
relative_return,9,1,75,2025-03-11T00:00:00,0.01264205016195774,True
relative_return,9,2,76,2025-03-12T00:00:00,0.04829540103673935,True
relative_return,9,3,77,2025-03-13T00:00:00,0.028871024027466774,True
relative_return,9,4,78,2025-03-14T00:00:00,0.03830115869641304,True
relative_return,9,5,79,2025-03-17T00:00:00,0.03875797986984253,True
relative_return,10,1,80,2025-03-18T00:00:00,0.013121116906404495,True
relative_return,10,2,81,2025-03-19T00:00:00,0.06356211006641388,True
relative_return,10,3,82,2025-03-20T00:00:00,0.03738994896411896,True
relative_return,10,4,83,2025-03-21T00:00:00,0.03450119495391846,True
relative_return,10,5,84,2025-03-24T00:00:00,0.03336236998438835,True
relative_return,11,1,85,2025-03-25T00:00:00,0.01730535179376602,True
relative_return,11,2,86,2025-03-26T00:00:00,0.06419894844293594,True
relative_return,11,3,87,2025-03-27T00:00:00,0.04327578470110893,True
relative_return,11,4,88,2025-03-28T00:00:00,0.051557376980781555,True
relative_return,11,5,89,2025-03-31T00:00:00,0.056595977395772934,True
relative_return,12,1,90,2025-04-01T00:00:00,0.02690419740974903,True
relative_return,12,2,91,2025-04-02T00:00:00,0.036661915481090546,True
relative_return,12,3,92,2025-04-03T00:00:00,0.03280026838183403,True
relative_return,12,4,93,2025-04-04T00:00:00,0.017268801108002663,True
relative_return,12,5,94,2025-04-07T00:00:00,0.0487518385052681,True
relative_return,13,1,95,2025-04-08T00:00:00,0.03170173987746239,True
relative_return,13,2,96,2025-04-09T00:00:00,0.0527011975646019,True
relative_return,13,3,97,2025-04-10T00:00:00,0.04061925411224365,True
relative_return,13,4,98,2025-04-11T00:00:00,0.009423892013728619,True
relative_return,13,5,99,2025-04-14T00:00:00,0.0534285306930542,True
relative_return,14,1,100,2025-04-15T00:00:00,0.03189791738986969,True
relative_return,14,2,101,2025-04-16T00:00:00,0.04711785167455673,True
relative_return,14,3,102,2025-04-17T00:00:00,0.03728870302438736,True
relative_return,14,4,103,2025-04-21T00:00:00,0.028461972251534462,True
relative_return,14,5,104,2025-04-22T00:00:00,0.020000945776700974,True
relative_return,15,1,105,2025-04-23T00:00:00,0.020011894404888153,True
