forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,locked
relative_return,0,1,30,2025-01-02T00:00:00,0.04324396327137947,True
relative_return,0,2,31,2025-01-03T00:00:00,0.014928925782442093,True
relative_return,0,3,32,2025-01-06T00:00:00,-0.013884004205465317,True
relative_return,0,4,33,2025-01-07T00:00:00,0.005026784725487232,True
relative_return,0,5,34,2025-01-08T00:00:00,0.021973581984639168,True
relative_return,1,1,35,2025-01-10T00:00:00,0.03843662142753601,True
relative_return,1,2,36,2025-01-13T00:00:00,0.011953246779739857,True
relative_return,1,3,37,2025-01-14T00:00:00,0.013393215835094452,True
relative_return,1,4,38,2025-01-15T00:00:00,0.03013700619339943,True
relative_return,1,5,39,2025-01-16T00:00:00,0.0552251935005188,True
relative_return,2,1,40,2025-01-17T00:00:00,0.035702724009752274,True
relative_return,2,2,41,2025-01-21T00:00:00,0.031082239001989365,True
relative_return,2,3,42,2025-01-22T00:00:00,0.018987635150551796,True
relative_return,2,4,43,2025-01-23T00:00:00,0.03508688509464264,True
relative_return,2,5,44,2025-01-24T00:00:00,0.02927941083908081,True
relative_return,3,1,45,2025-01-27T00:00:00,0.04059113189578056,True
relative_return,3,2,46,2025-01-28T00:00:00,0.031926825642585754,True
relative_return,3,3,47,2025-01-29T00:00:00,0.03271137923002243,True
relative_return,3,4,48,2025-01-30T00:00:00,0.03295764699578285,True
relative_return,3,5,49,2025-01-31T00:00:00,0.05260160565376282,True
relative_return,4,1,50,2025-02-03T00:00:00,0.04990362748503685,True
relative_return,4,2,51,2025-02-04T00:00:00,0.03043091855943203,True
relative_return,4,3,52,2025-02-05T00:00:00,0.009222464635968208,True
relative_return,4,4,53,2025-02-06T00:00:00,0.0440838560461998,True
relative_return,4,5,54,2025-02-07T00:00:00,0.03539556264877319,True
relative_return,5,1,55,2025-02-10T00:00:00,0.04222872480750084,True
relative_return,5,2,56,2025-02-11T00:00:00,0.05318514257669449,True
relative_return,5,3,57,2025-02-12T00:00:00,0.031882837414741516,True
relative_return,5,4,58,2025-02-13T00:00:00,0.04014622047543526,True
relative_return,5,5,59,2025-02-14T00:00:00,0.05514020845293999,True
relative_return,6,1,60,2025-02-18T00:00:00,0.03453455865383148,True
relative_return,6,2,61,2025-02-19T00:00:00,0.018001442775130272,True
relative_return,6,3,62,2025-02-20T00:00:00,0.005565466359257698,True
relative_return,6,4,63,2025-02-21T00:00:00,0.018382051959633827,True
relative_return,6,5,64,2025-02-24T00:00:00,0.04416399449110031,True
relative_return,7,1,65,2025-02-25T00:00:00,0.043496642261743546,True
relative_return,7,2,66,2025-02-26T00:00:00,0.030004117637872696,True
relative_return,7,3,67,2025-02-27T00:00:00,0.01688859798014164,True
relative_return,7,4,68,2025-02-28T00:00:00,0.03737235441803932,True
relative_return,7,5,69,2025-03-03T00:00:00,0.04687875509262085,True
relative_return,8,1,70,2025-03-04T00:00:00,0.04088148474693298,True
relative_return,8,2,71,2025-03-05T00:00:00,0.032993167638778687,True
relative_return,8,3,72,2025-03-06T00:00:00,0.014875125139951706,True
relative_return,8,4,73,2025-03-07T00:00:00,0.0354488305747509,True
relative_return,8,5,74,2025-03-10T00:00:00,0.01820131205022335,True
relative_return,9,1,75,2025-03-11T00:00:00,0.045480355620384216,True
relative_return,9,2,76,2025-03-12T00:00:00,0.009405307471752167,True
relative_return,9,3,77,2025-03-13T00:00:00,-0.005657725036144257,True
relative_return,9,4,78,2025-03-14T00:00:00,0.01583719253540039,True
relative_return,9,5,79,2025-03-17T00:00:00,0.02929644100368023,True
relative_return,10,1,80,2025-03-18T00:00:00,0.05308891460299492,True
relative_return,10,2,81,2025-03-19T00:00:00,0.023209692910313606,True
relative_return,10,3,82,2025-03-20T00:00:00,0.022868191823363304,True
relative_return,10,4,83,2025-03-21T00:00:00,0.04580673202872276,True
relative_return,10,5,84,2025-03-24T00:00:00,0.05890433117747307,True
relative_return,11,1,85,2025-03-25T00:00:00,0.03663574904203415,True
relative_return,11,2,86,2025-03-26T00:00:00,0.022858187556266785,True
relative_return,11,3,87,2025-03-27T00:00:00,0.020661134272813797,True
relative_return,11,4,88,2025-03-28T00:00:00,0.04293082654476166,True
relative_return,11,5,89,2025-03-31T00:00:00,0.04494338482618332,True
relative_return,12,1,90,2025-04-01T00:00:00,0.036772649735212326,True
relative_return,12,2,91,2025-04-02T00:00:00,0.03209306299686432,True
relative_return,12,3,92,2025-04-03T00:00:00,0.015986524522304535,True
relative_return,12,4,93,2025-04-04T00:00:00,0.027503687888383865,True
relative_return,12,5,94,2025-04-07T00:00:00,0.005351445637643337,True
