dataset,method,reference,seed,wins,ties,losses,num_samples,mean_mse_difference
MNIST_ROWS,JEPA-MAE,JEPA-only,7,123,0,5,128,-0.009585374259652937
MNIST_ROWS,JEPA-MAE,MAE-only,7,69,0,59,128,-4.218650787824855e-05
MNIST_ROWS,JEPA-MAE,GRU,7,128,0,0,128,-0.01710529513336803
MNIST_ROWS,JEPA-MAE,Naive-last,7,128,0,0,128,-0.04876601036347175
MNIST_ROWS,JEPA-MAE,Drift,7,128,0,0,128,-0.06556135952445447
MNIST_ROWS,JEPA-MAE,Mean-context,7,128,0,0,128,-0.06557774626617456
SIN_COS,JEPA-MAE,JEPA-only,7,38,0,38,76,-9.567063837070851e-06
SIN_COS,JEPA-MAE,MAE-only,7,29,0,47,76,5.806962282089961e-06
SIN_COS,JEPA-MAE,GRU,7,3,0,73,76,6.623829913959088e-05
SIN_COS,JEPA-MAE,Naive-last,7,76,0,0,76,-0.007953058623454452
SIN_COS,JEPA-MAE,Drift,7,76,0,0,76,-0.008512081217202868
SIN_COS,JEPA-MAE,Mean-context,7,76,0,0,76,-0.005425784113174188
