stock,seed,method,strategy,split,rmse,direction_accuracy,forecast_horizon,checkpoint_path,checkpoint_selection,encoder_weight_source,fine_tune_encoder,trend_weight,trend_loss_temperature,trend_loss_threshold,trend_selection_weight,normalization,feature_transform,forecast_target,target_definition,metric_definition,test_start,test_end,test_signature,experiment_id,config_signature,timestamp,git_commit_sha,original_source_file,score_source_file
AAPL,42,Shared-target JEPA--MAE,random,test,0.021440241076143427,0.5333333333333333,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_b13fb8f39dbd_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-01-01,2026-01-01,d975977f71e8dbd3aa79,ea1fcd0f4ea05262,ea1fcd0f4ea05262,20260902_071934,3ff0ad5e2f0871b0066fc164a44dc14930978329,results/01_preprocessing_train_zscore/random/AAPL/seed_42/last_model_comparison_20260902_071934.csv,results/01_preprocessing_train_zscore/random/AAPL/seed_42/last_scores_after_observation_20260902_071934.csv
AAPL,42,GRU,random,test,0.01999504933907508,0.6,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_b13fb8f39dbd_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-01-01,2026-01-01,d975977f71e8dbd3aa79,ea1fcd0f4ea05262,ea1fcd0f4ea05262,20260902_071934,3ff0ad5e2f0871b0066fc164a44dc14930978329,results/01_preprocessing_train_zscore/random/AAPL/seed_42/last_model_comparison_20260902_071934.csv,results/01_preprocessing_train_zscore/random/AAPL/seed_42/last_gru_scores_after_observation_20260902_071934.csv
AAPL,42,Naive-last,random,test,0.020592269525549253,0.016666666666666666,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_b13fb8f39dbd_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-01-01,2026-01-01,d975977f71e8dbd3aa79,ea1fcd0f4ea05262,ea1fcd0f4ea05262,20260902_071934,3ff0ad5e2f0871b0066fc164a44dc14930978329,results/01_preprocessing_train_zscore/random/AAPL/seed_42/last_model_comparison_20260902_071934.csv,results/01_preprocessing_train_zscore/random/AAPL/seed_42/last_baseline_scores_after_observation_20260902_071934.csv
AAPL,42,Drift,random,test,0.02077540599832511,0.55,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_b13fb8f39dbd_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-01-01,2026-01-01,d975977f71e8dbd3aa79,ea1fcd0f4ea05262,ea1fcd0f4ea05262,20260902_071934,3ff0ad5e2f0871b0066fc164a44dc14930978329,results/01_preprocessing_train_zscore/random/AAPL/seed_42/last_model_comparison_20260902_071934.csv,results/01_preprocessing_train_zscore/random/AAPL/seed_42/last_baseline_scores_after_observation_20260902_071934.csv
AAPL,42,Mean-context,random,test,0.02075290563884098,0.55,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_b13fb8f39dbd_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-01-01,2026-01-01,d975977f71e8dbd3aa79,ea1fcd0f4ea05262,ea1fcd0f4ea05262,20260902_071934,3ff0ad5e2f0871b0066fc164a44dc14930978329,results/01_preprocessing_train_zscore/random/AAPL/seed_42/last_model_comparison_20260902_071934.csv,results/01_preprocessing_train_zscore/random/AAPL/seed_42/last_baseline_scores_after_observation_20260902_071934.csv
AAPL,44,Shared-target JEPA--MAE,random,test,0.02193194614693943,0.5666666666666667,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_1780ff5bf733_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-01-01,2026-01-01,d975977f71e8dbd3aa79,ea1fcd0f4ea05262,ea1fcd0f4ea05262,20260902_072337,3ff0ad5e2f0871b0066fc164a44dc14930978329,results/01_preprocessing_train_zscore/random/AAPL/seed_44/last_model_comparison_20260902_072337.csv,results/01_preprocessing_train_zscore/random/AAPL/seed_44/last_scores_after_observation_20260902_072337.csv
AAPL,44,GRU,random,test,0.019619429036186038,0.5833333333333334,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_1780ff5bf733_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-01-01,2026-01-01,d975977f71e8dbd3aa79,ea1fcd0f4ea05262,ea1fcd0f4ea05262,20260902_072337,3ff0ad5e2f0871b0066fc164a44dc14930978329,results/01_preprocessing_train_zscore/random/AAPL/seed_44/last_model_comparison_20260902_072337.csv,results/01_preprocessing_train_zscore/random/AAPL/seed_44/last_gru_scores_after_observation_20260902_072337.csv
AAPL,44,Naive-last,random,test,0.020592269525549253,0.016666666666666666,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_1780ff5bf733_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-01-01,2026-01-01,d975977f71e8dbd3aa79,ea1fcd0f4ea05262,ea1fcd0f4ea05262,20260902_072337,3ff0ad5e2f0871b0066fc164a44dc14930978329,results/01_preprocessing_train_zscore/random/AAPL/seed_44/last_model_comparison_20260902_072337.csv,results/01_preprocessing_train_zscore/random/AAPL/seed_44/last_baseline_scores_after_observation_20260902_072337.csv
AAPL,44,Drift,random,test,0.02077540599832511,0.55,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_1780ff5bf733_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-01-01,2026-01-01,d975977f71e8dbd3aa79,ea1fcd0f4ea05262,ea1fcd0f4ea05262,20260902_072337,3ff0ad5e2f0871b0066fc164a44dc14930978329,results/01_preprocessing_train_zscore/random/AAPL/seed_44/last_model_comparison_20260902_072337.csv,results/01_preprocessing_train_zscore/random/AAPL/seed_44/last_baseline_scores_after_observation_20260902_072337.csv
AAPL,44,Mean-context,random,test,0.02075290563884098,0.55,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_1.0_lmae_0.5_cfg_1780ff5bf733_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,train_zscore,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2025-01-01,2026-01-01,d975977f71e8dbd3aa79,ea1fcd0f4ea05262,ea1fcd0f4ea05262,20260902_072337,3ff0ad5e2f0871b0066fc164a44dc14930978329,results/01_preprocessing_train_zscore/random/AAPL/seed_44/last_model_comparison_20260902_072337.csv,results/01_preprocessing_train_zscore/random/AAPL/seed_44/last_baseline_scores_after_observation_20260902_072337.csv
