stock,seed,model,strategy,test_signature,model_rmse,naive_rmse,delta_rmse,relative_rmse_improvement_pct,model_source_file,naive_source_file
NVDA,42,Shared-target JEPA--MAE,random,05a2b46ada5c92181b2b,0.05556674701516972,0.04985049112890518,0.005716255886264537,-11.46679953760784,results/01_preprocessing_train_zscore/random/NVDA/seed_42/last_model_comparison_20260902_071533.csv,results/01_preprocessing_train_zscore/random/NVDA/seed_42/last_model_comparison_20260902_071533.csv
NVDA,44,Shared-target JEPA--MAE,random,05a2b46ada5c92181b2b,0.04978984295785186,0.04985049112890518,-6.0648171053320765e-05,0.1216601274729562,results/01_preprocessing_train_zscore/random/NVDA/seed_44/last_model_comparison_20260902_071533.csv,results/01_preprocessing_train_zscore/random/NVDA/seed_44/last_model_comparison_20260902_071533.csv
NVDA,46,Shared-target JEPA--MAE,random,05a2b46ada5c92181b2b,0.050642931770053856,0.04985049112890518,0.0007924406411486742,-1.5896345717027198,results/01_preprocessing_train_zscore/random/NVDA/seed_46/last_model_comparison_20260902_071935.csv,results/01_preprocessing_train_zscore/random/NVDA/seed_46/last_model_comparison_20260902_071935.csv
AAPL,42,Shared-target JEPA--MAE,random,d975977f71e8dbd3aa79,0.021440241076143427,0.020592269525549253,0.0008479715505941739,-4.117912061815615,results/01_preprocessing_train_zscore/random/AAPL/seed_42/last_model_comparison_20260902_071934.csv,results/01_preprocessing_train_zscore/random/AAPL/seed_42/last_model_comparison_20260902_071934.csv
AAPL,44,Shared-target JEPA--MAE,random,d975977f71e8dbd3aa79,0.02193194614693943,0.020592269525549253,0.0013396766213901769,-6.505725945981876,results/01_preprocessing_train_zscore/random/AAPL/seed_44/last_model_comparison_20260902_072337.csv,results/01_preprocessing_train_zscore/random/AAPL/seed_44/last_model_comparison_20260902_072337.csv
AAPL,46,Shared-target JEPA--MAE,random,d975977f71e8dbd3aa79,0.020037340199316373,0.020592269525549253,-0.0005549293262328801,2.6948429630078796,results/01_preprocessing_train_zscore/random/AAPL/seed_46/last_model_comparison_20260902_072337.csv,results/01_preprocessing_train_zscore/random/AAPL/seed_46/last_model_comparison_20260902_072337.csv
AVGO,42,Shared-target JEPA--MAE,random,29a59d8027ee8e678c27,0.0810479155949449,0.08331296449605514,-0.0022650489011102476,2.71872320809986,results/01_preprocessing_train_zscore/random/AVGO/seed_42/last_model_comparison_20260902_072738.csv,results/01_preprocessing_train_zscore/random/AVGO/seed_42/last_model_comparison_20260902_072738.csv
AVGO,44,Shared-target JEPA--MAE,random,29a59d8027ee8e678c27,0.0790497350307829,0.08331296449605514,-0.004263229465272245,5.1171261172372615,results/01_preprocessing_train_zscore/random/AVGO/seed_44/last_model_comparison_20260902_072740.csv,results/01_preprocessing_train_zscore/random/AVGO/seed_44/last_model_comparison_20260902_072740.csv
AVGO,46,Shared-target JEPA--MAE,random,29a59d8027ee8e678c27,0.08556376951861655,0.08331296449605514,0.0022508050225614057,-2.7016263749298957,results/01_preprocessing_train_zscore/random/AVGO/seed_46/last_model_comparison_20260902_073140.csv,results/01_preprocessing_train_zscore/random/AVGO/seed_46/last_model_comparison_20260902_073140.csv
TSLA,42,Shared-target JEPA--MAE,random,a2c48478bc17790377a7,0.10315023064900478,0.10982127077521016,-0.0066710401262053826,6.07445176978523,results/01_preprocessing_train_zscore/random/TSLA/seed_42/last_model_comparison_20260902_073142.csv,results/01_preprocessing_train_zscore/random/TSLA/seed_42/last_model_comparison_20260902_073142.csv
TSLA,44,Shared-target JEPA--MAE,random,a2c48478bc17790377a7,0.10701853056110905,0.10982127077521016,-0.00280274021410111,2.5520923171959593,results/01_preprocessing_train_zscore/random/TSLA/seed_44/last_model_comparison_20260902_073542.csv,results/01_preprocessing_train_zscore/random/TSLA/seed_44/last_model_comparison_20260902_073542.csv
TSLA,46,Shared-target JEPA--MAE,random,a2c48478bc17790377a7,0.10093783352749963,0.10982127077521016,-0.008883437247710527,8.088995132731405,results/01_preprocessing_train_zscore/random/TSLA/seed_46/last_model_comparison_20260902_073543.csv,results/01_preprocessing_train_zscore/random/TSLA/seed_46/last_model_comparison_20260902_073543.csv
WMT,42,Shared-target JEPA--MAE,random,2e3e5dde5fb1471b5fbc,0.02965456803075633,0.016129741750738388,0.013524826280017943,-83.85023448623288,results/01_preprocessing_train_zscore/random/WMT/seed_42/last_model_comparison_20260902_073943.csv,results/01_preprocessing_train_zscore/random/WMT/seed_42/last_model_comparison_20260902_073943.csv
WMT,44,Shared-target JEPA--MAE,random,2e3e5dde5fb1471b5fbc,0.021842983437709598,0.016129741750738388,0.00571324168697121,-35.42054036116027,results/01_preprocessing_train_zscore/random/WMT/seed_44/last_model_comparison_20260902_073945.csv,results/01_preprocessing_train_zscore/random/WMT/seed_44/last_model_comparison_20260902_073945.csv
WMT,46,Shared-target JEPA--MAE,random,2e3e5dde5fb1471b5fbc,0.021293956549619256,0.016129741750738388,0.005164214798880868,-32.01672338395908,results/01_preprocessing_train_zscore/random/WMT/seed_46/last_model_comparison_20260902_074303.csv,results/01_preprocessing_train_zscore/random/WMT/seed_46/last_model_comparison_20260902_074303.csv
NVDA,42,GRU,random,05a2b46ada5c92181b2b,0.0523147170122724,0.04985049112890518,0.00246422588336722,-4.9432329101736165,results/01_preprocessing_train_zscore/random/NVDA/seed_42/last_model_comparison_20260902_071533.csv,results/01_preprocessing_train_zscore/random/NVDA/seed_42/last_model_comparison_20260902_071533.csv
NVDA,44,GRU,random,05a2b46ada5c92181b2b,0.04906938617192028,0.04985049112890518,-0.0007811049569848988,1.566895208645166,results/01_preprocessing_train_zscore/random/NVDA/seed_44/last_model_comparison_20260902_071533.csv,results/01_preprocessing_train_zscore/random/NVDA/seed_44/last_model_comparison_20260902_071533.csv
NVDA,46,GRU,random,05a2b46ada5c92181b2b,0.0487202244018877,0.04985049112890518,-0.0011302667270174788,2.267313122542353,results/01_preprocessing_train_zscore/random/NVDA/seed_46/last_model_comparison_20260902_071935.csv,results/01_preprocessing_train_zscore/random/NVDA/seed_46/last_model_comparison_20260902_071935.csv
AAPL,42,GRU,random,d975977f71e8dbd3aa79,0.01999504933907508,0.020592269525549253,-0.0005972201864741719,2.9002154703404037,results/01_preprocessing_train_zscore/random/AAPL/seed_42/last_model_comparison_20260902_071934.csv,results/01_preprocessing_train_zscore/random/AAPL/seed_42/last_model_comparison_20260902_071934.csv
AAPL,44,GRU,random,d975977f71e8dbd3aa79,0.019619429036186038,0.020592269525549253,-0.0009728404893632157,4.7242995151952165,results/01_preprocessing_train_zscore/random/AAPL/seed_44/last_model_comparison_20260902_072337.csv,results/01_preprocessing_train_zscore/random/AAPL/seed_44/last_model_comparison_20260902_072337.csv
