stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0009694567864140316,4.707867606390867
AAPL,Shared-target JEPA--MAE,3,0.0005442396152504902,-2.642931681596537
AVGO,GRU,3,-0.0016917815036161243,2.03063414421681
AVGO,Shared-target JEPA--MAE,3,-0.0014258244479403621,1.711407650135742
NVDA,GRU,3,0.00018428473312161417,-0.3696748596620327
NVDA,Shared-target JEPA--MAE,3,0.0021493494521199635,-4.311591327279202
TSLA,GRU,3,-0.01027693137229376,9.357869654713156
TSLA,Shared-target JEPA--MAE,3,-0.006119072529339006,5.571846406570866
WMT,GRU,3,-0.0010234513337649114,6.345119156777943
WMT,Shared-target JEPA--MAE,3,0.008134094255290008,-50.42916607711741
