method,horizon,rmse,rmse_ci_low,rmse_ci_high,direction_accuracy,direction_ci_low,direction_ci_high,n_stocks,n_runs
Drift,1,0.021509532477634312,0.011367903340300092,0.03411694483305122,0.36666666666666664,0.26666666666666666,0.4666666666666666,5,15
Drift,2,0.04566534501972035,0.019246526282999964,0.07208416375644074,0.5833333333333334,0.5333333333333334,0.6333333333333333,5,15
Drift,3,0.06299511465684769,0.0254431960461174,0.100547033267578,0.6,0.4666666666666667,0.7333333333333333,5,15
Drift,4,0.0690493131244092,0.03071268105492343,0.10743095311024745,0.5833333333333334,0.5,0.65,5,15
Drift,5,0.062473575690385495,0.03300742521075954,0.09193972617001145,0.55,0.4333333333333334,0.7000000000000001,5,15
GRU,1,0.02123490606446238,0.01061127378922876,0.034721148517737985,0.5888888888888888,0.5055555555555556,0.6777777777777778,5,15
GRU,2,0.04337612649432641,0.01646612504230314,0.07116488764055541,0.5777777777777777,0.5222222222222221,0.6555555555555556,5,15
GRU,3,0.05950421332983217,0.023142225294249058,0.09586620136541527,0.5333333333333333,0.4444444444444445,0.638888888888889,5,15
GRU,4,0.06407528713003346,0.026519786509133298,0.10393472797548058,0.5666666666666667,0.4833333333333333,0.6666666666666667,5,15
GRU,5,0.05720634155530295,0.028513733675626197,0.08773130235563657,0.5388888888888889,0.4166666666666667,0.65,5,15
Mean-context,1,0.021652447476856136,0.011457004374941243,0.0342865792661904,0.35,0.2833333333333333,0.4333333333333333,5,15
Mean-context,2,0.045753984671429423,0.019375660571822634,0.07213230877103621,0.6,0.55,0.65,5,15
Mean-context,3,0.0628527377973054,0.02562637805660823,0.10007909753800255,0.65,0.5,0.8,5,15
Mean-context,4,0.06875377727027623,0.030983512893823895,0.10652404164672857,0.5333333333333333,0.4666666666666667,0.6166666666666666,5,15
Mean-context,5,0.0619923759008685,0.03306613827634548,0.09091861352539155,0.5666666666666667,0.4666666666666667,0.7000000000000001,5,15
Naive-last,1,0.021050889876995656,0.011070693868053302,0.03396781900605175,0.0,0.0,0.0,5,15
Naive-last,2,0.045212530139866904,0.01842661828038559,0.07199844199934821,0.016666666666666666,0.0,0.05,5,15
Naive-last,3,0.06312561672548148,0.024466457856959133,0.10178477559400383,0.0,0.0,0.0,5,15
Naive-last,4,0.06953446161509524,0.029445807139052992,0.11170083549500154,0.0,0.0,0.0,5,15
Naive-last,5,0.06430561189108994,0.03306518760797854,0.09633557223971004,0.016666666666666666,0.0,0.05,5,15
Shared-target JEPA--MAE,1,0.024399904497336183,0.011854541055341243,0.03762177080409221,0.5333333333333334,0.4333333333333333,0.6055555555555556,5,15
Shared-target JEPA--MAE,2,0.04373333506967117,0.01914946834055681,0.06996805275903109,0.5833333333333334,0.45,0.6777777777777778,5,15
Shared-target JEPA--MAE,3,0.05875556824089777,0.02414506153850892,0.09336607494328662,0.5611111111111111,0.47777777777777786,0.6388888888888888,5,15
Shared-target JEPA--MAE,4,0.06438139039138287,0.02879239321200532,0.09997038757076038,0.48888888888888893,0.4611111111111111,0.5222222222222223,5,15
Shared-target JEPA--MAE,5,0.05965386795038262,0.031823219543593254,0.087484516357172,0.5722222222222222,0.5055555555555555,0.6444444444444446,5,15
