method,horizon,rmse,rmse_ci_low,rmse_ci_high,direction_accuracy,direction_ci_low,direction_ci_high,n_stocks,n_runs
Drift,1,0.021509532477634312,0.011367903340300092,0.03411694483305122,0.36666666666666664,0.26666666666666666,0.4666666666666666,5,15
Drift,2,0.04566534501972035,0.019246526282999964,0.07208416375644074,0.5833333333333334,0.5333333333333334,0.6333333333333333,5,15
Drift,3,0.06299511465684769,0.0254431960461174,0.100547033267578,0.6,0.4666666666666667,0.7333333333333333,5,15
Drift,4,0.0690493131244092,0.03071268105492343,0.10743095311024745,0.5833333333333334,0.5,0.65,5,15
Drift,5,0.062473575690385495,0.03300742521075954,0.09193972617001145,0.55,0.4333333333333334,0.7000000000000001,5,15
GRU,1,0.02392807425227315,0.01132235202571942,0.03688737148331129,0.46111111111111114,0.3388888888888889,0.5944444444444444,5,15
GRU,2,0.04238547373156287,0.01701505019685379,0.0688139611550903,0.5611111111111111,0.48888888888888893,0.6444444444444445,5,15
GRU,3,0.057468554105063886,0.021973182081551065,0.09296392612857671,0.5388888888888889,0.45555555555555555,0.6222222222222221,5,15
GRU,4,0.060465077999855475,0.025158786274178495,0.10194783312663966,0.538888888888889,0.47777777777777775,0.611111111111111,5,15
GRU,5,0.056672086638632144,0.028384585649210446,0.08860825454275932,0.6222222222222222,0.5277777777777778,0.7166666666666667,5,15
Mean-context,1,0.021652447476856136,0.011457004374941243,0.0342865792661904,0.35,0.2833333333333333,0.4333333333333333,5,15
Mean-context,2,0.045753984671429423,0.019375660571822634,0.07213230877103621,0.6,0.55,0.65,5,15
Mean-context,3,0.0628527377973054,0.02562637805660823,0.10007909753800255,0.65,0.5,0.8,5,15
Mean-context,4,0.06875377727027623,0.030983512893823895,0.10652404164672857,0.5333333333333333,0.4666666666666667,0.6166666666666666,5,15
Mean-context,5,0.0619923759008685,0.03306613827634548,0.09091861352539155,0.5666666666666667,0.4666666666666667,0.7000000000000001,5,15
Naive-last,1,0.021050889876995656,0.011070693868053302,0.03396781900605175,0.0,0.0,0.0,5,15
Naive-last,2,0.045212530139866904,0.01842661828038559,0.07199844199934821,0.016666666666666666,0.0,0.05,5,15
Naive-last,3,0.06312561672548148,0.024466457856959133,0.10178477559400383,0.0,0.0,0.0,5,15
Naive-last,4,0.06953446161509524,0.029445807139052992,0.11170083549500154,0.0,0.0,0.0,5,15
Naive-last,5,0.06430561189108994,0.03306518760797854,0.09633557223971004,0.016666666666666666,0.0,0.05,5,15
Shared-target JEPA--MAE,1,0.024366886860941468,0.012782488146550178,0.03777505898688278,0.5166666666666667,0.3833333333333333,0.6277777777777779,5,15
Shared-target JEPA--MAE,2,0.04377193199834231,0.02014704878289224,0.06966801578860345,0.5,0.4111111111111111,0.5555555555555556,5,15
Shared-target JEPA--MAE,3,0.05492070004630005,0.02309747257891414,0.08674392751368595,0.5777777777777777,0.5055555555555555,0.6499999999999999,5,15
Shared-target JEPA--MAE,4,0.05878624107348253,0.027889611606946408,0.09242441725803771,0.48888888888888893,0.37777777777777777,0.6055555555555556,5,15
Shared-target JEPA--MAE,5,0.05440767227736041,0.029232056636377436,0.07899106136070044,0.5333333333333334,0.47777777777777775,0.5999999999999999,5,15
