stock,method,rmse_mean,rmse_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
AAPL,Shared-target JEPA--MAE,0.02140491279364197,0.001010320225484963,0.5555555555555556,0.06309898162000306,3,3
AAPL,GRU,0.01798842440429081,0.002026114501509896,0.6,0.016666666666666635,3,3
AAPL,Naive-last,0.020592269525549253,0.0,0.016666666666666666,0.0,3,3
AAPL,Drift,0.020775406624145884,0.0,0.55,0.0,3,3
AAPL,Mean-context,0.02075290612088501,0.0,0.55,0.0,3,3
AVGO,Shared-target JEPA--MAE,0.06920143917596795,0.0030665029901164615,0.47222222222222227,0.019245008972987514,3,3
AVGO,GRU,0.07099805061754867,0.001499788266200459,0.4444444444444445,0.050917507721731536,3,3
AVGO,Naive-last,0.08331296449605514,0.0,0.0,0.0,3,3
AVGO,Drift,0.08194646776108479,0.0,0.45,0.0,3,3
AVGO,Mean-context,0.08162662913421737,0.0,0.5,0.0,3,3
NVDA,Shared-target JEPA--MAE,0.04485859199425421,0.0017558430548485898,0.5611111111111111,0.025458753860865768,3,3
NVDA,GRU,0.042214462077523184,0.001800571845334734,0.6444444444444445,0.11344765475923405,3,3
NVDA,Naive-last,0.04985049112890518,0.0,0.0,0.0,3,3
NVDA,Drift,0.053211856113058724,0.0,0.4666666666666666,0.0,3,3
NVDA,Mean-context,0.05344025287421058,0.0,0.4666666666666666,0.0,3,3
TSLA,Shared-target JEPA--MAE,0.0952704208958421,0.006740577660945501,0.5611111111111111,0.07515416254704824,3,3
TSLA,GRU,0.10597935778479776,0.0008609496257485446,0.43888888888888894,0.0693888666488711,3,3
TSLA,Naive-last,0.10982127077521016,0.0,0.0,0.0,3,3
TSLA,Drift,0.10552143383187788,0.0,0.6,0.0,3,3
TSLA,Mean-context,0.1044137172386319,0.0,0.5666666666666667,0.0,3,3
WMT,Shared-target JEPA--MAE,0.015497843115426256,0.0017009377437314753,0.46666666666666673,0.07637626158259735,3,3
WMT,GRU,0.015243088239165476,0.00013577330943017723,0.5944444444444444,0.06735753140545632,3,3
WMT,Naive-last,0.016129741750738388,0.0,0.016666666666666666,0.0,3,3
WMT,Drift,0.01582508413647733,0.0,0.6166666666666667,0.0,3,3
WMT,Mean-context,0.016087008471433163,0.0,0.6166666666666667,0.0,3,3
