stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0009232353964887287,4.154929443084271
AAPL,Local-MAE/Long-JEPA,3,0.001025847651125799,-4.616725729962261
AVGO,GRU,3,-0.004392719953068308,6.103840010580819
AVGO,Local-MAE/Long-JEPA,3,-0.006930359554291073,9.629980146047133
NVDA,GRU,3,-0.00249626974923235,4.333949657621147
NVDA,Local-MAE/Long-JEPA,3,-0.0005652898375966159,0.9814394854009548
TSLA,GRU,3,-0.0021791649838766164,2.4866272039483106
TSLA,Local-MAE/Long-JEPA,3,-0.008987933280069365,10.25605659362884
WMT,GRU,3,-0.001799099518970142,9.84865498010457
WMT,Local-MAE/Long-JEPA,3,-0.001468975372923369,8.041484903778025
