stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.000830137178506038,3.7359501356767457
AAPL,Local-MAE/Long-JEPA,3,0.0002259645827291159,-1.016931219758446
AVGO,GRU,3,-0.00603604929707198,8.387304357877706
AVGO,Local-MAE/Long-JEPA,3,-0.004356561694049905,6.053596828573436
NVDA,GRU,3,-0.0010990601665308273,1.9081557327312553
NVDA,Local-MAE/Long-JEPA,3,-0.0021873289651531957,3.797575811887206
TSLA,GRU,3,-0.0033214891018900536,3.7901238407772104
TSLA,Local-MAE/Long-JEPA,3,-0.004120326108093412,4.701670165100109
WMT,GRU,3,-0.001478146312043186,8.09168858305327
WMT,Local-MAE/Long-JEPA,3,-0.00048539408210590437,2.657150865551945
