stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0006017017371952697,2.707899061643161
AAPL,Local-MAE/Long-JEPA,3,0.0017717060294423828,-7.973387474328661
AVGO,GRU,3,-0.0032471250603660212,4.511995318294212
AVGO,Local-MAE/Long-JEPA,3,-0.008889902302426346,12.352834221949927
NVDA,GRU,3,-0.00238489488553556,4.140583915583557
NVDA,Local-MAE/Long-JEPA,3,-0.0005027288622214595,0.8728229715442356
TSLA,GRU,3,-0.00153637288550168,1.753142437935461
TSLA,Local-MAE/Long-JEPA,3,-0.0018651667244938691,2.1283263779206445
WMT,GRU,3,-0.0015972813777048202,8.74385937480868
WMT,Local-MAE/Long-JEPA,3,-0.0004942272718191492,2.7055056324463056
