stock,method,relative_rmse_improvement_pct,n_paired_seeds
AAPL,Drift,-7.951234207228329,3
AAPL,GRU,2.707899061643161,3
AAPL,Local-MAE/Long-JEPA,-7.973387474328661,3
AAPL,Mean-context,-9.653890762773303,3
AVGO,Drift,-2.468724130627052,3
AVGO,GRU,4.511995318294212,3
AVGO,Local-MAE/Long-JEPA,12.352834221949927,3
AVGO,Mean-context,-2.4057471508231867,3
NVDA,Drift,-7.9520274611858275,3
NVDA,GRU,4.140583915583557,3
NVDA,Local-MAE/Long-JEPA,0.8728229715442356,3
NVDA,Mean-context,-7.660951135197672,3
TSLA,Drift,-4.188723814719798,3
TSLA,GRU,1.753142437935461,3
TSLA,Local-MAE/Long-JEPA,2.1283263779206445,3
TSLA,Mean-context,-5.315338708640525,3
WMT,Drift,-0.8274148338555994,3
WMT,GRU,8.74385937480868,3
WMT,Local-MAE/Long-JEPA,2.7055056324463056,3
WMT,Mean-context,-2.2764831687231752,3
AAPL,Naive-last,0.0,3
AVGO,Naive-last,0.0,3
NVDA,Naive-last,0.0,3
TSLA,Naive-last,0.0,3
WMT,Naive-last,0.0,3
