stock,method,rmse_mean,rmse_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
AAPL,Local-MAE/Long-JEPA,0.023991948494098924,0.001680832906406725,0.5166666666666666,0.04330127018922189,3,3
AAPL,GRU,0.021618540727461267,3.3741535901888615e-05,0.4861111111111111,0.020971762320196506,3,3
AAPL,Naive-last,0.02222024246465654,0.0,0.008333333333333333,0.0,3,3
AAPL,Drift,0.023987025984435386,0.0,0.575,0.0,3,3
AAPL,Mean-context,0.02436536039941785,0.0,0.5833333333333334,0.0,3,3
AVGO,Local-MAE/Long-JEPA,0.0630765965811234,0.002691473597194182,0.4861111111111111,0.012729376930432898,3,3
AVGO,GRU,0.06871937382318373,7.856464314321628e-05,0.4861111111111111,0.034694433324435565,3,3
AVGO,Naive-last,0.07196649888354975,0.0,0.0,0.0,3,3
AVGO,Drift,0.07374315320745539,0.0,0.48333333333333334,0.0,3,3
AVGO,Mean-context,0.07369783087998795,0.0,0.48333333333333334,0.0,3,3
NVDA,Local-MAE/Long-JEPA,0.05709530402777113,0.00037286696851602087,0.4777777777777778,0.07184731753543087,3,3
NVDA,GRU,0.05521313800445702,0.0009622619892115789,0.5333333333333333,0.0463980363569169,3,3
NVDA,Naive-last,0.05759803288999258,0.0,0.0,0.0,3,3
NVDA,Drift,0.06217824428250764,0.0,0.4749999999999999,0.0,3,3
NVDA,Mean-context,0.06201059004453,0.0,0.425,0.0,3,3
TSLA,Local-MAE/Long-JEPA,0.08577020460967716,0.0019665018797126216,0.5333333333333333,0.008333333333333304,3,3
TSLA,GRU,0.08609899844866935,0.000259306035960939,0.4694444444444444,0.03367876570272816,3,3
TSLA,Naive-last,0.08763537133417103,0.0,0.0,0.0,3,3
TSLA,Drift,0.09130617500336358,0.0,0.49166666666666664,0.0,3,3
TSLA,Mean-context,0.0922934881491571,0.0,0.5166666666666667,0.0,3,3
WMT,Local-MAE/Long-JEPA,0.01777323689059219,0.0006689492626949554,0.5333333333333333,0.05204164998665332,3,3
WMT,GRU,0.016670182784706524,9.948778745475179e-05,0.5333333333333333,0.04409585518440989,3,3
WMT,Naive-last,0.018267464162411342,0.0,0.008333333333333333,0.0,3,3
WMT,Drift,0.01841861187066039,0.0,0.5833333333333334,0.0,3,3
WMT,Mean-context,0.018683319909421174,0.0,0.5833333333333334,0.0,3,3
