stock,method,rmse_mean,rmse_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
AAPL,Shared-target JEPA--MAE,0.022097420691840244,0.0009275279800970825,0.5305555555555556,0.10485881160098269,3,3
AAPL,GRU,0.021390105286150502,0.0003144343624280271,0.5277777777777778,0.020971762320196558,3,3
AAPL,Naive-last,0.02222024246465654,0.0,0.008333333333333333,0.0,3,3
AAPL,Drift,0.02195167782435702,0.0,0.6166666666666667,0.0,3,3
AAPL,Mean-context,0.022080507019049095,0.0,0.6166666666666667,0.0,3,3
AVGO,Shared-target JEPA--MAE,0.06525276067282747,0.0025885966194743345,0.49444444444444446,0.020971762320196537,3,3
AVGO,GRU,0.06593044958647777,0.0008158523640561676,0.47500000000000003,0.014433756729740661,3,3
AVGO,Naive-last,0.07196649888354975,0.0,0.0,0.0,3,3
AVGO,Drift,0.07195105101966982,0.0,0.5083333333333333,0.0,3,3
AVGO,Mean-context,0.07187303743661154,0.0,0.5,0.0,3,3
NVDA,Shared-target JEPA--MAE,0.0549145484142289,0.004455451059388085,0.5583333333333333,0.008333333333333304,3,3
NVDA,GRU,0.056498972723461764,0.0005629148028688732,0.5277777777777778,0.01924500897298757,3,3
NVDA,Naive-last,0.05759803288999258,0.0,0.0,0.0,3,3
NVDA,Drift,0.05853093318398115,0.0,0.525,0.0,3,3
NVDA,Mean-context,0.05950545777622305,0.0,0.525,0.0,3,3
TSLA,Shared-target JEPA--MAE,0.08754412336414467,0.0006279117395383331,0.5361111111111111,0.03367876570272817,3,3
TSLA,GRU,0.08431388223228098,0.00019305224200191802,0.4861111111111111,0.038490017945975036,3,3
TSLA,Naive-last,0.08763537133417103,0.0,0.0,0.0,3,3
TSLA,Drift,0.08603820822717793,0.0,0.5416666666666666,0.0,3,3
TSLA,Mean-context,0.08537652276751746,0.0,0.5416666666666666,0.0,3,3
WMT,Shared-target JEPA--MAE,0.017565946602030282,0.0005683963400177595,0.48055555555555557,0.06364688465216448,3,3
WMT,GRU,0.016789317850368156,0.000394226844491757,0.5305555555555556,0.054220059155397626,3,3
WMT,Naive-last,0.018267464162411342,0.0,0.008333333333333333,0.0,3,3
WMT,Drift,0.017200996309923573,0.0,0.6083333333333333,0.0,3,3
WMT,Mean-context,0.017320240069040753,0.0,0.6083333333333333,0.0,3,3
