stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0006017017371952697,2.707899061643161
AAPL,Shared-target JEPA--MAE,3,0.0009625073467267135,-4.331668964718433
AVGO,GRU,3,-0.0032471250603660212,4.511995318294212
AVGO,Shared-target JEPA--MAE,3,-0.007521617724648456,10.451554322267805
NVDA,GRU,3,-0.00238489488553556,4.140583915583557
NVDA,Shared-target JEPA--MAE,3,-3.5147658971774556e-06,0.006102232525701634
TSLA,GRU,3,-0.00153637288550168,1.753142437935461
TSLA,Shared-target JEPA--MAE,3,-0.004359365945175807,4.97443655319572
WMT,GRU,3,-0.0015972813777048202,8.74385937480868
WMT,Shared-target JEPA--MAE,3,-0.00063294469201028,3.464874414877352
