stock,seed,model,strategy,test_signature,model_rmse,naive_rmse,delta_rmse,relative_rmse_improvement_pct,model_source_file,naive_source_file
NVDA,42,Shared-target JEPA--MAE,random,52250778230399509c9a,0.05093538249247794,0.05044422071214741,0.0004911617803305332,-0.9736730459833571,results/03_shared_context_6_patches/random/NVDA/seed_42/last_model_comparison_20260902_081918.csv,results/03_shared_context_6_patches/random/NVDA/seed_42/last_model_comparison_20260902_081918.csv
NVDA,44,Shared-target JEPA--MAE,random,52250778230399509c9a,0.052448314343497386,0.05044422071214741,0.0020040936313499777,-3.9728904581280893,results/03_shared_context_6_patches/random/NVDA/seed_44/last_model_comparison_20260902_081918.csv,results/03_shared_context_6_patches/random/NVDA/seed_44/last_model_comparison_20260902_081918.csv
NVDA,46,Shared-target JEPA--MAE,random,52250778230399509c9a,0.05035874144380092,0.05044422071214741,-8.547926834649028e-05,0.16945304564077868,results/03_shared_context_6_patches/random/NVDA/seed_46/last_model_comparison_20260902_082013.csv,results/03_shared_context_6_patches/random/NVDA/seed_46/last_model_comparison_20260902_082013.csv
AAPL,42,Shared-target JEPA--MAE,random,963fd42d27a71785edfd,0.020951393278631433,0.020726473344502745,0.0002249199341286881,-1.0851818849748662,results/03_shared_context_6_patches/random/AAPL/seed_42/last_model_comparison_20260902_082013.csv,results/03_shared_context_6_patches/random/AAPL/seed_42/last_model_comparison_20260902_082013.csv
AAPL,44,Shared-target JEPA--MAE,random,963fd42d27a71785edfd,0.019653859196714262,0.020726473344502745,-0.0010726141477884824,5.175092404579144,results/03_shared_context_6_patches/random/AAPL/seed_44/last_model_comparison_20260902_082109.csv,results/03_shared_context_6_patches/random/AAPL/seed_44/last_model_comparison_20260902_082109.csv
AAPL,46,Shared-target JEPA--MAE,random,963fd42d27a71785edfd,0.01952578253637487,0.020726473344502745,-0.0012006908081278744,5.793029948562533,results/03_shared_context_6_patches/random/AAPL/seed_46/last_model_comparison_20260902_082109.csv,results/03_shared_context_6_patches/random/AAPL/seed_46/last_model_comparison_20260902_082109.csv
AVGO,42,Shared-target JEPA--MAE,random,2b7e3b9a4ddeeaaba40b,0.061461058796161684,0.07538904891494025,-0.013927990118778565,18.474818716035532,results/03_shared_context_6_patches/random/AVGO/seed_42/last_model_comparison_20260902_082204.csv,results/03_shared_context_6_patches/random/AVGO/seed_42/last_model_comparison_20260902_082204.csv
AVGO,44,Shared-target JEPA--MAE,random,2b7e3b9a4ddeeaaba40b,0.06240319424200118,0.07538904891494025,-0.01298585467293907,17.225120703659115,results/03_shared_context_6_patches/random/AVGO/seed_44/last_model_comparison_20260902_082204.csv,results/03_shared_context_6_patches/random/AVGO/seed_44/last_model_comparison_20260902_082204.csv
AVGO,46,Shared-target JEPA--MAE,random,2b7e3b9a4ddeeaaba40b,0.060373623387509553,0.07538904891494025,-0.015015425527430695,19.917250241971164,results/03_shared_context_6_patches/random/AVGO/seed_46/last_model_comparison_20260902_082300.csv,results/03_shared_context_6_patches/random/AVGO/seed_46/last_model_comparison_20260902_082300.csv
TSLA,42,Shared-target JEPA--MAE,random,172e1d81dc64d3bc1992,0.08968766509439789,0.09311541529754551,-0.003427750203147617,3.68118446574546,results/03_shared_context_6_patches/random/TSLA/seed_42/last_model_comparison_20260902_082300.csv,results/03_shared_context_6_patches/random/TSLA/seed_42/last_model_comparison_20260902_082300.csv
TSLA,44,Shared-target JEPA--MAE,random,172e1d81dc64d3bc1992,0.08284091154834015,0.09311541529754551,-0.010274503749205355,11.03415982882502,results/03_shared_context_6_patches/random/TSLA/seed_44/last_model_comparison_20260902_082355.csv,results/03_shared_context_6_patches/random/TSLA/seed_44/last_model_comparison_20260902_082355.csv
TSLA,46,Shared-target JEPA--MAE,random,172e1d81dc64d3bc1992,0.08534775973501618,0.09311541529754551,-0.007767655562529327,8.341965224241534,results/03_shared_context_6_patches/random/TSLA/seed_46/last_model_comparison_20260902_082356.csv,results/03_shared_context_6_patches/random/TSLA/seed_46/last_model_comparison_20260902_082356.csv
WMT,42,Shared-target JEPA--MAE,random,11d0dda7d789af683a25,0.016829948218144854,0.015735635000382033,0.0010943132177628212,-6.954363250903146,results/03_shared_context_6_patches/random/WMT/seed_42/last_model_comparison_20260902_082450.csv,results/03_shared_context_6_patches/random/WMT/seed_42/last_model_comparison_20260902_082450.csv
WMT,44,Shared-target JEPA--MAE,random,11d0dda7d789af683a25,0.015588344648373767,0.015735635000382033,-0.00014729035200826586,0.9360305574238975,results/03_shared_context_6_patches/random/WMT/seed_44/last_model_comparison_20260902_082451.csv,results/03_shared_context_6_patches/random/WMT/seed_44/last_model_comparison_20260902_082451.csv
WMT,46,Shared-target JEPA--MAE,random,11d0dda7d789af683a25,0.015319549227499295,0.015735635000382033,-0.00041608577288273704,2.644226133058089,results/03_shared_context_6_patches/random/WMT/seed_46/last_model_comparison_20260902_082540.csv,results/03_shared_context_6_patches/random/WMT/seed_46/last_model_comparison_20260902_082540.csv
NVDA,42,GRU,random,52250778230399509c9a,0.04998425600835947,0.05044422071214741,-0.00045996470378793786,0.9118283468242266,results/03_shared_context_6_patches/random/NVDA/seed_42/last_model_comparison_20260902_081918.csv,results/03_shared_context_6_patches/random/NVDA/seed_42/last_model_comparison_20260902_081918.csv
NVDA,44,GRU,random,52250778230399509c9a,0.04946321057681412,0.05044422071214741,-0.0009810101353332906,1.9447423738217346,results/03_shared_context_6_patches/random/NVDA/seed_44/last_model_comparison_20260902_081918.csv,results/03_shared_context_6_patches/random/NVDA/seed_44/last_model_comparison_20260902_081918.csv
NVDA,46,GRU,random,52250778230399509c9a,0.049537677420960116,0.05044422071214741,-0.0009065432911872923,1.7971202218790323,results/03_shared_context_6_patches/random/NVDA/seed_46/last_model_comparison_20260902_082013.csv,results/03_shared_context_6_patches/random/NVDA/seed_46/last_model_comparison_20260902_082013.csv
AAPL,42,GRU,random,963fd42d27a71785edfd,0.019159685927341547,0.020726473344502745,-0.001566787417161198,7.55935363975828,results/03_shared_context_6_patches/random/AAPL/seed_42/last_model_comparison_20260902_082013.csv,results/03_shared_context_6_patches/random/AAPL/seed_42/last_model_comparison_20260902_082013.csv
AAPL,44,GRU,random,963fd42d27a71785edfd,0.019162269586784336,0.020726473344502745,-0.001564203757718409,7.546888135377265,results/03_shared_context_6_patches/random/AAPL/seed_44/last_model_comparison_20260902_082109.csv,results/03_shared_context_6_patches/random/AAPL/seed_44/last_model_comparison_20260902_082109.csv
AAPL,46,GRU,random,963fd42d27a71785edfd,0.01908339406218348,0.020726473344502745,-0.0016430792823192639,7.927442623783634,results/03_shared_context_6_patches/random/AAPL/seed_46/last_model_comparison_20260902_082109.csv,results/03_shared_context_6_patches/random/AAPL/seed_46/last_model_comparison_20260902_082109.csv
