stock,method,relative_rmse_improvement_pct,n_paired_seeds
AAPL,Drift,3.408371449035626,3
AAPL,GRU,7.677894799639726,3
AAPL,Mean-context,3.6300076505593224,3
AAPL,Shared-target JEPA--MAE,3.294313489388937,3
AVGO,Drift,1.698769933353703,3
AVGO,GRU,5.949671580245874,3
AVGO,Mean-context,2.248747522634159,3
AVGO,Shared-target JEPA--MAE,18.53906322055527,3
NVDA,Drift,-5.708259875680493,3
NVDA,GRU,1.5512303141749977,3
NVDA,Mean-context,-6.076547750670824,3
NVDA,Shared-target JEPA--MAE,-1.592370152823556,3
TSLA,Drift,0.7442271062081481,3
TSLA,GRU,4.421674036760093,3
TSLA,Mean-context,1.1678394056612154,3
TSLA,Shared-target JEPA--MAE,7.685769839604004,3
WMT,Drift,-0.9930700092446741,3
WMT,GRU,10.436791031919206,3
WMT,Mean-context,-3.5427324528319506,3
WMT,Shared-target JEPA--MAE,-1.1247021868070533,3
AAPL,Naive-last,0.0,3
AVGO,Naive-last,0.0,3
NVDA,Naive-last,0.0,3
TSLA,Naive-last,0.0,3
WMT,Naive-last,0.0,3
