stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0008102974786109984,3.6466635316867286
AAPL,Local-MAE/Long-JEPA,3,-0.0007866303407744213,3.540151922399738
AVGO,GRU,3,-0.003908232802113614,5.430627948759316
AVGO,Local-MAE/Long-JEPA,3,-0.004131863292620312,5.741370438634443
NVDA,GRU,3,-0.006114996013922606,10.616675096529313
NVDA,Local-MAE/Long-JEPA,3,-1.7388163969597286e-05,0.030188815654186015
TSLA,GRU,3,-0.005218476843856623,5.954760919489389
TSLA,Local-MAE/Long-JEPA,3,-0.0007617672492780762,0.8692463301984615
WMT,GRU,3,-0.0012733782455281427,6.970744456958356
WMT,Local-MAE/Long-JEPA,3,-0.0005989562808898646,3.2788145938850506
