stock,seed,model,strategy,test_signature,model_rmse,naive_rmse,delta_rmse,relative_rmse_improvement_pct,model_source_file,naive_source_file
NVDA,42,Local-MAE/Long-JEPA,local_long,afd51825e1d04aa23047,0.05383590637790622,0.05759803288999259,-0.003762126512086364,6.531692704283339,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/NVDA/seed_42/last_model_comparison_20260909_211249.csv,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/NVDA/seed_42/last_model_comparison_20260909_211249.csv
NVDA,44,Local-MAE/Long-JEPA,local_long,afd51825e1d04aa23047,0.05511644570883517,0.05759803288999259,-0.002481587181157416,4.308458217482946,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/NVDA/seed_44/last_model_comparison_20260909_211249.csv,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/NVDA/seed_44/last_model_comparison_20260909_211249.csv
NVDA,46,Local-MAE/Long-JEPA,local_long,afd51825e1d04aa23047,0.056025839950378034,0.05759803288999259,-0.0015721929396145529,2.729594850256969,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/NVDA/seed_46/last_model_comparison_20260909_211341.csv,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/NVDA/seed_46/last_model_comparison_20260909_211341.csv
AAPL,42,Local-MAE/Long-JEPA,local_long,ba12dbf82e0de1f7b4be,0.021633385160020772,0.02222024246465654,-0.0005868573046357677,2.6410931634486947,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/AAPL/seed_42/last_model_comparison_20260909_211340.csv,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/AAPL/seed_42/last_model_comparison_20260909_211340.csv
AAPL,44,Local-MAE/Long-JEPA,local_long,ba12dbf82e0de1f7b4be,0.02217244411698371,0.02222024246465654,-4.77983476728297e-05,0.21511172863598418,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/AAPL/seed_44/last_model_comparison_20260909_211432.csv,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/AAPL/seed_44/last_model_comparison_20260909_211432.csv
AAPL,46,Local-MAE/Long-JEPA,local_long,ba12dbf82e0de1f7b4be,0.02174366721047998,0.02222024246465654,-0.00047657525417656166,2.144779720269034,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/AAPL/seed_46/last_model_comparison_20260909_211432.csv,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/AAPL/seed_46/last_model_comparison_20260909_211432.csv
AVGO,42,Local-MAE/Long-JEPA,local_long,85bcd4edc11038a28a0d,0.06739133940331436,0.07196649888354975,-0.004575159480235388,6.357346197483546,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/AVGO/seed_42/last_model_comparison_20260909_211524.csv,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/AVGO/seed_42/last_model_comparison_20260909_211524.csv
AVGO,44,Local-MAE/Long-JEPA,local_long,85bcd4edc11038a28a0d,0.0683518713218751,0.07196649888354975,-0.0036146275616746465,5.022653064620441,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/AVGO/seed_44/last_model_comparison_20260909_211524.csv,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/AVGO/seed_44/last_model_comparison_20260909_211524.csv
AVGO,46,Local-MAE/Long-JEPA,local_long,85bcd4edc11038a28a0d,0.06983979501446448,0.07196649888354975,-0.0021267038690852696,2.9551303760469527,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/AVGO/seed_46/last_model_comparison_20260909_211616.csv,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/AVGO/seed_46/last_model_comparison_20260909_211616.csv
TSLA,42,Local-MAE/Long-JEPA,local_long,e886bf6679cafd21f411,0.08566801107814592,0.08763537133417103,-0.0019673602560251052,2.244938574543344,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/TSLA/seed_42/last_model_comparison_20260909_211616.csv,results/04_local_long_joint_loss_jepa_0_5_mae_1_5_market_only_context_12/local_long/TSLA/seed_42/last_model_comparison_20260909_211616.csv
