stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0008894797804295829,4.0030156369553
AAPL,Local-MAE/Long-JEPA,3,-0.0003704103021617197,1.6669948707845712
AVGO,GRU,3,-0.00307914429298795,4.278580090397849
AVGO,Local-MAE/Long-JEPA,3,-0.0034388303036651017,4.778376546050313
NVDA,GRU,3,-0.0037712728780964883,6.5475723542491515
NVDA,Local-MAE/Long-JEPA,3,-0.0026053022109527777,4.5232485906744175
TSLA,GRU,3,-0.0025928965668541256,2.958732903597678
TSLA,Local-MAE/Long-JEPA,3,-0.0024332962200437117,2.7766142631667194
WMT,GRU,3,-0.002783839329527046,15.23933100279625
WMT,Local-MAE/Long-JEPA,3,-0.0017871273030519847,9.783116513398323
