method,horizon,rmse,rmse_ci_low,rmse_ci_high,direction_accuracy,direction_ci_low,direction_ci_high,n_stocks,n_runs
Drift,1,0.022678935978635177,0.011852181477275828,0.033505690479994535,0.4999999999999999,0.4083333333333333,0.5916666666666666,5,15
Drift,2,0.04404582679522208,0.02232569521847207,0.06576595837197208,0.525,0.4833333333333333,0.575,5,15
Drift,3,0.05824126443220928,0.029790145634087405,0.08669238323033117,0.5416666666666666,0.45,0.6249999999999999,5,15
Drift,4,0.06218976480517514,0.03292953665003606,0.09144999296031422,0.6,0.525,0.6749999999999999,5,15
Drift,5,0.06294782379526502,0.03724408811329042,0.08743403945234914,0.5416666666666667,0.4833333333333333,0.6250000000000001,5,15
GRU,1,0.02306749365969945,0.012653285265074277,0.0333631299951436,0.46944444444444444,0.40555555555555556,0.5722222222222222,5,15
GRU,2,0.04181002102919965,0.021012306681553343,0.06260773537684597,0.5,0.4694444444444444,0.5361111111111112,5,15
GRU,3,0.054807520868592516,0.027169876840559777,0.08244516489662528,0.5194444444444445,0.43611111111111117,0.5944444444444444,5,15
GRU,4,0.05743792686469512,0.028613576132084994,0.08626227759730525,0.538888888888889,0.4722222222222222,0.6000000000000001,5,15
GRU,5,0.05828812148359941,0.03368850658600335,0.08288773638119545,0.4722222222222222,0.4333333333333334,0.5055555555555555,5,15
Local-MAE/Long-JEPA,1,0.024321172534282853,0.013936636621548393,0.034705708447017314,0.5583333333333333,0.5,0.6250000000000001,5,15
Local-MAE/Long-JEPA,2,0.043054483221677084,0.021945738233289335,0.06416322821006482,0.5583333333333333,0.4916666666666666,0.6416666666666667,5,15
Local-MAE/Long-JEPA,3,0.05202106893214773,0.02699186600133959,0.07705027186295588,0.5638888888888889,0.5277777777777778,0.6,5,15
Local-MAE/Long-JEPA,4,0.053832728570263146,0.02916054850777656,0.07737227304171233,0.5583333333333333,0.5027777777777778,0.6194444444444444,5,15
Local-MAE/Long-JEPA,5,0.05564397061885806,0.03280998605003645,0.07847795518767967,0.5305555555555556,0.49444444444444446,0.5722222222222222,5,15
Mean-context,1,0.022710823231800268,0.011878907470287954,0.03354273899331258,0.4916666666666666,0.4083333333333333,0.5835416666666485,5,15
Mean-context,2,0.04420322689027353,0.022491439469354873,0.06591501431119218,0.55,0.5,0.5916666666666667,5,15
Mean-context,3,0.058568302701715626,0.030221055534712476,0.08691554986871877,0.55,0.4416666666666667,0.6583333333333334,5,15
Mean-context,4,0.06248930907958925,0.03345845589920108,0.09152016225997743,0.5916666666666667,0.5499999999999999,0.6500000000000001,5,15
Mean-context,5,0.06340376604502931,0.037733692241881986,0.08907383984817664,0.55,0.4916666666666666,0.6333333333333334,5,15
Naive-last,1,0.022409080027256507,0.011735102712555076,0.03308305734195794,0.0,0.0,0.0,5,15
Naive-last,2,0.04319165187822733,0.02152498951396383,0.06485831424249083,0.008333333333333333,0.0,0.025,5,15
Naive-last,3,0.05694844090750691,0.028344827350077123,0.08555205446493672,0.0,0.0,0.0,5,15
Naive-last,4,0.061048455776149604,0.03150145136259632,0.09059546018970291,0.0,0.0,0.0,5,15
Naive-last,5,0.061712401890478254,0.036259202417601985,0.08716560136335454,0.008333333333333333,0.0,0.025,5,15
