stock,seed,model,strategy,test_signature,model_rmse,naive_rmse,delta_rmse,relative_rmse_improvement_pct,model_source_file,naive_source_file
NVDA,42,Local-MAE/Long-JEPA,local_long,afd51825e1d04aa23047,0.056235059923845095,0.05759803288999259,-0.0013629729661474924,2.366353324514843,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/NVDA/seed_42/last_model_comparison_20260903_022511.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/NVDA/seed_42/last_model_comparison_20260903_022511.csv
NVDA,44,Local-MAE/Long-JEPA,local_long,afd51825e1d04aa23047,0.05756030826747467,0.05759803288999259,-3.7724622517915085e-05,0.06549637309657076,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/NVDA/seed_44/last_model_comparison_20260903_022511.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/NVDA/seed_44/last_model_comparison_20260903_022511.csv
NVDA,46,Local-MAE/Long-JEPA,local_long,afd51825e1d04aa23047,0.057932266793225204,0.05759803288999259,0.0003342339032326169,-0.5802870106188794,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/NVDA/seed_46/last_model_comparison_20260903_022933.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/NVDA/seed_46/last_model_comparison_20260903_022933.csv
AAPL,42,Local-MAE/Long-JEPA,local_long,ba12dbf82e0de1f7b4be,0.0228338249209406,0.02222024246465654,0.0006135824562840606,-2.7613670609581478,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/AAPL/seed_42/last_model_comparison_20260903_022934.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/AAPL/seed_42/last_model_comparison_20260903_022934.csv
AAPL,44,Local-MAE/Long-JEPA,local_long,ba12dbf82e0de1f7b4be,0.02252116540779454,0.02222024246465654,0.00030092294313800033,-1.3542738951505484,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/AAPL/seed_44/last_model_comparison_20260903_023352.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/AAPL/seed_44/last_model_comparison_20260903_023352.csv
AAPL,46,Local-MAE/Long-JEPA,local_long,ba12dbf82e0de1f7b4be,0.023146355847618472,0.02222024246465654,0.0009261133829619322,-4.167881536103874,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/AAPL/seed_46/last_model_comparison_20260903_023353.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/AAPL/seed_46/last_model_comparison_20260903_023353.csv
AVGO,42,Local-MAE/Long-JEPA,local_long,85bcd4edc11038a28a0d,0.06457708640164081,0.07196649888354975,-0.007389412481908941,10.2678504533976,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/AVGO/seed_42/last_model_comparison_20260903_023812.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/AVGO/seed_42/last_model_comparison_20260903_023812.csv
AVGO,44,Local-MAE/Long-JEPA,local_long,85bcd4edc11038a28a0d,0.06436037368159958,0.07196649888354975,-0.00760612520195017,10.568980456111634,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/AVGO/seed_44/last_model_comparison_20260903_023815.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/AVGO/seed_44/last_model_comparison_20260903_023815.csv
AVGO,46,Local-MAE/Long-JEPA,local_long,85bcd4edc11038a28a0d,0.06399719524099275,0.07196649888354975,-0.007969303642557005,11.073629766889555,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/AVGO/seed_46/last_model_comparison_20260903_024234.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/AVGO/seed_46/last_model_comparison_20260903_024234.csv
TSLA,42,Local-MAE/Long-JEPA,local_long,e886bf6679cafd21f411,0.07868471312492957,0.08763537133417103,-0.008950658209241458,10.213522317502171,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/TSLA/seed_42/last_model_comparison_20260903_024237.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/TSLA/seed_42/last_model_comparison_20260903_024237.csv
TSLA,44,Local-MAE/Long-JEPA,local_long,e886bf6679cafd21f411,0.07705758300496637,0.08763537133417103,-0.010577788329204654,12.070227087724033,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/TSLA/seed_44/last_model_comparison_20260903_024656.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/TSLA/seed_44/last_model_comparison_20260903_024656.csv
TSLA,46,Local-MAE/Long-JEPA,local_long,e886bf6679cafd21f411,0.07577935773881658,0.08763537133417103,-0.011856013595354445,13.528799404689137,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/TSLA/seed_46/last_model_comparison_20260903_024658.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/TSLA/seed_46/last_model_comparison_20260903_024658.csv
WMT,42,Local-MAE/Long-JEPA,local_long,b380b7ce352ce232b9c4,0.016210784359511017,0.018267464162411342,-0.002056679802900325,11.258704462835738,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/WMT/seed_42/last_model_comparison_20260903_025117.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/WMT/seed_42/last_model_comparison_20260903_025117.csv
WMT,44,Local-MAE/Long-JEPA,local_long,b380b7ce352ce232b9c4,0.016606440818448177,0.018267464162411342,-0.0016610233439631646,9.092796510755033,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/WMT/seed_44/last_model_comparison_20260903_025117.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/WMT/seed_44/last_model_comparison_20260903_025117.csv
WMT,46,Local-MAE/Long-JEPA,local_long,b380b7ce352ce232b9c4,0.01572170598358579,0.018267464162411342,-0.0025457581788255502,13.936023939567455,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/WMT/seed_46/last_model_comparison_20260903_025518.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/WMT/seed_46/last_model_comparison_20260903_025518.csv
NVDA,42,GRU,local_long,afd51825e1d04aa23047,0.056004602524580685,0.05759803288999259,-0.001593430365411902,2.766466640371591,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/NVDA/seed_42/last_model_comparison_20260903_022511.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/NVDA/seed_42/last_model_comparison_20260903_022511.csv
NVDA,44,GRU,local_long,afd51825e1d04aa23047,0.056531996217611916,0.05759803288999259,-0.0010660366723806713,1.8508213195695624,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/NVDA/seed_44/last_model_comparison_20260903_022511.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/NVDA/seed_44/last_model_comparison_20260903_022511.csv
NVDA,46,GRU,local_long,afd51825e1d04aa23047,0.05276869068008811,0.05759803288999259,-0.004829342209904476,8.384561012922289,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/NVDA/seed_46/last_model_comparison_20260903_022933.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5/local_long/NVDA/seed_46/last_model_comparison_20260903_022933.csv
