stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0008102974786109984,3.6466635316867286
AAPL,Local-MAE/Long-JEPA,3,-0.0003014613709241681,1.3566970360637232
AVGO,GRU,3,-0.003908232802113614,5.430627948759316
AVGO,Local-MAE/Long-JEPA,3,-0.003685143255253672,5.120637119247202
NVDA,GRU,3,-0.006114996013922606,10.616675096529313
NVDA,Local-MAE/Long-JEPA,3,-0.0055442909486327005,9.625833853079378
TSLA,GRU,3,-0.005218476843856623,5.954760919489389
TSLA,Local-MAE/Long-JEPA,3,-0.0016119811090729436,1.8394183587425452
WMT,GRU,3,-0.0012733782455281427,6.970744456958356
WMT,Local-MAE/Long-JEPA,3,-0.0004302521985026242,2.355292418681445
