stock,method,relative_rmse_improvement_pct,n_paired_seeds
AAPL,Drift,1.2086485587486224,3
AAPL,GRU,3.6466635316867286,3
AAPL,Local-MAE/Long-JEPA,1.3566970360637232,3
AAPL,Mean-context,0.6288655302916162,3
AVGO,Drift,0.021465354185041224,3
AVGO,GRU,5.430627948759316,3
AVGO,Local-MAE/Long-JEPA,5.120637119247202,3
AVGO,Mean-context,0.1298679918964007,3
NVDA,Drift,-1.6196738797839234,3
NVDA,GRU,10.616675096529313,3
NVDA,Local-MAE/Long-JEPA,9.625833853079378,3
NVDA,Mean-context,-3.3116146342592696,3
TSLA,Drift,1.822509658688851,3
TSLA,GRU,5.954760919489389,3
TSLA,Local-MAE/Long-JEPA,1.8394183587425452,3
TSLA,Mean-context,2.577553483558727,3
WMT,Drift,5.838072777951428,3
WMT,GRU,6.970744456958356,3
WMT,Local-MAE/Long-JEPA,2.355292418681445,3
WMT,Mean-context,5.185306975007928,3
AAPL,Naive-last,0.0,3
AVGO,Naive-last,0.0,3
NVDA,Naive-last,0.0,3
TSLA,Naive-last,0.0,3
WMT,Naive-last,0.0,3
