stock,seed,model,strategy,test_signature,model_rmse,naive_rmse,delta_rmse,relative_rmse_improvement_pct,model_source_file,naive_source_file
NVDA,42,Local-MAE/Long-JEPA,local_long,afd51825e1d04aa23047,0.05444471746251794,0.05759803288999259,-0.0031533154274746497,5.474692917893946,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/NVDA/seed_42/last_model_comparison_20260909_212620.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/NVDA/seed_42/last_model_comparison_20260909_212620.csv
NVDA,44,Local-MAE/Long-JEPA,local_long,afd51825e1d04aa23047,0.05453492348403515,0.05759803288999259,-0.0030631094059574357,5.318079893123638,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/NVDA/seed_44/last_model_comparison_20260909_212620.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/NVDA/seed_44/last_model_comparison_20260909_212620.csv
NVDA,46,Local-MAE/Long-JEPA,local_long,afd51825e1d04aa23047,0.05610342235022489,0.05759803288999259,-0.0014946105397676962,2.5948985838149663,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/NVDA/seed_46/last_model_comparison_20260909_212712.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/NVDA/seed_46/last_model_comparison_20260909_212712.csv
AAPL,42,Local-MAE/Long-JEPA,local_long,ba12dbf82e0de1f7b4be,0.02135294977921513,0.02222024246465654,-0.0008672926854414106,3.903164813889516,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/AAPL/seed_42/last_model_comparison_20260909_212712.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/AAPL/seed_42/last_model_comparison_20260909_212712.csv
AAPL,44,Local-MAE/Long-JEPA,local_long,ba12dbf82e0de1f7b4be,0.02089705485412601,0.02222024246465654,-0.0013231876105305289,5.9548747617636835,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/AAPL/seed_44/last_model_comparison_20260909_212803.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/AAPL/seed_44/last_model_comparison_20260909_212803.csv
AAPL,46,Local-MAE/Long-JEPA,local_long,ba12dbf82e0de1f7b4be,0.021346829327191202,0.02222024246465654,-0.0008734131374653377,3.9307093019105728,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/AAPL/seed_46/last_model_comparison_20260909_212803.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/AAPL/seed_46/last_model_comparison_20260909_212803.csv
AVGO,42,Local-MAE/Long-JEPA,local_long,85bcd4edc11038a28a0d,0.06908737536051246,0.07196649888354975,-0.0028791235230372914,4.000644143737007,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/AVGO/seed_42/last_model_comparison_20260909_212855.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/AVGO/seed_42/last_model_comparison_20260909_212855.csv
AVGO,44,Local-MAE/Long-JEPA,local_long,85bcd4edc11038a28a0d,0.06798040511667665,0.07196649888354975,-0.003986093766873103,5.538818517937173,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/AVGO/seed_44/last_model_comparison_20260909_212855.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/AVGO/seed_44/last_model_comparison_20260909_212855.csv
AVGO,46,Local-MAE/Long-JEPA,local_long,85bcd4edc11038a28a0d,0.06740536534770596,0.07196649888354975,-0.004561133535843795,6.33785665080671,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/AVGO/seed_46/last_model_comparison_20260909_212947.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/AVGO/seed_46/last_model_comparison_20260909_212947.csv
TSLA,42,Local-MAE/Long-JEPA,local_long,e886bf6679cafd21f411,0.08285821543117466,0.08763537133417103,-0.004777155902996363,5.451173230932202,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/TSLA/seed_42/last_model_comparison_20260909_212947.csv,results/04_local_long_joint_loss_jepa_1_5_mae_0_5_market_only_context_12/local_long/TSLA/seed_42/last_model_comparison_20260909_212947.csv
