method,horizon,rmse,rmse_ci_low,rmse_ci_high,direction_accuracy,direction_ci_low,direction_ci_high,n_stocks,n_runs
Drift,1,0.022322380257577323,0.011623986889210756,0.0330207736259439,0.5416666666666666,0.45,0.6333333333333333,5,15
Drift,2,0.04305662666937972,0.021447437437969296,0.06466581590079015,0.55,0.475,0.6333333333333334,5,15
Drift,3,0.056877856479640554,0.02836993011632833,0.0853857828429528,0.5333333333333333,0.45,0.6249999999999999,5,15
Drift,4,0.06047619161035657,0.031044750877278232,0.0899076323434349,0.6083333333333334,0.5583333333333333,0.6833333333333333,5,15
Drift,5,0.06088728473780307,0.035254331969299744,0.0853209426240705,0.5666666666666667,0.5,0.6416666666666667,5,15
GRU,1,0.021853437892946654,0.01164343155582093,0.032063444230072374,0.5166666666666667,0.4805555555555555,0.5555555555555556,5,15
GRU,2,0.0423095696962955,0.021308054720723973,0.06331108467186704,0.5638888888888889,0.5027777777777777,0.6083333333333334,5,15
GRU,3,0.052907138684081235,0.02608899701783702,0.07972528035032544,0.586111111111111,0.5527777777777777,0.6249999999999999,5,15
GRU,4,0.05649804876665474,0.029053930735137828,0.08394216679817165,0.5361111111111112,0.4694444444444444,0.6083333333333333,5,15
GRU,5,0.056367769282529546,0.032820063081927184,0.07938924308381783,0.5083333333333333,0.4444444444444445,0.5722222222222223,5,15
Local-MAE/Long-JEPA,1,0.025911726843008177,0.01496283500813223,0.036860618677884115,0.4916666666666667,0.4305555555555555,0.5305555555555556,5,15
Local-MAE/Long-JEPA,2,0.04375888139520549,0.02212682905927511,0.06539093373113589,0.538888888888889,0.48611111111111105,0.613888888888889,5,15
Local-MAE/Long-JEPA,3,0.054138744664785285,0.02711217428975528,0.08116531503981529,0.538888888888889,0.5111111111111111,0.5638888888888889,5,15
Local-MAE/Long-JEPA,4,0.05851471412478959,0.030315351314777406,0.08671407693480179,0.5055555555555556,0.44722222222222224,0.5638888888888889,5,15
Local-MAE/Long-JEPA,5,0.05832481728494917,0.03382896316739194,0.0828206714025064,0.46388888888888885,0.4083333333333333,0.5333333333333333,5,15
Mean-context,1,0.022347526090154654,0.011653252516055064,0.03304179966425425,0.5333333333333333,0.4416666666666667,0.625,5,15
Mean-context,2,0.043107841321142246,0.021568175400505617,0.06464750724177888,0.5583333333333333,0.4833333333333333,0.6333333333333334,5,15
Mean-context,3,0.05705087603729688,0.028711875059800142,0.08538987701479361,0.525,0.4333333333333333,0.6166666666666666,5,15
Mean-context,4,0.06056205451198328,0.0314335408891676,0.08969056813479898,0.6000000000000001,0.5333333333333334,0.6833333333333333,5,15
Mean-context,5,0.06101054172325704,0.0353835747840649,0.0866375086624492,0.575,0.5249999999999999,0.6416666666666668,5,15
Naive-last,1,0.022409080027256507,0.011735102712555076,0.03308305734195794,0.0,0.0,0.0,5,15
Naive-last,2,0.04319165187822733,0.02152498951396383,0.06485831424249083,0.008333333333333333,0.0,0.025,5,15
Naive-last,3,0.05694844090750691,0.028344827350077123,0.08555205446493672,0.0,0.0,0.0,5,15
Naive-last,4,0.061048455776149604,0.03150145136259632,0.09059546018970291,0.0,0.0,0.0,5,15
Naive-last,5,0.061712401890478254,0.036259202417601985,0.08716560136335454,0.008333333333333333,0.0,0.025,5,15
