stock,method,rmse_mean,rmse_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
AAPL,Local-MAE/Long-JEPA,0.022220671010248595,0.0008987664558859419,0.5027777777777778,0.04110735718596875,3,3
AAPL,GRU,0.02140994498604554,7.7092394445935e-05,0.6,0.03818813079129868,3,3
AAPL,Naive-last,0.02222024246465654,0.0,0.008333333333333333,0.0,3,3
AAPL,Drift,0.02195167782435702,0.0,0.6166666666666667,0.0,3,3
AAPL,Mean-context,0.022080507019049095,0.0,0.6166666666666667,0.0,3,3
AVGO,Local-MAE/Long-JEPA,0.06828079300356182,0.0015499438013521407,0.5083333333333333,0.033333333333333326,3,3
AVGO,GRU,0.06805826608143613,0.00024440811822021616,0.49444444444444446,0.012729376930432893,3,3
AVGO,Naive-last,0.07196649888354975,0.0,0.0,0.0,3,3
AVGO,Drift,0.07195105101966982,0.0,0.5083333333333333,0.0,3,3
AVGO,Mean-context,0.07187303743661154,0.0,0.5,0.0,3,3
NVDA,Local-MAE/Long-JEPA,0.05547966121162264,0.0026573270165709015,0.5138888888888888,0.048112522432468816,3,3
NVDA,GRU,0.051483036876069976,0.0031943073777279535,0.5611111111111112,0.01924500897298753,3,3
NVDA,Naive-last,0.05759803288999258,0.0,0.0,0.0,3,3
NVDA,Drift,0.05853093318398115,0.0,0.525,0.0,3,3
NVDA,Mean-context,0.05950545777622305,0.0,0.525,0.0,3,3
TSLA,Local-MAE/Long-JEPA,0.08619851401585317,0.0007885452215439264,0.5027777777777778,0.05672382737961706,3,3
TSLA,GRU,0.0824168944903144,0.0018122555433190907,0.5444444444444444,0.01924500897298757,3,3
TSLA,Naive-last,0.08763537133417103,0.0,0.0,0.0,3,3
TSLA,Drift,0.08603820822717793,0.0,0.5416666666666666,0.0,3,3
TSLA,Mean-context,0.08537652276751746,0.0,0.5416666666666666,0.0,3,3
WMT,Local-MAE/Long-JEPA,0.017306589005978715,0.00019391231413856862,0.5111111111111112,0.04194352464039306,3,3
WMT,GRU,0.0169940859168832,0.0001872757979686409,0.5111111111111112,0.0502309481111809,3,3
WMT,Naive-last,0.018267464162411342,0.0,0.008333333333333333,0.0,3,3
WMT,Drift,0.017200996309923573,0.0,0.6083333333333333,0.0,3,3
WMT,Mean-context,0.017320240069040753,0.0,0.6083333333333333,0.0,3,3
