method,horizon,rmse,rmse_ci_low,rmse_ci_high,direction_accuracy,direction_ci_low,direction_ci_high,n_stocks,n_runs
Drift,1,0.022678935978635177,0.011852181477275828,0.033505690479994535,0.4999999999999999,0.4083333333333333,0.5916666666666666,5,15
Drift,2,0.04404582679522208,0.02232569521847207,0.06576595837197208,0.525,0.4833333333333333,0.575,5,15
Drift,3,0.05824126443220928,0.029790145634087405,0.08669238323033117,0.5416666666666666,0.45,0.6249999999999999,5,15
Drift,4,0.06218976480517514,0.03292953665003606,0.09144999296031422,0.6,0.525,0.6749999999999999,5,15
Drift,5,0.06294782379526502,0.03724408811329042,0.08743403945234914,0.5416666666666667,0.4833333333333333,0.6250000000000001,5,15
GRU,1,0.02185578849424398,0.011971314436055045,0.03174026255243292,0.5583333333333333,0.5166666666666666,0.6166666666666666,5,15
GRU,2,0.04170045420996911,0.020336086108881872,0.06306482231105634,0.5527777777777778,0.5027777777777778,0.588888888888889,5,15
GRU,3,0.05426318794183007,0.026520666641941727,0.08200570924171842,0.55,0.5111111111111111,0.5916666666666666,5,15
GRU,4,0.056984659102917536,0.028092571352348272,0.0858767468534868,0.5277777777777777,0.45,0.6222222222222221,5,15
GRU,5,0.058615758587682164,0.03259467853262763,0.08394455948443691,0.4972222222222221,0.45833333333333337,0.5305555555555554,5,15
Local-MAE/Long-JEPA,1,0.025419130699002885,0.014473258079843478,0.03565190813821942,0.525,0.4666666666666666,0.5888888888888888,5,15
Local-MAE/Long-JEPA,2,0.04143096865936252,0.02101555448400267,0.06184638283472238,0.5638888888888889,0.5305555555555556,0.6,5,15
Local-MAE/Long-JEPA,3,0.053815241624487,0.026998520812380696,0.0806319624365933,0.5583333333333333,0.5472222222222223,0.5722222222222222,5,15
Local-MAE/Long-JEPA,4,0.056189889266774484,0.02860838321798586,0.08377139531556313,0.5111111111111111,0.4611111111111111,0.5555555555555556,5,15
Local-MAE/Long-JEPA,5,0.05782105283083048,0.033608125492158705,0.08203398016950225,0.5194444444444445,0.48888888888888893,0.55,5,15
Mean-context,1,0.022710823231800268,0.011878907470287954,0.03354273899331258,0.4916666666666666,0.4083333333333333,0.5835416666666485,5,15
Mean-context,2,0.04420322689027353,0.022491439469354873,0.06591501431119218,0.55,0.5,0.5916666666666667,5,15
Mean-context,3,0.058568302701715626,0.030221055534712476,0.08691554986871877,0.55,0.4416666666666667,0.6583333333333334,5,15
Mean-context,4,0.06248930907958925,0.03345845589920108,0.09152016225997743,0.5916666666666667,0.5499999999999999,0.6500000000000001,5,15
Mean-context,5,0.06340376604502931,0.037733692241881986,0.08907383984817664,0.55,0.4916666666666666,0.6333333333333334,5,15
Naive-last,1,0.022409080027256507,0.011735102712555076,0.03308305734195794,0.0,0.0,0.0,5,15
Naive-last,2,0.04319165187822733,0.02152498951396383,0.06485831424249083,0.008333333333333333,0.0,0.025,5,15
Naive-last,3,0.05694844090750691,0.028344827350077123,0.08555205446493672,0.0,0.0,0.0,5,15
Naive-last,4,0.061048455776149604,0.03150145136259632,0.09059546018970291,0.0,0.0,0.0,5,15
Naive-last,5,0.061712401890478254,0.036259202417601985,0.08716560136335454,0.008333333333333333,0.0,0.025,5,15
