stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0009232353964887287,4.154929443084271
AAPL,Shared-target JEPA--MAE,3,0.00168656531546639,-7.590220125406087
AVGO,GRU,3,-0.004392719953068308,6.103840010580819
AVGO,Shared-target JEPA--MAE,3,-0.008066317772235406,11.208434337326395
NVDA,GRU,3,-0.00249626974923235,4.333949657621147
NVDA,Shared-target JEPA--MAE,3,-0.0002949323498298989,0.5120528167918424
TSLA,GRU,3,-0.0021791649838766164,2.4866272039483106
TSLA,Shared-target JEPA--MAE,3,-0.011281796630444799,12.873565158325254
WMT,GRU,3,-0.001799099518970142,9.84865498010457
WMT,Shared-target JEPA--MAE,3,-0.000976625403310447,5.34625602452273
