stock,method,relative_rmse_improvement_pct,n_paired_seeds
AAPL,Drift,-7.951234207228329,3
AAPL,GRU,2.707899061643161,3
AAPL,Mean-context,-9.653890762773303,3
AAPL,Shared-target JEPA--MAE,-7.379915762596453,3
AVGO,Drift,-2.468724130627052,3
AVGO,GRU,4.511995318294212,3
AVGO,Mean-context,-2.4057471508231867,3
AVGO,Shared-target JEPA--MAE,9.797172821225404,3
NVDA,Drift,-7.9520274611858275,3
NVDA,GRU,4.140583915583557,3
NVDA,Mean-context,-7.660951135197672,3
NVDA,Shared-target JEPA--MAE,-0.8125863938519267,3
TSLA,Drift,-4.188723814719798,3
TSLA,GRU,1.753142437935461,3
TSLA,Mean-context,-5.315338708640525,3
TSLA,Shared-target JEPA--MAE,9.429667153786381,3
WMT,Drift,-0.8274148338555994,3
WMT,GRU,8.74385937480868,3
WMT,Mean-context,-2.2764831687231752,3
WMT,Shared-target JEPA--MAE,2.659345306195127,3
AAPL,Naive-last,0.0,3
AVGO,Naive-last,0.0,3
NVDA,Naive-last,0.0,3
TSLA,Naive-last,0.0,3
WMT,Naive-last,0.0,3
