stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0008894797804295829,4.0030156369553
AAPL,Shared-target JEPA--MAE,3,0.00022609061759494795,-1.0174984271866838
AVGO,GRU,3,-0.00307914429298795,4.278580090397849
AVGO,Shared-target JEPA--MAE,3,-0.003772124906999593,5.241501206142227
NVDA,GRU,3,-0.0037712728780964883,6.5475723542491515
NVDA,Shared-target JEPA--MAE,3,-0.0024968484869098972,4.334954444848262
TSLA,GRU,3,-0.0025928965668541256,2.958732903597678
TSLA,Shared-target JEPA--MAE,3,-0.0029233607788982374,3.335822892506364
WMT,GRU,3,-0.002783839329527046,15.23933100279625
WMT,Shared-target JEPA--MAE,3,-0.0011257166692368419,6.162413453933088
