stock,seed,method,strategy,split,rmse,direction_accuracy,forecast_horizon,checkpoint_path,checkpoint_selection,encoder_weight_source,fine_tune_encoder,trend_weight,trend_loss_temperature,trend_loss_threshold,trend_selection_weight,normalization,feature_transform,forecast_target,target_definition,metric_definition,test_start,test_end,test_signature,experiment_id,config_signature,timestamp,git_commit_sha,original_source_file,score_source_file,raw_model,selected_bundle,included_in_canonical,exclusion_reason,metadata_sources
AAPL,42,GRU,random,validation,0.021146820916736694,0.5666666666666667,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_0.5_lmae_1.5_cfg_4bcb780a8a41_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2024-07-09T00:00:00,2024-12-26T00:00:00,ba12dbf82e0de1f7b4be,66b086a3f92a3e18,66b086a3f92a3e18,20260905_191556,0a1119491cbbbc24c2f454082c9d4b3c18931b5d,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_42/last_model_comparison_20260905_191556.csv,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_42/last_gru_scores_after_observation_20260905_191556.csv,GRU,True,True,,config/experiments/chapter5_candidates/stage04_market_only/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only.json;results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_42/preprocessing_config.json
AAPL,42,Shared-target JEPA--MAE,random,validation,0.021817129863365297,0.5083333333333333,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_0.5_lmae_1.5_cfg_4bcb780a8a41_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2024-07-09T00:00:00,2024-12-26T00:00:00,ba12dbf82e0de1f7b4be,66b086a3f92a3e18,66b086a3f92a3e18,20260905_191556,0a1119491cbbbc24c2f454082c9d4b3c18931b5d,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_42/last_model_comparison_20260905_191556.csv,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_42/last_scores_after_observation_20260905_191556.csv,TS-JEPA,True,True,,config/experiments/chapter5_candidates/stage04_market_only/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only.json;results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_42/preprocessing_config.json
AAPL,42,Naive-last,random,validation,0.02222024246465654,0.008333333333333333,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_0.5_lmae_1.5_cfg_4bcb780a8a41_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2024-07-09T00:00:00,2024-12-26T00:00:00,ba12dbf82e0de1f7b4be,66b086a3f92a3e18,66b086a3f92a3e18,20260905_191556,0a1119491cbbbc24c2f454082c9d4b3c18931b5d,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_42/last_model_comparison_20260905_191556.csv,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_42/last_baseline_scores_after_observation_20260905_191556.csv,naive_last,True,True,,config/experiments/chapter5_candidates/stage04_market_only/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only.json;results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_42/preprocessing_config.json
AAPL,42,Drift,random,validation,0.02389103878617134,0.575,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_0.5_lmae_1.5_cfg_4bcb780a8a41_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2024-07-09T00:00:00,2024-12-26T00:00:00,ba12dbf82e0de1f7b4be,66b086a3f92a3e18,66b086a3f92a3e18,20260905_191556,0a1119491cbbbc24c2f454082c9d4b3c18931b5d,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_42/last_model_comparison_20260905_191556.csv,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_42/last_baseline_scores_after_observation_20260905_191556.csv,drift,True,True,,config/experiments/chapter5_candidates/stage04_market_only/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only.json;results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_42/preprocessing_config.json
AAPL,42,Mean-context,random,validation,0.024424883439188798,0.575,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_0.5_lmae_1.5_cfg_4bcb780a8a41_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2024-07-09T00:00:00,2024-12-26T00:00:00,ba12dbf82e0de1f7b4be,66b086a3f92a3e18,66b086a3f92a3e18,20260905_191556,0a1119491cbbbc24c2f454082c9d4b3c18931b5d,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_42/last_model_comparison_20260905_191556.csv,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_42/last_baseline_scores_after_observation_20260905_191556.csv,mean_context,True,True,,config/experiments/chapter5_candidates/stage04_market_only/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only.json;results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_42/preprocessing_config.json
AAPL,44,GRU,random,validation,0.0214596591579743,0.5416666666666666,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_0.5_lmae_1.5_cfg_7d831c9694bf_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2024-07-09T00:00:00,2024-12-26T00:00:00,ba12dbf82e0de1f7b4be,66b086a3f92a3e18,66b086a3f92a3e18,20260905_192015,0a1119491cbbbc24c2f454082c9d4b3c18931b5d,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_44/last_model_comparison_20260905_192015.csv,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_44/last_gru_scores_after_observation_20260905_192015.csv,GRU,True,True,,config/experiments/chapter5_candidates/stage04_market_only/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only.json;results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_44/preprocessing_config.json
AAPL,44,Naive-last,random,validation,0.02222024246465654,0.008333333333333333,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_0.5_lmae_1.5_cfg_7d831c9694bf_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2024-07-09T00:00:00,2024-12-26T00:00:00,ba12dbf82e0de1f7b4be,66b086a3f92a3e18,66b086a3f92a3e18,20260905_192015,0a1119491cbbbc24c2f454082c9d4b3c18931b5d,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_44/last_model_comparison_20260905_192015.csv,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_44/last_baseline_scores_after_observation_20260905_192015.csv,naive_last,True,True,,config/experiments/chapter5_candidates/stage04_market_only/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only.json;results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_44/preprocessing_config.json
AAPL,44,Shared-target JEPA--MAE,random,validation,0.02225065837152995,0.5666666666666667,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_0.5_lmae_1.5_cfg_7d831c9694bf_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2024-07-09T00:00:00,2024-12-26T00:00:00,ba12dbf82e0de1f7b4be,66b086a3f92a3e18,66b086a3f92a3e18,20260905_192015,0a1119491cbbbc24c2f454082c9d4b3c18931b5d,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_44/last_model_comparison_20260905_192015.csv,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_44/last_scores_after_observation_20260905_192015.csv,TS-JEPA,True,True,,config/experiments/chapter5_candidates/stage04_market_only/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only.json;results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_44/preprocessing_config.json
AAPL,44,Drift,random,validation,0.02389103878617134,0.575,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_0.5_lmae_1.5_cfg_7d831c9694bf_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2024-07-09T00:00:00,2024-12-26T00:00:00,ba12dbf82e0de1f7b4be,66b086a3f92a3e18,66b086a3f92a3e18,20260905_192015,0a1119491cbbbc24c2f454082c9d4b3c18931b5d,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_44/last_model_comparison_20260905_192015.csv,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_44/last_baseline_scores_after_observation_20260905_192015.csv,drift,True,True,,config/experiments/chapter5_candidates/stage04_market_only/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only.json;results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_44/preprocessing_config.json
AAPL,44,Mean-context,random,validation,0.024424883439188798,0.575,5,./logs/output_model/AAPL/lr_1e-05_ema_momentum_0.998_mask_ratio_0.7_ratio_patches_10_encoder_256_2_1_predictor_128_2_1_dual_jepa_mae_ljepa_0.5_lmae_1.5_cfg_7d831c9694bf_best.pt,best_pretraining_validation,ema,True,0.001,0.01,1e-05,0.0005,window_return,raw,relative_return,Close[t+h] / Close[t] - 1,RMSE over all saved rolling-step/horizon target values; project_within_trajectory_v1: sign of consecutive forecast-horizon differences equals sign of consecutive target differences; relative-return paths additionally include the known zero origin; cumulative/excess log-return targets compare the binary indicators (forecast > 0) and (target > 0) at each horizon,2024-07-09T00:00:00,2024-12-26T00:00:00,ba12dbf82e0de1f7b4be,66b086a3f92a3e18,66b086a3f92a3e18,20260905_192015,0a1119491cbbbc24c2f454082c9d4b3c18931b5d,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_44/last_model_comparison_20260905_192015.csv,results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_44/last_baseline_scores_after_observation_20260905_192015.csv,mean_context,True,True,,config/experiments/chapter5_candidates/stage04_market_only/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only.json;results/04_shared_joint_loss_jepa_0_5_mae_1_5_market_only/random/AAPL/seed_44/preprocessing_config.json
